sleeve,tenor,days,total_pnl,financing,coupons
long,TY,497,1059645.1786858079,-8726287.201227672,8460780.727424756
long,US,497,563662.5763096529,-8653308.49036636,9437499.999999989
long,FV,497,623392.9641043455,-8684809.632652437,15565426.421404704
long,TU,497,831449.9194901381,-8774680.36725753,16999999.999999993
short,TY,497,-1340895.178685808,8726287.201227672,-8460780.727424756
short,US,497,-844912.5763096529,8653308.49036636,-9437499.999999989
short,FV,497,-904642.9641043469,8684809.632652437,-15565426.421404704
short,TU,497,-1112699.9194901388,8774680.36725753,-16999999.999999993
