label,kind,level_bp,cr_bp
2s3s4s,fly,0.10718326409158863,4.944331370584109
2s3s5s,fly,-2.3758418729998994,5.647361441087128
2s3s7s,fly,-9.201169887869582,6.692315137692617
2s3s10s,fly,-20.543702168930963,7.022174991441318
2s3s15s,fly,-37.819353532570176,6.053862666078999
2s3s20s,fly,-46.215896520259605,4.07771494424702
2s3s30s,fly,-43.42788774343035,2.592060277507244
2s4s5s,fly,1.1841482601770394,5.861727969270305
2s4s7s,fly,-5.641179754692644,6.906681665875794
2s4s10s,fly,-16.983712035754024,7.236541519624495
2s4s15s,fly,-34.25936339939324,6.268229194262176
2s4s20s,fly,-42.655906387082666,4.292081472430198
2s4s30s,fly,-39.86789761025341,2.806426805690421
2s5s7s,fly,-0.6751294805096677,5.500621524869757
2s5s10s,fly,-12.017661761571048,5.830481378618458
2s5s15s,fly,-29.29331312521026,4.862169053256139
2s5s20s,fly,-37.68985611289969,2.8860213314241605
2s5s30s,fly,-34.90184733607043,1.400366664684384
2s7s10s,fly,1.6329942681683178,3.7405739854074795
2s7s15s,fly,-15.642657095470895,2.77226166004516
2s7s20s,fly,-24.039200083160324,0.7961139382131819
2s7s30s,fly,-21.251191306331066,-0.6895407285265946
2s10s15s,fly,7.042407466651866,2.1125419525477582
2s10s20s,fly,-1.3541355210375627,0.13639423071577994
2s10s30s,fly,1.4338732557916956,-1.3492604360239966
2s15s20s,fly,33.19716720624086,2.0730188814404187
2s15s30s,fly,35.98517598307012,0.5873642147006422
2s20s30s,fly,52.77826195844898,4.539659658364599
3s4s5s,fly,-0.7030300705030186,0.8102133345946072
3s4s7s,fly,-7.528358085372702,1.8551670312000965
3s4s10s,fly,-18.870890366434082,2.1850268849487975
3s4s15s,fly,-36.146541730073295,1.2167145595864781
3s4s20s,fly,-44.543084717762724,-0.7594331622455002
3s4s30s,fly,-41.755075940933466,-2.2450878289852767
3s5s7s,fly,-2.5623078111897257,0.44910689019405936
3s5s10s,fly,-13.904840092251106,0.7789667439427603
3s5s15s,fly,-31.18049145589032,-0.18934558141955904
3s5s20s,fly,-39.57703444357975,-2.1654933032515373
3s5s30s,fly,-36.78902566675049,-3.651147969991314
