label,kind,level_bp,cr_bp,n_obs,rlzd_vol_bp,level_hist_bp,zs,rac
2s3s,curve_spot,1.887178330680058,5.051514634675698,500,0.7372707676339048,2.189000002961393,1.5773274623103983,0.43161281458846323
2s4s,curve_spot,3.6671733972685274,5.1586978987672865,500,1.2607165155974553,3.866000005957858,1.2774616018611669,0.25776407154167275
2s5s,curve_spot,6.150198534360015,4.455667828264268,500,1.6838863709902998,6.365000009610014,1.052392760804009,0.16668624158446588
2s7s,curve_spot,12.975526549229699,3.4107141316587786,500,2.2268326282591095,13.498000019298331,0.7497167708957698,0.09648448301248903
2s10s,curve_spot,24.31805883029108,3.0808542779100776,500,2.7375705072019327,25.16900004512695,0.5613744643979559,0.07089336210733144
2s15s,curve_spot,41.59371019393029,4.049166603272397,500,3.2336346710827746,42.61000000689762,0.4831232272891122,0.07888136606868403
2s20s,curve_spot,49.99025318161972,6.025314325104375,500,3.5292740305573407,50.76599821883957,0.48357659225375094,0.10754594919923632
2s30s,curve_spot,47.20224440479046,7.510968991844152,500,3.8567388665130045,48.082989297133224,0.5286734747415403,0.1226804793310494
3s4s,curve_spot,1.7799950665884694,0.10718326409158863,500,0.5854162723542712,1.677000002996465,0.6721944671421506,0.01153352119989989
3s5s,curve_spot,4.263020203679957,-0.59584680641143,500,1.0526034327049114,4.176000006648621,0.4747736636152717,-0.03565903314616154
3s7s,curve_spot,11.08834821854964,-1.6408005030169193,500,1.6603923259274505,11.309000016336938,0.27293619917976647,-0.06225077930398746
3s10s,curve_spot,22.43088049961102,-1.9706603567656202,500,2.254595580160307,22.980000042165557,0.20101597524341205,-0.05506084326751952
3s15s,curve_spot,39.706531863250234,-1.0023480314033009,500,2.8281503366924596,40.42100000393623,0.21322583586131488,-0.02232624980751287
3s20s,curve_spot,48.10307485093966,0.9737996904286774,500,3.163033190370053,48.57699821587818,0.2543651385070317,0.019393920574402982
3s30s,curve_spot,45.315066074110405,2.459454357168454,500,3.5343961014775953,45.89398929417183,0.3401014504451361,0.043835228768350644
4s5s,curve_spot,2.483025137091488,-0.7030300705030186,500,0.4871332508988698,2.4990000036521565,0.22808378723178915,-0.09091297217513543
4s7s,curve_spot,9.308353151961171,-1.747983767108508,500,1.1424998154383936,9.632000013340473,0.09914345169181404,-0.09637868272657592
4s10s,curve_spot,20.65088543302255,-2.077843620857209,500,1.7963652272003052,21.303000039169092,0.0868545701202278,-0.07286482886490322
4s15s,curve_spot,37.926536796661765,-1.1095312954948895,500,2.4206134985561234,38.744000000939764,0.13767542940346236,-0.028874457628139723
4s20s,curve_spot,46.323079784351194,0.8666164263370888,500,2.7795616803580576,46.89999821288171,0.19566768217293692,0.01964040009115413
4s30s,curve_spot,43.535071007521935,2.3522710930768653,500,3.1799685167610967,44.216989291175366,0.29865918074393866,0.04659767852959692
5s7s,curve_spot,6.825328014869683,-1.0449536966054893,500,0.7105415097249032,7.133000009688317,0.029028747677234925,-0.09264187192700643
5s10s,curve_spot,18.167860295931064,-1.3748135503541903,500,1.4017785759194759,18.804000035516935,0.05189792211344337,-0.06178230618017093
