windows,ewma_short_spans,ewma_long_spans,retrain_label,retrain_every,svm_c,svm_gamma,z_threshold,total_pnl,sharpe,max_drawdown,n_trades,win_rate,exposure_bars,error
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,0.1,1.25,-51635.19481557798,-0.29216878528965223,-130549.88246187432,7.0,0.4957983193277311,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,0.1,1.25,38490.97194770785,0.2119910356467438,-105153.40476724246,15.0,0.5433070866141733,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,0.1,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,0.1,1.75,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,0.1,1.75,-26293.44919884238,-0.37643504307823034,-56264.18846754433,2.0,0.42857142857142855,20,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,0.1,1.75,32872.11098147444,0.2956920391745845,-56264.18846754433,2.0,0.47540983606557374,60,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,0.1,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,0.1,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,1.0,1.25,108347.70514178147,0.6146760677994633,-114889.79536821299,1.0,0.4957983193277311,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,1.0,1.25,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,1.0,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,1.0,1.25,222726.79275782342,1.265921120830172,-52201.068905597946,5.0,0.5126050420168067,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,1.0,1.25,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,1.0,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,1.0,1.25,108347.70514178147,0.6146760677994633,-114889.79536821299,1.0,0.4957983193277311,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,1.0,1.25,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,1.0,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,1.0,1.75,108679.54159295578,0.5999222936804726,-114889.79536821299,1.0,0.49606299212598426,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,1.0,1.75,-26293.44919884238,-0.37643504307823034,-56264.18846754433,2.0,0.42857142857142855,20,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,1.0,1.75,32872.11098147444,0.2956920391745845,-56264.18846754433,2.0,0.47540983606557374,60,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.02,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,0.01,1.25,-34449.48434569672,-0.19466202141653965,-95150.13966380683,17.0,0.5126050420168067,119,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,0.01,1.25,100279.07852344461,0.5545686939558261,-100226.08703880096,23.0,0.5511811023622047,127,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,0.01,1.25,118669.98213689348,0.7174299268443237,-114889.795368213,1.0,0.5096153846153846,104,
