basis,ma,zscore_window,entry_min_zscore,exit_style,config,n_trades,total_net_bp,hit_rate,avg_net_bp,sharpe,max_dd_bp,avg_hold_days,worst_bp
premium,10,120,1.5,t10,premium|ma10|w120|z1.5|t10|lag1,12,-36.75,0.0,-3.0625,-4.470470252071463,-36.5,9.333333333333334,-6.75
premium,10,120,2.0,z0,premium|ma10|w120|z2.0|z0|lag1,6,-12.5,0.5,-2.0833333333333335,-1.4076277965992425,-18.0,16.333333333333332,-9.75
premium,10,120,2.0,half,premium|ma10|w120|z2.0|half|lag1,6,-10.5,0.5,-1.75,-1.186465153312621,-17.75,15.333333333333334,-9.75
premium,10,120,2.0,t10,premium|ma10|w120|z2.0|t10|lag1,7,-19.75,0.14285714285714285,-2.8214285714285716,-3.0531279916316034,-22.75,10.0,-7.25
premium,10,120,2.5,z0,premium|ma10|w120|z2.5|z0|lag1,1,-3.0,0.0,-3.0,-6.896349253592284,-3.0,7.0,-3.0
premium,10,120,2.5,half,premium|ma10|w120|z2.5|half|lag1,1,-3.0,0.0,-3.0,-6.896349253592284,-3.0,7.0,-3.0
premium,10,120,2.5,t10,premium|ma10|w120|z2.5|t10|lag1,1,-3.5,0.0,-3.5,-5.626858667279499,-3.5,10.0,-3.5
skew,1,60,1.5,z0,skew|ma1|w60|z1.5|z0|lag1,6,-5.0280000000000005,0.6666666666666666,-0.8380000000000001,-0.8233860124712851,-15.436293763999203,5.666666666666667,-9.998
skew,1,60,1.5,half,skew|ma1|w60|z1.5|half|lag1,7,-19.804999999999996,0.42857142857142855,-2.8292857142857137,-3.606334205702319,-25.39476421391142,3.857142857142857,-9.998
skew,1,60,1.5,t10,skew|ma1|w60|z1.5|t10|lag1,5,-8.288,0.2,-1.6576,-0.9783494676514904,-18.42133310592997,8.4,-5.496
skew,1,60,2.0,z0,skew|ma1|w60|z2.0|z0|lag1,2,1.577,1.0,0.7885,0.7148075950994648,-4.061841171884826,7.0,0.734
skew,1,60,2.0,half,skew|ma1|w60|z2.0|half|lag1,3,-4.516,0.6666666666666666,-1.5053333333333334,-1.8295254355361577,-4.061841171884826,4.0,-8.807
skew,1,60,2.0,t10,skew|ma1|w60|z2.0|t10|lag1,2,1.959,0.5,0.9795,0.610932393039107,-4.084300405906269,10.0,-0.85
skew,1,60,2.5,z0,skew|ma1|w60|z2.5|z0|lag1,1,0.734,1.0,0.734,0.5867609214774806,-0.20791096765192307,6.0,0.734
skew,1,60,2.5,half,skew|ma1|w60|z2.5|half|lag1,1,-8.807,0.0,-8.807,,0.0,1.0,-8.807
skew,1,60,2.5,t10,skew|ma1|w60|z2.5|t10|lag1,1,-0.85,0.0,-0.85,-0.4299874689581388,-4.084300405906269,10.0,-0.85
skew,1,120,1.5,z0,skew|ma1|w120|z1.5|z0|lag1,5,-1.0309999999999988,0.6,-0.20619999999999977,-0.17443897108883244,-16.88444824218,6.0,-9.998
skew,1,120,1.5,half,skew|ma1|w120|z1.5|half|lag1,6,-6.116,0.6666666666666666,-1.0193333333333332,-1.2739772055581924,-20.239451203651786,3.8333333333333335,-9.998
skew,1,120,1.5,t10,skew|ma1|w120|z1.5|t10|lag1,5,-1.7999999999999998,0.4,-0.36,-0.1872087707855788,-17.831802545149085,10.0,-3.929
skew,1,120,2.0,z0,skew|ma1|w120|z2.0|z0|lag1,2,-1.347,0.5,-0.6735,-0.4953738564079229,-5.424106926405745,7.5,-2.19
skew,1,120,2.0,half,skew|ma1|w120|z2.0|half|lag1,3,-2.955,0.6666666666666666,-0.985,-1.3731737371385906,-1.5367005758050478,3.6666666666666665,-8.807
skew,1,120,2.0,t10,skew|ma1|w120|z2.0|t10|lag1,2,1.959,0.5,0.9795,0.610932393039107,-4.084300405906269,10.0,-0.85
skew,1,120,2.5,z0,skew|ma1|w120|z2.5|z0|lag1,1,-2.19,0.0,-2.19,-1.2909174736061215,-5.424106926405745,7.0,-2.19
skew,1,120,2.5,half,skew|ma1|w120|z2.5|half|lag1,1,-8.807,0.0,-8.807,,0.0,1.0,-8.807
skew,1,120,2.5,t10,skew|ma1|w120|z2.5|t10|lag1,1,-0.85,0.0,-0.85,-0.4299874689581388,-4.084300405906269,10.0,-0.85
skew,5,60,1.5,z0,skew|ma5|w60|z1.5|z0|lag1,11,-4.710000000000002,0.45454545454545453,-0.42818181818181833,-0.19143702876067628,-20.90271000129313,9.636363636363637,-5.328
