clock,split,scope,bucket,n_obs,n_days,n_clusters,sum_beta_kneg,se_cluster_kneg,t_cluster_kneg,se_nw_kneg,t_nw_kneg,sum_beta_kpos,se_cluster_kpos,t_cluster_kpos,se_nw_kpos,t_nw_kpos,diff_pos_minus_neg,se_cluster_diff,t_cluster_diff,se_nw_diff,t_nw_diff,beta_k0,se_cluster_k0,t_cluster_k0,abs_ratio_pos_over_neg,post_print_share,centroid_absbeta_D2
exec,all,pooled,POOLED,402946,67,67,-0.015173494443681554,0.011563888117409467,-1.3121446947275297,0.009788281137907777,-1.5501694556890153,-0.0028509994888440927,0.0018907070972609993,-1.5079011936720579,0.002659368832790433,-1.07205869817335,0.012322494954837462,0.010260024743467483,1.2010200036489334,0.008889126133401377,1.3862436835646885,-0.0008078612551456158,0.0005032853762684303,-1.6051753006126253,0.18789340184134623,0.1581736219345051,-3.25958386051688
exec,all,bucket,SFR_FF,57600,44,44,-0.1362876000934684,0.04817768303792878,-2.828853350755234,0.039714242512428,-3.4317058936934064,-0.016743565740904638,0.03451177682392116,-0.4851551349074315,0.027117244750008228,-0.617450847062903,0.11954403435256376,0.06291802250530225,1.8999966876341277,0.05267403490706526,2.269505925708553,0.00014662632068951123,0.003732970126362563,0.039278728660061664,0.1228546524366238,0.10941278300804651,-3.410590696967008
exec,all,bucket,TU,86331,67,67,-0.006764036609873901,0.013668792131194773,-0.49485254768320663,0.013973946059954463,-0.484046280188371,-0.018347342845901168,0.008571914759058842,-2.1404019243788683,0.00953610437706513,-1.9239872090774892,-0.01158330623602727,0.020285780640431645,-0.5710061861233258,0.019256904493848453,-0.6015144458823855,-0.0020809400173998215,0.0015416937720045903,-1.34977519867261,2.7124842611168556,0.7306385887009358,1.6505873833796771
exec,all,bucket,FV,86336,67,67,-0.06832836233743819,0.039187936718336244,-1.7436070398028123,0.034685495565793506,-1.969940495958286,0.01914904087983468,0.013229756338405788,1.4474220378681726,0.014095940286677036,1.3584791429581784,0.08747740321727286,0.049789741858722515,1.7569362674240891,0.04480239308437693,1.9525163098436622,-0.005342758070637316,0.0029613184037376567,-1.804182239874612,0.28025025369798184,0.21890271287858257,-1.3678219201921604
exec,all,bucket,TY_UXY,86340,67,67,-0.007125754139107027,0.00439322072428804,-1.6219886471244438,0.004646699360968125,-1.5335087522474014,-0.0023411024126554682,0.0020886500067447775,-1.1208686975297242,0.001913625070190823,-1.2233861528695473,0.004784651726451558,0.0025640142146237375,1.866078471469665,0.003690439980680579,1.296498995106049,-0.0003635911955556588,0.00019159967128052436,-1.897660852576927,0.3285410030928806,0.24729459032730486,-0.5620776763211824
exec,all,bucket,US,86339,67,67,-0.10612438637358312,0.026549863575336705,-3.9971725682299386,0.023864239384596676,-4.447004769910319,0.017771430120598904,0.037634453941418684,0.4722117171744191,0.02703191831371481,0.6574239354512424,0.12389581649418203,0.03863888086068424,3.2065063411359893,0.03526287197593983,3.513491940722164,-0.001964029075862578,0.004066997914666391,-0.4829186336142205,0.1674584959015851,0.1434385003744935,-1.6298095214793866
exec,block,pooled,POOLED,402946,67,67,0.00529825985444218,0.011674974832022235,0.4538133855252571,,,-0.0039433739388227305,0.010006401297125957,-0.3940851282823674,,,-0.00924163379326491,0.017187027807928475,-0.5377098295612049,,,-0.00040534960670410487,0.001612203882713689,-0.2514257725405136,0.7442771866911204,0.4266966238909586,0.3575075990864829
exec,block,bucket,SFR_FF,57600,44,44,0.10078451115148286,0.03344216612283096,3.013695667359217,,,-0.008970106304436105,0.024277627404274124,-0.3694803513978018,,,-0.10975461745591897,0.048645428787088774,-2.2562164666343634,,,-0.001983251517994821,0.0029934072595689232,-0.6625398236925591,0.08900282594965116,0.08172873736304345,-1.3301878538050877
exec,block,bucket,TU,86331,67,67,-0.01746517293726155,0.014584064426682128,-1.197551822748967,,,0.021167665284922664,0.01841636659040451,1.1493942185073394,,,0.03863283822218421,0.021827687637505266,1.7699006355489355,,,-0.0004560946005331458,0.0027674795136718873,-0.16480505032826792,1.2119928821180996,0.5479189792679408,0.5708177323986096
exec,block,bucket,FV,86336,67,67,-0.013824173507672642,0.020486573262565505,-0.6747918907908886,,,0.026686371708673433,0.0231047336090554,1.1550175024833131,,,0.040510545216346075,0.032319354466059436,1.2534453699837576,,,0.0002178226855116353,0.0032854895038997747,0.06629839640427598,1.9304135392876876,0.6587512354167339,0.4490201379883824
exec,block,bucket,TY_UXY,86340,67,67,-0.016724207396475912,0.018439111643256203,-0.9069963737972437,,,-0.02928080574931861,0.02183637344427326,-1.3409188949824316,,,-0.012556598352842696,0.02848993603479374,-0.4407380324584714,,,-0.0021626898538507607,0.004660673606464811,-0.4640294593577413,1.7508037932780358,0.6364698920207844,3.1519157122586496
exec,block,bucket,US,86339,67,67,-0.013698795290061419,0.0215404809740713,-0.6359558686990754,,,-0.028839714781084345,0.015387624710483659,-1.87421485275994,,,-0.015140919491022926,0.02336584431174273,-0.6479936821034844,,,0.0012724227291404074,0.0027280766927103937,0.4664175067146783,2.105273797470919,0.6779672050772312,2.706071085130757
exec,nonblock,pooled,POOLED,402946,67,67,-0.017619571834061414,0.013865314642040185,-1.27076610152345,,,-0.0017383606124074984,0.001279408002165699,-1.3587226353633197,,,0.015881211221653917,0.013488168664218377,1.1774178998653717,,,-0.0009239918533591272,0.0006123385617275132,-1.5089558474847413,0.09866077500515494,0.08980094424932211,-3.2602152940171965
exec,nonblock,bucket,SFR_FF,57600,44,44,-0.22521595983977644,0.03390785361143651,-6.6419998865341086,,,-0.0036258384343327097,0.03459079540874355,-0.10482090369671587,,,0.2215901214054437,0.04911345763418508,4.511800473424771,,,0.0016549636316759036,0.004463504367680649,0.37077674744964234,0.01609938494994853,0.015844301441774383,-4.0572990807339
exec,nonblock,bucket,TU,86331,67,67,-0.006455155213352862,0.013505956120067521,-0.47794877726291546,,,-0.01548688319489672,0.011068389263204729,-1.3991993619505811,,,-0.009031727981543863,0.022748029775357927,-0.39703341655230245,,,-0.002399148890386558,0.0018061202609888731,-1.3283439326864062,2.399149622748219,0.7058087724918981,2.952145548935787
exec,nonblock,bucket,FV,86336,67,67,-0.08001425828975922,0.04359683379525225,-1.8353226903021769,,,0.021716424716141613,0.01386172391871731,1.5666467492414995,,,0.10173068300590085,0.055441030235761406,1.8349349312827343,,,-0.006814633183687308,0.003691427593394486,-1.846069850017253,0.271406936467485,0.21346976226319017,-1.793866455980802
