cells,n_cells,sd_u_bp_upper,sd_w_bp_upper,sd_d_bp_identity,sd_u_bp_identity,sd_w_bp_identity,att_median_rule,att_reference,pred_sign_corr,measured_sign_corr,pred_agreement,measured_agreement
"(tenor, minute)",1047,33.36838503725093,13.282400430263253,26.1344624584938,9.627136072636468,12.353402148296082,0.7188948951309099,0.7753082972103835,0.6448164856023968,0.3634655365716913,0.8224082428011983,0.6760661864805326
"(tenor, 30min)",4333,21.37549500231964,12.454971464288496,26.1344624584938,9.627136072636468,12.353402148296082,0.7188948951309099,0.7753082972103835,0.6448164856023968,0.3634655365716913,0.8224082428011983,0.6760661864805326
