cell,n_obs,n_days,beta_z,se_z_dk,t_z_dk,p_z_dk,se_z_cl,t_z_cl,p_z_cl,edge_bps,edge_se_dk,edge_t_dk,edge_p_dk,edge_se_cl,edge_t_cl,edge_p_cl,n_bucket_days,mde_beta_dk,mde_edge_dk,mean_abs_z,beta_zq,se_zq_dk,t_zq_dk,p_zq_dk,beta_q,se_q_dk,t_q_dk,p_q_dk,se_zq_cl,t_zq_cl,p_zq_cl,se_q_cl,t_q_cl,p_q_cl,round_trip_bps,kill_threshold_bps,p_beta_governing,p_edge_governing,mde_beta,mde_edge_bps,verdict
POOLED_UNCONDITIONAL,2763,307,0.024034743655944,0.6650816897041927,0.03613803240716775,0.9711958595083646,0.4515277423132842,0.05322982710388576,0.9575835242181758,-0.3164917182275488,0.598990052059154,-0.5283755834333844,0.5976216677332669,0.3959853557453472,-0.7992510673326019,0.4247647943242836,2763,2.050446849358026,1.8466863304983718,0.5774510543858948,,,,,,,,,,,,,,,,2.153951584396406,0.9711958595083646,0.5976216677332669,2.050446849358026,1.8466863304983718,UNINFORMATIVE_COST
POOLED_CONDITIONAL_D2D_RATIO,2763,307,0.1278682958704092,0.6376485097158746,0.2005310040281991,0.8411985257878397,0.4519215694685964,0.28294355593774034,0.7774114127635692,,,,,,,,2763,1.6903440176771185,,,-1.0962246778801852,0.5482789548093151,-1.9993922222702112,0.0464498630422594,-0.3894719867964472,0.48654507982740364,-0.8004848942971696,0.4240509514672278,0.44426909289089644,-2.467479046869902,0.014153888592766969,0.39536697141891064,-0.9850898404555462,0.3253581906261641,,2.153951584396406,0.8411985257878397,,1.9658703554540415,,DIAGNOSTIC
BUCKET::0-1Y,307,307,1.1290181918806472,0.8770643679330865,1.2872694789110197,0.19897318731195074,0.8907778919638529,1.2674519676185025,0.20595739244246983,1.1353327127744839,0.793686621878458,1.4304546422710704,0.15360689622518803,0.6148366736931189,1.8465598448363836,0.06577644047247756,307,2.703989446337706,2.446935855251286,,,,,,,,,,,,,,,,1.3969538666171497,2.7939077332342994,0.20595739244246983,0.15360689622518803,2.7462682409245587,2.446935855251286,UNINFORMATIVE_COST
BUCKET::10-15Y,307,307,-0.3455365693977558,1.043216692761032,-0.33122223963196046,0.7407033323001917,0.9972847113333128,-0.34647735543423014,0.7292221248417895,-0.27153304386846083,0.9082796491871736,-0.2989531298113503,0.7651787352639051,0.6714487229871815,-0.4043987791956,0.6862020077148423,307,3.2162370637822617,2.8002261584440564,,,,,,,,,,,,,,,,0.8086319186515156,1.6172638373030312,0.7407033323001917,0.7651787352639051,3.2162370637822617,2.8002261584440564,UNINFORMATIVE_POWER
BUCKET::15-20Y,307,307,-0.13888613571683298,0.8093847373825971,-0.17159470558583234,0.8638695900982807,0.6562289085160241,-0.2116428184044891,0.8325265921783566,-0.887953312053812,0.7522849368442223,-1.1803417409614876,0.2387810368577809,0.6534551956931812,-1.358858752529891,0.17519209762886026,307,2.495333145350547,2.3192944602907373,,,,,,,,,,,,,,,,1.1354224234168209,2.2708448468336417,0.8638695900982807,0.2387810368577809,2.495333145350547,2.3192944602907373,UNINFORMATIVE_POWER
BUCKET::2-3Y,307,307,-0.3886320657304514,1.1782329967843435,-0.3298431352636649,0.7417441755491536,0.8900424205241981,-0.4366444303874451,0.6626771740215377,-0.833562944156531,0.9889817982469122,-0.8428496314432888,0.3999708601139348,0.7482098082283231,-1.1140764729218327,0.2661206708703835,307,3.6324923290861313,3.0490308839952305,,,,,,,,,,,,,,,,1.3595571388752443,2.7191142777504886,0.7417441755491536,0.3999708601139348,3.6324923290861313,3.0490308839952305,UNINFORMATIVE_POWER
BUCKET::20-30Y,307,307,0.20545160116765873,1.0186957774118393,0.20168101775158195,0.8403001089013633,0.7250152236241166,0.2833755685027862,0.7770805740754888,-1.1011078296440395,0.8951871527429206,-1.230030867031729,0.2196303529228043,0.633949098802235,-1.7369025868550654,0.08341066506402618,307,3.1406390817607006,2.7598619919064244,,,,,,,,,,,,,,,,0.9678702584058332,1.9357405168116664,0.8403001089013633,0.2196303529228043,3.1406390817607006,2.7598619919064244,UNINFORMATIVE_POWER
BUCKET::3-5Y,307,307,-0.31438326759239077,1.0649963320843459,-0.29519657309720404,0.768043909983997,0.7420947264586475,-0.42364304230089345,0.6721237840066177,-0.9907137352494704,1.0627195218489442,-0.9322438469237899,0.351945473830647,0.7363570723178596,-1.3454257078443783,0.17948392619008996,307,3.2833836918160384,3.2763642858602955,,,,,,,,,,,,,,,,1.3630534797478302,2.7261069594956604,0.768043909983997,0.351945473830647,3.2833836918160384,3.2763642858602955,UNINFORMATIVE_POWER
BUCKET::30Y+,307,307,0.33301663745689647,0.598623563459123,0.5563039241766107,0.5784096737358149,0.5848304593183206,0.569424235948759,0.5694860254301402,1.1781519412482495,0.75008173574718,1.570698078756251,0.1172862070212878,0.628130512983846,1.8756483197283376,0.061655563622679835,307,1.8455564461444764,2.312501991308556,,,,,,,,,,,,,,,,0.9844745436004592,1.9689490872009183,0.5784096737358149,0.1172862070212878,1.8455564461444764,2.312501991308556,UNINFORMATIVE_POWER
BUCKET::5-7Y,307,307,-0.6624230326361656,1.0681711747738591,-0.6201468905734198,0.5356226274158389,0.7793017071144545,-0.8500212774959017,0.395977834753222,-0.528916847718178,0.9456525884831626,-0.5593141225009141,0.5763564876130054,0.7222710464605634,-0.7322968992182318,0.4645478826126419,307,3.2931717318278078,2.9154469302935904,,,,,,,,,,,,,,,,0.8764457682215471,1.7528915364430941,0.5356226274158389,0.5763564876130054,3.2931717318278078,2.9154469302935904,UNINFORMATIVE_POWER
