contract,symbol,date,legend,fetch_mode,distribution_mode,mean,median,mode,p5,p10,p25,p75,p90,p95,input_strikes,input_min_rate,input_max_rate,forward_rate,warnings,mean_jpm,mean_diff,median_jpm,median_diff,mode_jpm,mode_diff,p5_jpm,p5_diff,p10_jpm,p10_diff,p25_jpm,p25_diff,p75_jpm,p75_diff,p90_jpm,p90_diff,p95_jpm,p95_diff,rmse_stats,jpm_no_strikes,jpm_min_rate,jpm_max_rate
U6,SFRU26,2026-04-29,1BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.7155556385366713,3.6768697303833067,3.67152326163081,3.1669169960369397,3.333062386619412,3.567731676849592,3.780967381599192,4.21529460360137,4.48918321677945,47,1.6875,5.125,3.6899999999999977,negative density mass clipped (0.77% of total),3.72,-0.0044443614633289386,3.67,0.006869730383306738,3.66,0.011523261630809856,3.14,0.026916996036939533,3.34,-0.006937613380587848,3.58,-0.012268323150407934,3.79,-0.009032618400807824,4.18,0.035294603601370156,4.58,-0.09081678322054998,0.03447685755859838,57,0.5,6.25
U6,SFRU26,2026-04-29,1BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.6811469407299495,3.6880870294373573,3.6916672218725637,3.1131989340220505,3.3080030250019545,3.5059375510362383,3.8710358831642364,4.0900585769035676,4.27450263072576,240,0.0,6.017707518026171,3.6899999999999977,negative density mass clipped (0.82% of total),3.72,-0.03885305927005067,3.67,0.018087029437357405,3.66,0.031667221872563545,3.14,-0.026801065977949623,3.34,-0.031996974998045324,3.58,-0.0740624489637618,3.79,0.08103588316423638,4.18,-0.08994142309643216,4.58,-0.3054973692742404,0.11452888052317568,57,0.5,6.25
U6,SFRU26,2026-04-23,5BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.6524073625497673,3.6663136947444173,3.690407703851932,3.109930290845391,3.282182013007301,3.523408456992323,3.760922662359277,3.8898589287466163,4.366249831728758,51,1.375,5.625,3.644999999999996,negative density mass clipped (0.76% of total),3.68,-0.027592637450232882,3.67,-0.003686305255582667,3.69,0.0004077038519318954,3.1,0.009930290845391099,3.28,0.0021820130073013644,3.54,-0.016591543007677068,3.76,0.0009226623592772931,3.95,-0.06014107125338386,4.47,-0.10375016827124206,0.04154737194575042,57,0.5,6.25
U6,SFRU26,2026-04-23,5BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.64335176758499,3.650426496597507,3.6337048500290194,3.052384551805749,3.260593726541953,3.47656613890934,3.8376767621162085,4.050344837815504,4.204050221618044,240,0.0,5.886063329340018,3.644999999999996,negative density mass clipped (0.94% of total),3.68,-0.03664823241501036,3.67,-0.019573503402492864,3.69,-0.05629514997098051,3.1,-0.04761544819425101,3.28,-0.019406273458046908,3.54,-0.06343386109065996,3.76,0.07767676211620866,3.95,0.10034483781550385,4.47,-0.2659497783819553,0.10455997664523735,57,0.5,6.25
U6,SFRU26,2026-04-01,21BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.7010534265352097,3.678344838190779,3.689282141070535,2.978141354811678,3.1916997036708334,3.5423289829543845,3.7779502313690294,4.3490344141402195,4.57465154195834,47,1.6875,5.125,3.6650000000000063,negative density mass clipped (3.23% of total),3.73,-0.028946573464790237,3.68,-0.0016551618092210951,3.68,0.009282141070535044,2.93,0.04814135481167803,3.18,0.011699703670833284,3.54,0.00232898295438444,3.78,-0.0020497686309703944,4.43,-0.0809655858597802,4.83,-0.2553484580416603,0.09137782478310286,57,0.5,6.25
U6,SFRU26,2026-04-01,21BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.6959760878079524,3.701358845630158,3.7325460894189035,2.8599545283848675,3.1089126822953292,3.432576222067445,3.9319255292195483,4.2529009437463445,4.552825192263895,240,0.0,6.8268821764554986,3.6650000000000063,negative density mass clipped (0.12% of total); rate floor at 0.00% truncated 0.95% of mass,3.73,-0.03402391219204759,3.68,0.021358845630157663,3.68,0.052546089418903374,2.93,-0.07004547161513264,3.18,-0.07108731770467092,3.54,-0.10742377793255509,3.78,0.1519255292195485,4.43,-0.17709905625365518,4.83,-0.27717480773610514,0.13213876439241212,57,0.5,6.25
Z6,SFRZ26,2026-04-29,1BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.809745597073939,3.675059496973627,3.643446723361677,2.9330967867454043,3.1263008069497684,3.516379939374645,4.081276658660078,4.653489403320642,5.230177044396459,56,1.25,6.25,3.7450000000000045,negative density mass clipped (1.30% of total),3.74,0.0697455970739389,3.68,-0.004940503026372944,3.66,-0.016553276638322956,2.87,0.0630967867454042,3.14,-0.013699193050231706,3.45,0.0663799393746447,4.01,0.0712766586600786,4.56,0.0934894033206426,4.96,0.2701770443964593,0.10570099469195811,60,0.5,6.5
Z6,SFRZ26,2026-04-29,1BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.7488904982210203,3.7304327090538765,3.6997484291211435,2.6231578947176737,3.041289086479543,3.413317520420152,4.080070530347314,4.497592650757394,4.857322320420005,240,0.0,7.763358152205797,3.7450000000000045,negative density mass clipped (0.43% of total); rate floor at 0.00% truncated 0.36% of mass,3.74,0.00889049822102006,3.68,0.05043270905387631,3.66,0.0397484291211434,2.87,-0.24684210528232642,3.14,-0.09871091352045713,3.45,-0.03668247957984816,4.01,0.07007053034731392,4.56,-0.062407349242605825,4.96,-0.10267767957999485,0.10304808627350429,60,0.5,6.5
Z6,SFRZ26,2026-04-23,5BD ago,bounded_listed_otm_oi100,raw_jpm_bl,3.625087895879794,3.6461512572066983,3.728176588294147,2.763490212491548,3.038278756731012,3.364550867865446,3.8386825760647056,4.288609734274809,4.641902283405155,54,1.375,5.875,3.6400000000000006,negative density mass clipped (0.41% of total),3.64,-0.014912104120206049,3.66,-0.013848742793301838,3.71,0.018176588294147145,2.78,-0.01650978750845189,3.03,0.008278756731012304,3.37,-0.005449132134554002,3.86,-0.021317423935294233,4.34,-0.05139026572519079,4.76,-0.11809771659484447,0.04491697707416075,60,0.5,6.5
Z6,SFRZ26,2026-04-23,5BD ago,bounded_listed_otm_oi100,sabr_smoothed_bl,3.6637597453263715,3.64527277814691,3.5975073870210252,2.616662359501782,2.994774340314362,3.340720212209146,3.9658565762705287,4.301239022917981,4.720648831530557,240,0.0,7.349558885479141,3.6400000000000006,rate floor at 0.00% truncated 0.41% of mass,3.64,0.023759745326371373,3.66,-0.014727221853090278,3.71,-0.11249261297897473,2.78,-0.16333764049821786,3.03,-0.035225659685637734,3.37,-0.02927978779085416,3.86,0.1058565762705288,4.34,-0.038760977082018755,4.76,-0.039351168469442754,0.07921131018933118,60,0.5,6.5
