curve_name,point,n_days,mean_bp,sd_bp,min_bp,max_bp,bias_to_noise
THB-THOR-1D,10Yx10Y,44,4.304428804309598,0.38605976974548656,3.2451589171676343,4.991242648946592,11.149643505064857
ZAR-ZARONIA-1D,10Yx10Y,44,1.696241369530985,0.1572081861185246,1.4842357581741794,2.0410568495883297,10.789777628069132
MXN-FONDEO-1D,10Yx10Y,44,-2.878887847763346,0.27161567511959916,-3.4129477145606657,-2.492790172958159,10.599122626099174
THB-THOR-1D,5Yx10Y,44,1.436882121614885,0.15841882456082282,1.1130759599485174,1.7508089868142562,9.07014760145006
THB-THOR-1D,5Yx5Y,44,0.8647967776109059,0.09939044534929245,0.719043446332801,1.176817038117317,8.701005157706161
USD-FEDFUNDS-1D,10Yx10Y,44,-0.1654775129061062,0.019075919867957248,-0.20596083810993093,-0.12860687637799018,8.674680647199974
MXN-FONDEO-1D,5Yx10Y,44,-1.0396378293779565,0.1273665839300043,-1.2757533649036645,-0.8178911233278185,8.16256350212942
USD-FEDFUNDS-1D,5Yx10Y,44,-0.0634715330550292,0.00895708854637281,-0.08117897096822091,-0.046450284946164544,7.086179033111391
MXN-FONDEO-1D,5Yx5Y,44,-0.642394755372107,0.09546278529615806,-0.8214181795079156,-0.46844086688206943,6.7292689332202045
THB-THOR-1D,2Yx5Y,44,0.26803849159813464,0.041196252157095554,0.1643678112131841,0.3695436320378942,6.506380497332893
ZAR-ZARONIA-1D,5Yx10Y,44,0.8832334443579004,0.1403883312710177,0.6831115039213742,1.2065675628074146,6.291359376961541
ZAR-ZARONIA-1D,5Yx5Y,44,0.552767173419893,0.10494421190351612,0.3955575351101359,0.8315704836341808,5.26724783952923
USD-FEDFUNDS-1D,5Yx5Y,44,-0.03598571723214438,0.006836044362197901,-0.04863107900483499,-0.021832760750228886,5.264114058583197
THB-THOR-1D,1Yx10Y,44,0.22031038172740658,0.04271721365982516,0.17218784712214052,0.3950446821032294,5.157414607652767
CHF-SARON-1D,5Yx5Y,44,0.0007831005918915421,0.0002137164444056851,0.00046018064462360897,0.0015211902133938082,3.664203725966118
SGD-SORA-1D,5Yx10Y,44,-0.0014968322795844652,0.00041988190481847344,-0.0023657457941084203,-0.0008575274073052697,3.5648887518303205
CHF-SARON-1D,5Yx10Y,44,0.0006335118081999976,0.00026581841577574805,0.0001327415417584632,0.0012199335340579154,2.3832502588325037
SGD-SORA-1D,5Yx5Y,44,-0.0013910319844616255,0.0006368969179857781,-0.0032544285715641053,0.00026034949702768984,2.1840771170016673
MXN-FONDEO-1D,1Yx10Y,44,-0.15684147183875846,0.07988274048880334,-0.2384740432296084,0.024778517019719004,1.9633962340180597
SEK-STINA-1D,1Yx1Y,44,1.3766337493772178,0.7561911236622157,0.3128117343048853,3.76685523451048,1.820483878083907
SEK-STINA-1D,1Yx10Y,44,0.1591465724482917,0.09521717537167346,-0.01871375689863619,0.4402922414918464,1.671406149437582
THB-THOR-1D,1Yx1Y,44,0.07380690922795302,0.05009279141223611,-0.009238699576585852,0.3126237287722766,1.4734038001708223
CHF-SARON-1D,1Yx1Y,44,0.2726053882146865,0.25649509490083,-0.12656444757470076,0.790608069226173,1.0628093621832624
NZD-NZIONA-1D,5Yx5Y,44,0.0020638891942310004,0.0021274547445988747,-0.0025026255485727233,0.006334084888681701,0.9701213149049338
