TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ3K8V81RGC1,New,,2024-02-07T11:56:03,JFTXSC,NA/Fwd Spread CHF USD,CHF USD,Spot,Spreadbets,Cash,CHF,USD,CASH,,USD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ2ZW9TRK1Z0,New,,2024-02-07T11:56:03,JFTXSC,NA/Fwd Spread CAD EUR,CAD EUR,Spot,Spreadbets,Cash,CAD,EUR,CASH,,CAD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ4VLDMD0ZKK,New,,2024-02-07T11:56:04,JFTXSC,NA/Fwd Spread CHF HKD,CHF HKD,Spot,Spreadbets,Cash,CHF,HKD,CASH,,HKD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ4Z0F7LRPPM,New,,2024-02-07T11:56:04,JFTXSC,NA/Fwd Spread EUR HKD,EUR HKD,Spot,Spreadbets,Cash,EUR,HKD,CASH,,HKD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ2LFV395ZDZ,New,,2024-02-07T11:56:05,JFTXSC,NA/Fwd Spread GBP SGD,GBP SGD,Spot,Spreadbets,Cash,GBP,SGD,CASH,,SGD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ2VQ1K8PQM7,New,,2024-02-07T11:56:06,JFTXSC,NA/Fwd Spread CHF NZD,CHF NZD,Spot,Spreadbets,Cash,CHF,NZD,CASH,,CHF,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ8VWJZ0G238,New,,2024-02-07T11:56:06,JFTXSC,NA/Fwd Spread EUR NZD,EUR NZD,Spot,Spreadbets,Cash,EUR,NZD,CASH,,NZD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZS03TMMW4W5,New,,2024-02-07T11:56:07,JFTXSC,NA/Fwd Spread GBP MXN,GBP MXN,Spot,Spreadbets,Cash,GBP,MXN,CASH,,MXN,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ91H2H78ZP6,New,,2024-02-07T11:56:08,JFTXSC,NA/Fwd Spread GBP HKD,GBP HKD,Spot,Spreadbets,Cash,GBP,HKD,CASH,,GBP,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZWLSDD5L6HS,New,,2024-02-07T11:56:09,JFTXSC,NA/Fwd Spread EUR MXN,EUR MXN,Spot,Spreadbets,Cash,EUR,MXN,CASH,,EUR,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZM778SD25HK,New,,2024-02-07T11:56:09,JFTXSC,NA/Fwd Spread JPY PLN,JPY PLN,Spot,Spreadbets,Cash,JPY,PLN,CASH,,JPY,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZHSX42VCK87,New,,2024-02-07T11:56:11,JFTXSC,NA/Fwd Spread EUR PLN,EUR PLN,Spot,Spreadbets,Cash,EUR,PLN,CASH,,PLN,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZG9ZGBGQ8WQ,New,,2024-02-07T11:56:11,JFTXSC,NA/Fwd Spread GBP HKD,GBP HKD,Spot,Spreadbets,Cash,GBP,HKD,CASH,,HKD,,,,,,,,
1,Foreign_Exchange,Forward,Spreadbet,UPI,QZ0M01H8N0LC,New,,2024-02-07T11:56:12,JFTXSC,NA/Fwd Spread CHF PLN,CHF PLN,Spot,Spreadbets,Cash,CHF,PLN,CASH,,PLN,,,,,,,,
