TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Fixed_Fixed,UPI,QZCNM5TJ8HNB,New,,2023-10-25 22:56:24,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd SEK,N/A,SEK,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ47LBCNGR7X,New,,2023-10-25 22:56:27,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CUC,N/A,CUC,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZH9K6XW0X22,New,,2023-10-25 22:56:40,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd ALL,N/A,ALL,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ5K4QJX72N6,New,,2023-10-25 22:56:41,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd ALL,,ALL,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ447PFX19RR,New,,2023-10-25 22:56:55,SRDYSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd AFN,N/A,AFN,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ1TBQHJ4VQQ,New,,2023-10-25 22:57:03,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd RON,N/A,RON,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZPXK23DQ82W,New,,2023-10-25 22:57:17,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd NOK,,NOK,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZPJXRHHWSP7,New,,2023-10-25 22:57:18,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CHF,N/A,CHF,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZJ0WD4Z56HR,New,,2023-10-25 22:57:22,SRDISP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd CHF,,CHF,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZQDF934PB04,New,,2023-10-25 22:57:30,SRDISP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd IDR,,IDR,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
