TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Forward,UPI,QZ9BK6LKLTXD,New,,2023-11-05 18:37:29,JFTXFP,NA/Fwd TZS UGX,TZS UGX,Spot,Forward price of underlying instrument,Physical,TZS,UGX,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZ44HKDWP21F,New,,2023-11-05 18:37:32,JFTXFP,NA/Fwd BHD PKR,BHD PKR,Spot,Forward price of underlying instrument,Physical,BHD,PKR,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZ45NG0B98TT,New,,2023-11-05 18:37:42,JFTXFP,NA/Fwd ZAR ZMW,ZAR ZMW,Spot,Forward price of underlying instrument,Physical,ZAR,ZMW,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZZCDDR1SNRW,New,,2023-11-05 18:37:49,JFTXFP,NA/Fwd GBP NPR,GBP NPR,Spot,Forward price of underlying instrument,Physical,GBP,NPR,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZM1HQXHS7V8,New,,2023-11-05 18:37:55,JFTXFP,NA/Fwd INR QAR,INR QAR,Spot,Forward price of underlying instrument,Physical,INR,QAR,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZHXZNVFM8TL,New,,2023-11-05 18:37:56,JFTXFP,NA/Fwd AUD NPR,AUD NPR,Spot,Forward price of underlying instrument,Physical,AUD,NPR,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZRC6Q5RGHLS,New,,2023-11-05 18:38:15,JFTXFP,NA/Fwd BWP NOK,BWP NOK,Spot,Forward price of underlying instrument,Physical,BWP,NOK,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZX10ZGBRRWV,New,,2023-11-05 18:38:18,JFTXFP,NA/Fwd CNY TZS,CNY TZS,Spot,Forward price of underlying instrument,Physical,CNY,TZS,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZQ93507K5W2,New,,2023-11-05 18:38:56,JFTXFP,NA/Fwd CHF PKR,CHF PKR,Spot,Forward price of underlying instrument,Physical,CHF,PKR,PHYS,,,,,,,,,,
1,Foreign_Exchange,Forward,Forward,UPI,QZ4Q56761H2P,New,,2023-11-05 18:40:06,JFTXFP,NA/Fwd AUD ZMW,AUD ZMW,Spot,Forward price of underlying instrument,Physical,AUD,ZMW,PHYS,,,,,,,,,,
