TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Option,Inflation_CapFloor,UPI,QZJBPD5HL66W,New,,2024-01-27T18:49:18,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,ESP-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,ESP-CPI,1.0,YEAR,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZD1K18WFMGW,New,,2024-01-27T18:49:19,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,1.0,YEAR,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ6FVWQJP9V1,New,,2024-01-27T19:37:41,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-AI-R-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-AI-R-CPI,20.0,YEAR,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZL42C33X43X,New,,2024-01-27T19:37:47,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-AI-R-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-AI-R-CPI,30.0,YEAR,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ84JG11Z2BN,New,,2024-01-27T20:45:35,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,446.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZSJHR8VQDN1,New,,2024-01-27T20:45:35,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,138.0,MNTH,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZTG19CSHVP1,New,,2024-01-28T19:42:11,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,EUR-EXT-CPI,30.0,DAYS,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZLT12Z92T19,New,,2024-01-28T19:48:10,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn EUR,EUR-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,EUR-EXT-CPI,30.0,DAYS,CALL,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZ379BK8KQZ6,New,,2024-01-28T20:34:09,HRGDMC,Inflation Rate Index,,Cash,NA/O P Epn EUR,FRC-EXT-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Put,FRC-EXT-CPI,30.0,DAYS,PUTO,,,,,,,,
1,Rates,Option,Inflation_CapFloor,UPI,QZG51PKDTLRK,New,,2024-01-30T16:47:39,HRGAMC,Inflation Rate Index,,Cash,NA/O Call Epn EUR,ESP-CPI,EUR,,,,,,,,,CASH,,,,,,,,,EURO,Other,European-Call,ESP-CPI,1.0,MNTH,CALL,,,,,,,,
