TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZS1JZ48MD4C,New,,2024-02-08T15:46:13,HFVHMC,NA/O Fwd Vol O USD XAG,USD XAG,Volatility,,Cash,USD,XAG,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZL1XZVS2KVP,New,,2024-02-12T14:30:26,HFVHMC,NA/O Fwd Vol O EUR PLN,EUR PLN,Volatility,,Cash,EUR,PLN,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZQ8RHW3KX4G,New,,2024-02-15T20:18:00,HFVHMC,NA/O Fwd Vol O GBP USD,GBP USD,Volatility,,Cash,GBP,USD,CASH,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZJGF2NMQFKX,New,,2024-02-20T15:49:23,HFVHMP,NA/O Fwd Vol O EUR ZAR,EUR ZAR,Volatility,,Physical,EUR,ZAR,PHYS,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZHB4FKVT5BQ,New,,2024-02-27T13:06:42,HFVAMC,NA/O Fwd Vol Call EUR NOK,EUR NOK,Volatility,,Cash,EUR,NOK,CASH,,,Other,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZR1M7GWHZZG,New,,2024-02-28T17:23:16,HFVHMP,NA/O Fwd Vol O CAD USD,CAD USD,Volatility,,Physical,CAD,USD,PHYS,,,Other,American-Chooser,OPTL,AMER,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ9S8F0BGJTH,New,,2024-03-06T14:02:56,HFVGMP,NA/O Fwd Vol O THB USD,THB USD,Volatility,,Physical,THB,USD,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZVL02PLM4ZZ,New,,2024-03-07T17:04:24,HFVAMC,NA/O Fwd Vol Call EUR GBP,EUR GBP,Volatility,,Cash,EUR,GBP,CASH,,,Other,European-Call,CALL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ8PF19V32DN,New,,2024-03-09T02:00:58,HFVGMP,NA/O Fwd Vol O CNY EUR,CNY EUR,Volatility,,Physical,CNY,EUR,PHYS,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZD5LNVB4655,New,,2024-03-18T15:07:36,HFVGMC,NA/O Fwd Vol O MXN USD,MXN USD,Volatility,,Cash,MXN,USD,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ2KNGH9M563,New,,2024-03-18T15:09:44,HFVGMC,NA/O Fwd Vol O EUR JPY,EUR JPY,Volatility,,Cash,EUR,JPY,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZ0LRD38H7WS,New,,2024-03-18T15:16:02,HFVGMC,NA/O Fwd Vol O CAD GBP,CAD GBP,Volatility,,Cash,CAD,GBP,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Forward_Vol_Agreement,UPI,QZT9WHJ4G40H,New,,2024-03-18T15:23:23,HFVGMC,NA/O Fwd Vol O EUR GBP,EUR GBP,Volatility,,Cash,EUR,GBP,CASH,,,Other,European-Chooser,OPTL,EURO,,,,
