TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_DeliveryType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,NDF,UPI,QZDXZBQ14XRC,New,,2023-12-13 03:04:51,JFTXFC,NA/Fwd NDF CZK HKD,CZK HKD,Spot,Forward price of underlying instrument,CASH,Cash,CZK,HKD,HKD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ1LJQ42G1RP,New,,2023-12-13 03:04:52,JFTXFC,NA/Fwd NDF CHF HUF,CHF HUF,Spot,Forward price of underlying instrument,CASH,Cash,CHF,HUF,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZHZ8JZBR73F,New,,2023-12-13 03:04:53,JFTXFC,NA/Fwd NDF CHF HUF,CHF HUF,Spot,Forward price of underlying instrument,CASH,Cash,CHF,HUF,HUF,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZKXGCBMV9LT,New,,2023-12-13 03:04:58,JFTXFC,NA/Fwd NDF CZK RUB,CZK RUB,Spot,Forward price of underlying instrument,CASH,Cash,CZK,RUB,CZK,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ3XMK6XM935,New,,2023-12-13 03:04:59,JFTXFC,NA/Fwd NDF TOP USD,TOP USD,Spot,Forward price of underlying instrument,CASH,Cash,TOP,USD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZBPXZCGB41V,New,,2023-12-13 03:05:03,JFTXFC,NA/Fwd NDF SEK TWD,SEK TWD,Spot,Forward price of underlying instrument,CASH,Cash,SEK,TWD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZNVDG2VFMBG,New,,2023-12-13 03:05:07,JFTXFC,NA/Fwd NDF AUD UYU,AUD UYU,Spot,Forward price of underlying instrument,CASH,Cash,AUD,UYU,AUD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ4D9XR48BJR,New,,2023-12-13 03:05:13,JFTXFC,NA/Fwd NDF CAD ZAR,CAD ZAR,Spot,Forward price of underlying instrument,CASH,Cash,CAD,ZAR,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZML6FZTS3GJ,New,,2023-12-13 03:05:21,JFTXFC,NA/Fwd NDF AUD UYU,AUD UYU,Spot,Forward price of underlying instrument,CASH,Cash,AUD,UYU,UYU,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZK2TD257FLM,New,,2023-12-13 03:05:58,JFTXFC,NA/Fwd NDF HRK RUB,HRK RUB,Spot,Forward price of underlying instrument,CASH,Cash,HRK,RUB,HRK,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZT4ZTG7C8DN,New,,2023-12-13 03:06:11,JFTXFC,NA/Fwd NDF AUD CNY,AUD CNY,Spot,Forward price of underlying instrument,CASH,Cash,AUD,CNY,XXX,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZDSX745NVWV,New,,2023-12-13 03:06:46,JFTXFC,NA/Fwd NDF CLP PLN,CLP PLN,Spot,Forward price of underlying instrument,CASH,Cash,CLP,PLN,CLP,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZBKKBJ4C9K8,New,,2023-12-13 03:06:46,JFTXFC,NA/Fwd NDF CLP PLN,CLP PLN,Spot,Forward price of underlying instrument,CASH,Cash,CLP,PLN,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZD87RB05506,New,,2023-12-13 03:06:53,JFTXFC,NA/Fwd NDF KRW PLN,KRW PLN,Spot,Forward price of underlying instrument,CASH,Cash,KRW,PLN,XXX,,,,,,,,,
