TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZPB87N17CBQ,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot EUR JPY,EUR JPY,Spot,Forward price of underlying instrument,Cash,EUR,JPY,JPY,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ1WWN0P3ZG4,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot USD ZAR,USD ZAR,Spot,Forward price of underlying instrument,Cash,USD,ZAR,ZAR,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ7FLB6GZ434,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot SEK USD,SEK USD,Spot,Forward price of underlying instrument,Cash,SEK,USD,SEK,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ48PW6LZ3BW,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot SEK USD,SEK USD,Spot,Forward price of underlying instrument,Cash,SEK,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ6QBRX0CKSX,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot NZD USD,NZD USD,Spot,Forward price of underlying instrument,Cash,NZD,USD,USD,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZT0HNG8JTHK,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot EUR ILS,EUR ILS,Spot,Forward price of underlying instrument,Cash,EUR,ILS,ILS,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ28HT2DPB1H,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot ILS USD,ILS USD,Spot,Forward price of underlying instrument,Cash,ILS,USD,ILS,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZ07FR117JX1,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot HUF USD,HUF USD,Spot,Forward price of underlying instrument,Cash,HUF,USD,HUF,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZQZ1G2WJLC9,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot EUR GBP,EUR GBP,Spot,Forward price of underlying instrument,Cash,EUR,GBP,GBP,CASH,,,,,,,,,
1,Foreign_Exchange,Forward,Rolling_Spot,UPI,QZB9G9SMFRSK,New,,2023-11-11 11:48:49,JFTXFC,NA/Fwd Rlg Spot CHF USD,CHF USD,Spot,Forward price of underlying instrument,Cash,CHF,USD,CHF,CASH,,,,,,,,,
