TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZWS5X51BHS2,New,,2023-10-19T04:11:00,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,20.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZ20L4R0D2MK,New,,2023-10-19T04:11:00,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,476.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZKXKTZKNKL5,New,,2023-10-19T04:11:00,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,30.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZB5MHSMS0SV,New,,2023-10-19T04:11:00,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn EUR,GBP-LIBOR-BBA,EUR,GBP-LIBOR-BBA,6.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZZT9R76H056,New,,2023-10-19T04:11:00,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,25.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZ8KJG1FD9FW,New,,2023-10-19T04:11:00,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,50.0,YEAR,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZ426R7225DJ,New,,2023-10-19T04:11:01,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,358.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZC1L3M679N8,New,,2023-10-19T04:11:01,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,105.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZMRDSFR0T5G,New,,2023-10-19T04:11:01,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,193.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Float_Zero_Coupon,UPI,QZKM906DV4JL,New,,2023-10-19T04:11:01,SRZCSP,Zero Coupon,Single Currency,Physical,NA/Swap Zero Cpn GBP,GBP-LIBOR-BBA,GBP,GBP-LIBOR-BBA,107.0,MNTH,,,,,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,
