TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_DeliveryType,Derived_DeliveryType,Attributes_SettlementCurrency,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZM3TT0S6S9P,New,,2024-01-28T17:31:00,HFTGVP,NA/O Van O RON USD,RON USD,Spot,,Physical,RON,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ1D8XS64LJW,New,,2024-01-28T17:31:00,HFTGVP,NA/O Van O RUB USD,RUB USD,Spot,,Physical,RUB,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZK5GJF9NH8Q,New,,2024-01-28T17:31:01,HFTGVP,NA/O Van O RWF USD,RWF USD,Spot,,Physical,RWF,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ2V9RGPVL6R,New,,2024-01-28T17:31:01,HFTGVP,NA/O Van O SAR SEK,SAR SEK,Spot,,Physical,SAR,SEK,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZMGGPCM5JKV,New,,2024-01-28T17:31:01,HFTGVP,NA/O Van O SAR SGD,SAR SGD,Spot,,Physical,SAR,SGD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZDN5R4L24K5,New,,2024-01-28T17:31:02,HFTGVP,NA/O Van O SAR THB,SAR THB,Spot,,Physical,SAR,THB,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZM5CQ4C4CPX,New,,2024-01-28T17:31:02,HFTGVP,NA/O Van O SAR USD,SAR USD,Spot,,Physical,SAR,USD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZDP1CCZDTX0,New,,2024-01-28T17:31:03,HFTGVP,NA/O Van O SEK SGD,SEK SGD,Spot,,Physical,SEK,SGD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZW86F3BRGZ7,New,,2024-01-28T17:31:03,HFTGVP,NA/O Van O SEK THB,SEK THB,Spot,,Physical,SEK,THB,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZHP7SX9DZ19,New,,2024-01-28T17:31:04,HFTGVP,NA/O Van O SGD THB,SGD THB,Spot,,Physical,SGD,THB,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
1,Foreign_Exchange,Option,Vanilla_Option,UPI,QZ80VS68BHLK,New,,2024-01-28T17:31:04,HFTGVP,NA/O Van O SGD TWD,SGD TWD,Spot,,Physical,SGD,TWD,PHYS,,,Vanilla,European-Chooser,OPTL,EURO,,,,
