mode,symbol,as_of,forward_rate,mean_rate,std_rate,p5,p25,p50,p75,p95,strike_source,n_input_strikes,bl_warnings,gm_rmse_price,gm_success,gm_warnings
arbs_sabr,SFRZ26,2026-04-23,3.6400000000000006,3.8758541307628995,1.3804630765596124,2.51744560561592,3.1801122984972463,3.628257729470868,4.231152464949118,7.523149049521249,sabr_extrapolated,200,negative density mass clipped (11.75% of total),0.005120765782573136,True,GM fit quality poor: RMSE=5.1208e-03 > 1e-03
arbs_sabr,SFRM27,2026-04-23,3.605000000000004,3.658540465682664,1.1486750727091628,2.108832393348949,2.9128917053840837,3.585918734377599,4.262158218048753,5.265994545298792,sabr_extrapolated,200,negative density mass clipped (5.96% of total); rate floor at 0.00% truncated 5.07% of mass,0.006388892971049775,True,GM fit quality poor: RMSE=6.3889e-03 > 1e-03
jpm_raw_listed,SFRZ26,2026-04-23,3.6400000000000006,3.6632310586866783,0.8128653047450766,2.530028016296058,3.2640216386333205,3.6773268268922013,3.997782313640378,4.453767322564202,market_listed,55,negative density mass clipped (3.41% of total); rate floor at 0.00% truncated 11.89% of mass,0.004268703499834338,True,GM fit quality poor: RMSE=4.2687e-03 > 1e-03
jpm_raw_listed,SFRM27,2026-04-23,3.605000000000004,4.027845124837326,1.5941611100531812,2.3569098580609005,3.089691977294319,3.651792369559074,4.416615840623227,8.09287087641218,market_listed,31,negative density mass clipped (3.21% of total); rate floor at 0.00% truncated 6.03% of mass,0.0015446805801072514,True,GM fit quality poor: RMSE=1.5447e-03 > 1e-03
