symbol,bin,local_pct,jpm_figure_approx_pct,diff_vs_figure_approx_pp
SFRZ26,<2,2.017422957685416,2.0,0.01742295768541613
SFRZ26,2-2.25,0.842709344330524,0.4,0.442709344330524
SFRZ26,2.25-2.5,0.7246820631785149,0.5,0.2246820631785149
SFRZ26,2.5-2.75,1.287557242295296,1.8,-0.5124427577047042
SFRZ26,2.75-3,4.098195853209381,4.5,-0.40180414679061904
SFRZ26,3-3.25,9.3366721023978,9.0,0.33667210239780054
SFRZ26,3.25-3.5,17.00298598986051,14.4,2.6029859898605086
SFRZ26,3.5-3.75,29.101983804441588,29.5,-0.3980161955584123
SFRZ26,3.75-4,18.304259248626554,17.0,1.304259248626554
SFRZ26,4-4.25,6.516470129192752,6.2,0.3164701291927514
SFRZ26,4.25-4.5,4.12786908270416,4.2,-0.07213091729583976
SFRZ26,>4.5,6.639192182077503,7.5,-0.8608078179224972
SFRM27,<2,1.7417924915268717,5.0,-3.258207508473128
SFRM27,2-2.25,1.7410245877690114,1.8,-0.05897541223098868
SFRM27,2.25-2.5,3.0726491860155303,2.6,0.4726491860155302
SFRM27,2.5-2.75,4.981426185462742,4.1,0.8814261854627423
SFRM27,2.75-3,7.4673555861106164,6.7,0.7673555861106163
SFRM27,3-3.25,10.530437387959177,10.1,0.4304373879591772
SFRM27,3.25-3.5,14.170671451000937,14.1,0.07067145100093697
SFRM27,3.5-3.75,17.20523180489594,15.3,1.9052318048959407
SFRM27,3.75-4,15.046566179972077,13.5,1.5465661799720767
SFRM27,4-4.25,9.809182710457831,9.4,0.4091827104578307
SFRM27,4.25-4.5,5.071057533212553,5.2,-0.12894246678744725
SFRM27,>4.5,9.16260489561671,9.1,0.06260489561671001
