symbol,points_on_smile,rnd_input_strikes,input_min_rate,input_max_rate,forward_rate,warnings,mean,mean_expected,mean_diff,median,median_expected,median_diff,mode,mode_expected,mode_diff,p5,p5_expected,p5_diff,p10,p10_expected,p10_diff,p25,p25_expected,p25_diff,p75,p75_expected,p75_diff,p90,p90_expected,p90_diff,p95,p95_expected,p95_diff,rmse_vs_expected_table
SFRZ26,54,54,1.375,5.875,3.6400000000000006,negative density mass clipped (0.41% of total),3.625087895879794,3.64,-0.014912104120206049,3.6461512572066983,3.66,-0.013848742793301838,3.728176588294147,3.71,0.018176588294147145,2.763490212491548,2.78,-0.01650978750845189,3.038278756731012,3.03,0.008278756731012304,3.364550867865446,3.37,-0.005449132134554002,3.8386825760647056,3.86,-0.021317423935294233,4.288609734274809,4.34,-0.05139026572519079,4.641902283405155,4.76,-0.11809771659484447,0.04491697707416075
SFRM27,30,30,1.375,5.875,3.605000000000004,negative density mass clipped (4.00% of total),3.598263296353637,3.55,0.04826329635363713,3.5935584764368933,3.58,0.01355847643689323,3.66214357178589,3.62,0.04214357178589001,2.389803539009033,2.14,0.24980353900903296,2.6838221266821214,2.57,0.11382212668212155,3.1518877919577735,3.12,0.03188779195777336,3.9810733349306004,3.99,-0.008926665069399764,4.441962279356876,4.47,-0.028037720643124153,5.134961894574794,5.19,-0.05503810542520604,0.09692973788484402
