config,panel,trades,total_bp,avg_bp,hit_rate,sr_per_trade,t_stat,max_dd_bp,span_days,trades_per_year
rel|tier1|SR3 r3|fade,rel,778,-168.0000000000092,-0.21593830334191416,0.4254498714652956,-0.07629221100141548,-2.1279920430957775,-200.4999999999896,2772.8958333333335,102.47932741793703
rel|tier1|SR3 r3|momentum,rel,778,168.0000000000092,0.21593830334191416,0.44601542416452444,0.07629221100141548,2.1279920430957775,-37.5,2772.8958333333335,102.47932741793703
rel|tier1|TY|fade,rel,918,-87.6829180291655,-0.09551516125181428,0.4531590413943355,-0.033974256051816844,-1.0293695003175056,-153.98672313889801,2772.8958333333335,120.9203374931442
rel|tier1|TY|momentum,rel,918,87.6829180291655,0.09551516125181428,0.5087145969498911,0.033974256051816844,1.0293695003175056,-78.59492847791437,2772.8958333333335,120.9203374931442
rel|tier1+2|SR3 r3|fade,rel,1082,-159.00000000000745,-0.14695009242144866,0.4121996303142329,-0.05549926310359612,-1.8255799072775873,-197.99999999997908,2772.96875,142.51891587310533
rel|tier1+2|SR3 r3|momentum,rel,1082,159.00000000000745,0.14695009242144866,0.43253234750462105,0.05549926310359612,1.8255799072775873,-39.00000000000148,2772.96875,142.51891587310533
rel|tier1+2|TY|fade,rel,1492,-137.84387726968401,-0.09238865768745577,0.45777479892761397,-0.03679729940859175,-1.421347788438212,-189.55620102480665,2772.96875,196.52331098213784
rel|tier1+2|TY|momentum,rel,1492,137.84387726968401,0.09238865768745577,0.4906166219839142,0.03679729940859175,1.421347788438212,-65.56842874957063,2772.96875,196.52331098213784
rel|tier2 only|SR3 r3|fade,rel,374,3.500000000002501,0.009358288770060163,0.393048128342246,0.004492958895447544,0.08688968974470893,-59.99999999999943,2771.03125,49.29699006461945
rel|tier2 only|SR3 r3|momentum,rel,374,-3.500000000002501,-0.009358288770060163,0.40106951871657753,-0.004492958895447544,-0.08688968974470893,-67.50000000000398,2771.03125,49.29699006461945
