config,direction,threshold,bracket_family,bracket,trail,time_stop,base_trades,trades,gross_bp,net_bp,total_net_bp,hit_rate,sr_per_trade,t_stat,avg_hold_min,pct_target,pct_stop,pct_time
fade|mv0|tp0.25f|sl0.5f|tr-|t30,fade,0.0,frac,tp0.25f|sl0.5f,,30,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr-|t58,fade,0.0,frac,tp0.25f|sl0.5f,,58,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr-|t118,fade,0.0,frac,tp0.25f|sl0.5f,,118,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr-|t238,fade,0.0,frac,tp0.25f|sl0.5f,,238,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr2|t30,fade,0.0,frac,tp0.25f|sl0.5f,2.0,30,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr2|t58,fade,0.0,frac,tp0.25f|sl0.5f,2.0,58,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr2|t118,fade,0.0,frac,tp0.25f|sl0.5f,2.0,118,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr2|t238,fade,0.0,frac,tp0.25f|sl0.5f,2.0,238,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr4|t30,fade,0.0,frac,tp0.25f|sl0.5f,4.0,30,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr4|t58,fade,0.0,frac,tp0.25f|sl0.5f,4.0,58,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr4|t118,fade,0.0,frac,tp0.25f|sl0.5f,4.0,118,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl0.5f|tr4|t238,fade,0.0,frac,tp0.25f|sl0.5f,4.0,238,41,41,0.06244329743192103,-0.17645670256807902,-7.23472480529124,0.34146341463414637,-0.6075726382490003,-3.8903630859731937,2.1951219512195124,0.6341463414634146,0.36585365853658536,0.0
fade|mv0|tp0.25f|sl1f|tr-|t30,fade,0.0,frac,tp0.25f|sl1f,,30,41,41,0.058948202380450065,-0.17995179761954994,-7.378023702401547,0.36585365853658536,-0.5264129681848345,-3.3706876354832804,2.5121951219512195,0.6585365853658537,0.34146341463414637,0.0
fade|mv0|tp0.25f|sl1f|tr-|t58,fade,0.0,frac,tp0.25f|sl1f,,58,41,41,0.058948202380450065,-0.17995179761954994,-7.378023702401547,0.36585365853658536,-0.5264129681848345,-3.3706876354832804,2.5121951219512195,0.6585365853658537,0.34146341463414637,0.0
fade|mv0|tp0.25f|sl1f|tr-|t118,fade,0.0,frac,tp0.25f|sl1f,,118,41,41,0.058948202380450065,-0.17995179761954994,-7.378023702401547,0.36585365853658536,-0.5264129681848345,-3.3706876354832804,2.5121951219512195,0.6585365853658537,0.34146341463414637,0.0
fade|mv0|tp0.25f|sl1f|tr-|t238,fade,0.0,frac,tp0.25f|sl1f,,238,41,41,0.058948202380450065,-0.17995179761954994,-7.378023702401547,0.36585365853658536,-0.5264129681848345,-3.3706876354832804,2.5121951219512195,0.6585365853658537,0.34146341463414637,0.0
fade|mv0|tp0.25f|sl1f|tr2|t30,fade,0.0,frac,tp0.25f|sl1f,2.0,30,41,41,0.058948202380450065,-0.17995179761954994,-7.378023702401547,0.36585365853658536,-0.5264129681848345,-3.3706876354832804,2.5121951219512195,0.6585365853658537,0.34146341463414637,0.0
