config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
TY|tier1|m1|h240|mv2,TY,tier1,1,240,2.0,2,-2.906584004114786,-1.453292002057393,0.5,-0.44534878221632207,-0.19841484408865342,-0.2806009634863168,-6.632504446665628,5.037931034482759,145.0
TY|tier1|m2|h15|mv0,TY,tier1,2,15,0.0,483,41.70228179088192,0.08634012793143254,0.4699792960662526,0.7108560317503814,0.08915307303819607,1.9593403529581952,-15.3670012364774,63.575629715830175,2774.8958333333335
TY|tier1|m2|h15|mv2,TY,tier1,2,15,2.0,4,-3.035586462649374,-0.7588966156623435,0.5,-0.29441219906791233,-0.2812263103411146,-0.5624526206822292,-0.2653001778666253,1.0959726194383235,1333.0625
TY|tier1|m2|h30|mv0,TY,tier1,2,30,0.0,481,22.290072145723492,0.04634110633206547,0.4760914760914761,0.2302094072475486,0.02893202012533065,0.6345287387377744,-27.721983984564297,63.312376590712866,2774.8958333333335
TY|tier1|m2|h30|mv2,TY,tier1,2,30,2.0,4,-1.9070842905133445,-0.4767710726283361,0.5,-0.13100512037724332,-0.1251377719949278,-0.2502755439898556,0.0,1.0959726194383235,1333.0625
TY|tier1|m2|h60|mv0,TY,tier1,2,60,0.0,481,37.65919382648972,0.07829354225881438,0.49272349272349275,0.30214756747503985,0.037972989929153475,0.8328126864792367,-44.62250220407119,63.312376590712866,2774.8958333333335
TY|tier1|m2|h60|mv2,TY,tier1,2,60,2.0,4,4.338072005965984,1.084518001491496,0.75,0.3452167200273547,0.32975544066691365,0.6595108813338273,0.0,1.0959726194383235,1333.0625
TY|tier1|m2|h120|mv0,TY,tier1,2,120,0.0,424,63.64933600624871,0.15011635850530355,0.47641509433962265,0.3278425078629855,0.043884440430775905,0.9036359352388899,-58.44993073008369,55.80966252486955,2774.8958333333335
TY|tier1|m2|h120|mv2,TY,tier1,2,120,2.0,3,3.8828439119134366,1.2942813039711456,0.6666666666666666,0.13038088106460585,0.14375080462327994,0.24898369723642788,-9.020206047465255,0.8226351351351352,1332.0
TY|tier1|m2|h240|mv0,TY,tier1,2,240,0.0,419,-11.027960862943612,-0.02631971566334991,0.45346062052505964,-0.04690394469276254,-0.00631583226696689,-0.12928186221217883,-78.18942414055046,55.151529712076275,2774.8958333333335
TY|tier1|m2|h240|mv2,TY,tier1,2,240,2.0,3,10.414525424277059,3.4715084747590197,0.6666666666666666,0.3195264727933598,0.3522923544267498,0.6101882569851931,-6.632504446665628,0.8226351351351352,1332.0
TY|tier1|m5|h15|mv0,TY,tier1,5,15,0.0,544,18.133470789678043,0.03333358601043758,0.41544117647058826,0.33132269200615,0.03889331789681218,0.9071402627489504,-19.930403576794056,72.56920677192315,2738.0208333333335
TY|tier1|m5|h15|mv2,TY,tier1,5,15,2.0,8,-0.9826446951938714,-0.12283058689923393,0.375,-0.08361127344990832,-0.06674435962043905,-0.18878155717426415,-1.5552378302506398,1.569280343716434,1862.0
TY|tier1|m5|h30|mv0,TY,tier1,5,30,0.0,541,26.5368635024767,0.04905150370143567,0.44731977818853974,0.26423463591310964,0.03110386610358181,0.7234574716214798,-25.79230856343967,72.16900894046033,2738.0208333333335
TY|tier1|m5|h30|mv2,TY,tier1,5,30,2.0,8,6.165183475163305,0.7706479343954131,0.75,0.36793711319751427,0.29371310814532287,0.8307461219717425,-0.25920630504177344,1.569280343716434,1862.0
TY|tier1|m5|h60|mv0,TY,tier1,5,60,0.0,541,14.954637546893128,0.027642583265976208,0.4510166358595194,0.11634632495421551,0.013695481292655909,0.3185487693275254,-54.348446786002796,72.16900894046033,2738.0208333333335
TY|tier1|m5|h60|mv2,TY,tier1,5,60,2.0,8,5.559983723584087,0.6949979654480108,0.375,0.25539459079430316,0.2038738044493752,0.5766421985298132,-3.1104756605012795,1.569280343716434,1862.0
TY|tier1|m5|h120|mv0,TY,tier1,5,120,0.0,479,17.047509257351855,0.035589789681319116,0.47390396659707723,0.08570218746131981,0.010721299103015879,0.23464708795248584,-66.77902546404852,63.89825375689556,2738.0208333333335
TY|tier1|m5|h120|mv2,TY,tier1,5,120,2.0,8,15.77597381008652,1.971996726260815,0.625,0.4372264343274828,0.34902468488055055,0.9871908859221407,-10.874351714334665,1.569280343716434,1862.0
TY|tier1|m5|h240|mv0,TY,tier1,5,240,0.0,473,-61.226588035803125,-0.12944310366977405,0.47357293868921774,-0.25103480696328156,-0.031602877940317055,-0.6873171872682244,-135.47535576457813,63.09785809396994,2738.0208333333335
