config,trades,hit_rate,gross_bp,net_bp,total_net_bp,avg_win,avg_loss,payoff,sr_per_trade,t_stat,avg_hold_min,pct_target,pct_stop,pct_time,direction,entry_offset,z_threshold,target_bp,stop_bp,time_stop,base_events,legs
fade|e2|z0|tp1|sl0.5|t30,223,0.3901345291479821,0.02527023600919604,-0.21362976399080394,-47.63943736994928,1.1734858559076409,-1.1009757855434856,1.0658598230008858,-0.1774424624704477,-2.6497810342987784,5.318385650224215,0.3721973094170404,0.5874439461883408,0.04035874439461883,fade,2,0.0,1.0,0.5,30,223,1
fade|e2|z0|tp1|sl0.5|t60,223,0.3901345291479821,0.0218896246826852,-0.21701037531731476,-48.393313695761194,1.198655350603214,-1.1226200676341236,1.0677302011261314,-0.1787903396673411,-2.6699091331944227,5.865470852017937,0.3901345291479821,0.6053811659192825,0.004484304932735426,fade,2,0.0,1.0,0.5,60,223,1
fade|e2|z0|tp1|sl0.5|t120,223,0.3901345291479821,0.019031559777977602,-0.21986844022202237,-49.03066216951099,1.198655350603214,-1.127306453470519,1.0632914829086986,-0.18102544313774924,-2.7032863457461773,5.910313901345291,0.3901345291479821,0.6098654708520179,0.0,fade,2,0.0,1.0,0.5,120,223,1
fade|e2|z0|tp1|sl0.5|t240,223,0.3901345291479821,0.019031559777977602,-0.21986844022202237,-49.03066216951099,1.198655350603214,-1.127306453470519,1.0632914829086986,-0.18102544313774924,-2.7032863457461773,5.910313901345291,0.3901345291479821,0.6098654708520179,0.0,fade,2,0.0,1.0,0.5,240,223,1
fade|e2|z0|tp1|sl1|t30,223,0.4977578475336323,0.09804082028723986,-0.14085917971276016,-31.411597075945515,1.1559502832255761,-1.4260899867320043,0.8105731713848758,-0.10100703824270255,-1.5083567402068712,7.9192825112107625,0.47533632286995514,0.4304932735426009,0.09417040358744394,fade,2,0.0,1.0,1.0,30,223,1
fade|e2|z0|tp1|sl1|t60,223,0.5067264573991032,0.09550433893916162,-0.1433956610608384,-31.977232416566963,1.1601516323608445,-1.4824942443031126,0.7825673771207158,-0.10168875521898041,-1.5185369456061366,10.044843049327355,0.49327354260089684,0.452914798206278,0.053811659192825115,fade,2,0.0,1.0,1.0,60,223,1
fade|e2|z0|tp1|sl1|t120,223,0.5067264573991032,0.08001017680353281,-0.15888982319646722,-35.43243057281219,1.174802812387809,-1.5289558942966783,0.768369327571885,-0.11155041537179172,-1.6658029363718556,11.497757847533633,0.5067264573991032,0.4798206278026906,0.013452914798206279,fade,2,0.0,1.0,1.0,120,223,1
fade|e2|z0|tp1|sl1|t240,223,0.5112107623318386,0.08098143992159187,-0.15791856007840813,-35.215838897485014,1.1679926866102823,-1.544651423587681,0.7561529214775505,-0.11071356145878884,-1.653306042470132,12.582959641255606,0.5067264573991032,0.484304932735426,0.008968609865470852,fade,2,0.0,1.0,1.0,240,223,1
fade|e2|z0|tp1|sl2|t30,223,0.6053811659192825,0.1780035796740652,-0.0608964203259349,-13.579901732683481,1.1338465530520623,-1.8937407544853626,0.5987337761869064,-0.03703912869695722,-0.5531121434053283,11.591928251121077,0.57847533632287,0.23318385650224216,0.18834080717488788,fade,2,0.0,1.0,2.0,30,223,1
fade|e2|z0|tp1|sl2|t60,223,0.6322869955156951,0.14135741432245205,-0.097542585677548,-21.751996606093204,1.1264571679730258,-2.2022250889059736,0.5115086435295448,-0.05657794706590681,-0.8448889234715646,15.721973094170403,0.6098654708520179,0.28699551569506726,0.1031390134529148,fade,2,0.0,1.0,2.0,60,223,1
