config,direction,threshold,bracket_family,bracket,trail,time_stop,base_trades,trades,gross_bp,net_bp,total_net_bp,hit_rate,sr_per_trade,t_stat,avg_hold_min,pct_target,pct_stop,pct_time
fade|mv0|tp0.25f|sl0.5f|tr-|t30,fade,0.0,frac,tp0.25f|sl0.5f,,30,84,84,-0.09664974891713773,-0.3355497489171378,-28.186178909039576,0.4880952380952381,-0.15805854970637107,-1.4486305365287708,8.178571428571429,0.5119047619047619,0.35714285714285715,0.13095238095238096
fade|mv0|tp0.25f|sl0.5f|tr-|t58,fade,0.0,frac,tp0.25f|sl0.5f,,58,84,84,-0.10707796080804698,-0.3459779608080471,-29.062148707875956,0.5238095238095238,-0.1548565541554519,-1.4192837625547734,11.333333333333334,0.5119047619047619,0.39285714285714285,0.09523809523809523
fade|mv0|tp0.25f|sl0.5f|tr-|t118,fade,0.0,frac,tp0.25f|sl0.5f,,118,84,84,-0.15107411940400245,-0.3899741194040026,-32.75782602993622,0.4880952380952381,-0.16707779774325315,-1.531293310209959,15.642857142857142,0.5476190476190477,0.39285714285714285,0.05952380952380952
fade|mv0|tp0.25f|sl0.5f|tr-|t238,fade,0.0,frac,tp0.25f|sl0.5f,,238,84,84,-0.18513649725985287,-0.424036497259853,-35.61906576982765,0.4880952380952381,-0.17732466232723418,-1.6252073753940697,22.785714285714285,0.5476190476190477,0.39285714285714285,0.05952380952380952
fade|mv0|tp0.25f|sl0.5f|tr2|t30,fade,0.0,frac,tp0.25f|sl0.5f,2.0,30,84,84,0.04291599800206961,-0.1959840019979304,-16.462656167826154,0.4642857142857143,-0.11190502273776676,-1.0256264746831412,5.428571428571429,0.5119047619047619,0.4523809523809524,0.03571428571428571
fade|mv0|tp0.25f|sl0.5f|tr2|t58,fade,0.0,frac,tp0.25f|sl0.5f,2.0,58,84,84,0.013605932229332146,-0.22529406777066793,-18.924701692736107,0.4642857142857143,-0.12793722008761266,-1.1725639905074197,5.916666666666667,0.5119047619047619,0.4880952380952381,0.0
fade|mv0|tp0.25f|sl0.5f|tr2|t118,fade,0.0,frac,tp0.25f|sl0.5f,2.0,118,84,84,0.013605932229332146,-0.22529406777066793,-18.924701692736107,0.4642857142857143,-0.12793722008761266,-1.1725639905074197,5.916666666666667,0.5119047619047619,0.4880952380952381,0.0
fade|mv0|tp0.25f|sl0.5f|tr2|t238,fade,0.0,frac,tp0.25f|sl0.5f,2.0,238,84,84,0.013605932229332146,-0.22529406777066793,-18.924701692736107,0.4642857142857143,-0.12793722008761266,-1.1725639905074197,5.916666666666667,0.5119047619047619,0.4880952380952381,0.0
fade|mv0|tp0.25f|sl0.5f|tr4|t30,fade,0.0,frac,tp0.25f|sl0.5f,4.0,30,84,84,-0.0766640237389859,-0.31556402373898595,-26.507377994074822,0.4880952380952381,-0.15969573106846438,-1.4636355515650983,7.178571428571429,0.5119047619047619,0.40476190476190477,0.08333333333333333
fade|mv0|tp0.25f|sl0.5f|tr4|t58,fade,0.0,frac,tp0.25f|sl0.5f,4.0,58,84,84,-0.07758496714265894,-0.316484967142659,-26.584737239983355,0.5,-0.15846706390452342,-1.4523746309997658,9.071428571428571,0.5119047619047619,0.42857142857142855,0.05952380952380952
