package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,False,399,0.7543859649122807,42581.73660544235,16990112.905571498,5.47478287968843,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,False,0,True,372,0.7580645161290323,43569.90215744651,16208003.602570102,5.357128971419598,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,True,2,False,380,0.7473684210526316,41935.19246185961,15935373.135506652,5.172416383513121,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,all,True,2,True,353,0.7507082152974505,42927.0930099299,15153263.832505256,5.046667740816148,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,False,0,False,268,0.7313432835820896,38767.24729385174,10389622.274752267,3.653938375975119,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,False,0,True,250,0.736,40081.29240984005,10020323.102460012,3.6080901679770867,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,True,2,False,256,0.7265625,37895.98638927555,9701372.515654542,3.440472503343709,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,drop_low,True,2,True,238,0.7310924369747899,39210.3921990012,9332073.343362287,3.389454317536938,-725575.8755392581
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,False,0,True,129,0.7441860465116279,48440.83926144346,6248868.264726207,2.961601436532112,-534697.2397313118
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,False,0,False,138,0.7391304347826086,46419.590804639556,6405903.531040259,2.92823388687266,-362473.2507356405
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,True,2,True,123,0.7398373983739838,47241.49896319453,5810704.372472927,2.7878060576062196,-534697.2397313118
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.0,high_only,True,2,False,132,0.7348484848484849,45210.14877868923,5967739.638786979,2.7595907867622556,-362473.2507356405
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,False,0,False,174,0.6494252873563219,30866.71832450475,5370808.9884638265,2.0824517304003836,-760375.389600873
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,True,2,False,169,0.650887573964497,30607.249359072226,5172625.141683206,2.0116885957268535,-760375.389600873
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,False,0,True,165,0.6545454545454545,30646.992168074667,5056753.70773232,1.9866688570791629,-865069.8876597509
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,all,True,2,True,160,0.65625,30366.06163094812,4858569.860951699,1.9147441702661723,-857389.2863349095
SFR5_7_9_fly,fly,IMM_5xIMM_6/IMM_7xIMM_8/IMM_9xIMM_10,0.403396879820065,momentum,0.0,drop_low,False,0,True,248,0.5483870967741935,99347.64965013122,24638217.11323254,1.7463061197500112,-3584164.8245277107
SFR5_7_9_fly,fly,IMM_5xIMM_6/IMM_7xIMM_8/IMM_9xIMM_10,0.403396879820065,momentum,0.0,drop_low,True,2,True,237,0.5443037974683544,94518.111942993,22400792.53048934,1.6154348783911099,-3830045.0630668253
SFR5_7_9_fly,fly,IMM_5xIMM_6/IMM_7xIMM_8/IMM_9xIMM_10,0.403396879820065,momentum,0.0,drop_low,False,0,False,267,0.5393258426966292,83735.26221882156,22357315.012425356,1.544558413327706,-3287033.003617011
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,drop_low,False,0,False,126,0.6587301587301587,29348.86445201224,3697956.920953542,1.527472366586621,-725876.1369216889
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,drop_low,True,2,False,123,0.6666666666666666,29667.395796498815,3649089.682969354,1.5108068341397485,-725575.8755392581
SFR3_outright,outright,IMM_3xIMM_4,1.416085455065521,momentum,0.0,all,False,0,True,372,0.5752688172043011,26359.80016029384,9805845.659629308,1.4368870282412967,-3488185.652814623
SFR12_outright,outright,IMM_12xIMM_13,1.2126807505277215,momentum,0.0,all,False,0,False,399,0.5488721804511278,29975.72449277038,11960314.072615381,1.4342068170642972,-4048533.344491739
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,drop_low,False,0,True,121,0.6611570247933884,28253.863769174975,3418717.516070172,1.426758409310445,-825434.4993581623
SFR1_outright,outright,IMM_1xIMM_2,0.8797467203509353,momentum,0.5,high_only,True,2,False,61,0.6885245901639344,43304.90583016772,2641599.255640231,1.4180832659063605,-354871.5005647689
