,stratum,n,mean_p_flip,observed_flip,calibration_gap,spearman_rank,mean_weight,mean_weight_agreeing,mean_weight_flipped
0,ALL,2732,0.045346201907194066,0.40043923865300146,0.3550930367458074,0.06346554122986035,0.9093075961856119,0.9165394431453641,0.8984796571361839
1,"p_flip (-0.001, 3.17e-13]",547,4.989711670454269e-15,0.3692870201096892,0.3692870201096842,,0.99999999999999,,
2,"p_flip (3.17e-13, 0.000158]",546,2.079130117352391e-05,0.35714285714285715,0.3571220658416836,,0.9999584173976528,,
3,"p_flip (0.000158, 0.00896]",546,0.002460725294290457,0.40476190476190477,0.4023011794676143,,0.9950785494114189,,
4,"p_flip (0.00896, 0.0812]",546,0.034698950958006965,0.4175824175824176,0.38288346662441064,,0.9306020980839861,,
5,"p_flip (0.0812, 0.452]",547,0.18936981412478301,0.453382084095064,0.26401226997028093,,0.6212603717504339,,
