,stratum,n,mean_our_s2m_bps,mean_ind_s2m_bps,mean_offset_bps,median_offset_bps,share_offset_gt_quarter_bp
0,ALL,4723,27.60226284413516,29.55186240511033,-1.949599560975173,-0.35605344492397606,0.7001905568494601
1,CURVE_CLEAN,2982,-0.7586881067357873,-0.15594645527476791,-0.6027416514610193,-0.26150107011957413,0.6213950368879947
2,CURVE_SUSPECT,1741,76.17914724131904,80.4356567886074,-4.25650954728833,-1.1275367128149139,0.8351522113727743
