,horizon_min,mean,se,t,n,n_blocks,stars,expected_sign
0,5,9.386730018666213,85.15002290700033,0.1102375513030486,5893,104,,-1
1,15,-167.30086543356524,116.88204091991823,-1.4313650250870575,5893,104,,-1
2,30,-266.65840828101136,149.52576576369097,-1.78336092725608,5893,104,.,-1
3,60,-234.11776684201595,226.059351146684,-1.035647345064275,5893,104,,-1
