,hour,n,our_paid_share,ind_paid_share,flip_rate
0,1,181.0,0.7569060773480663,0.5082872928176796,0.44751381215469616
1,2,228.0,0.8333333333333334,0.5394736842105263,0.4166666666666667
2,3,234.0,0.8418803418803419,0.5726495726495726,0.3717948717948718
3,4,232.0,0.8275862068965517,0.5474137931034483,0.41810344827586204
4,5,215.0,0.8511627906976744,0.5162790697674419,0.44651162790697674
5,6,208.0,0.7980769230769231,0.4951923076923077,0.44711538461538464
6,7,251.0,0.7609561752988048,0.5816733067729084,0.40239043824701193
7,8,337.0,0.8249258160237388,0.6053412462908012,0.37388724035608306
8,9,373.0,0.7828418230563002,0.5361930294906166,0.40214477211796246
9,10,366.0,0.8032786885245902,0.5683060109289617,0.32786885245901637
10,11,357.0,0.7759103641456583,0.6498599439775911,0.24929971988795518
11,12,273.0,0.7619047619047619,0.6043956043956044,0.31135531135531136
12,13,229.0,0.7685589519650655,0.5938864628820961,0.3056768558951965
13,14,224.0,0.8169642857142857,0.5848214285714286,0.3392857142857143
14,15,222.0,0.8378378378378378,0.5720720720720721,0.36486486486486486
15,16,194.0,0.8041237113402062,0.5670103092783505,0.35051546391752575
16,17,51.0,0.6666666666666666,0.5294117647058824,0.13725490196078433
17,18,10.0,0.7,0.4,0.3
18,19,44.0,0.8181818181818182,0.5227272727272727,0.29545454545454547
19,20,147.0,0.7687074829931972,0.5170068027210885,0.4421768707482993
20,21,164.0,0.7560975609756098,0.5304878048780488,0.3719512195121951
21,22,168.0,0.7976190476190477,0.6011904761904762,0.4226190476190476
22,23,15.0,0.9333333333333333,0.5333333333333333,0.4
