,variant,reason
67,MEETING->FUTURES|hl90|unweighted|h15,signal space MEETING not built for this window
68,MEETING->FUTURES|hl90|unweighted|h30,signal space MEETING not built for this window
69,MEETING->FUTURES|hl90|unweighted|h60,signal space MEETING not built for this window
70,MEETING->FUTURES|hl90|unweighted|h240,signal space MEETING not built for this window
71,MEETING->FUTURES|hl90|unweighted|h1440,signal space MEETING not built for this window
72,MEETING->FUTURES|hl240|expected|h5,signal space MEETING not built for this window
73,MEETING->FUTURES|hl240|expected|h15,signal space MEETING not built for this window
74,MEETING->FUTURES|hl240|expected|h30,signal space MEETING not built for this window
75,MEETING->FUTURES|hl240|expected|h60,signal space MEETING not built for this window
76,MEETING->FUTURES|hl240|expected|h240,signal space MEETING not built for this window
77,MEETING->FUTURES|hl240|expected|h1440,signal space MEETING not built for this window
78,MEETING->FUTURES|hl240|unweighted|h5,signal space MEETING not built for this window
79,MEETING->FUTURES|hl240|unweighted|h15,signal space MEETING not built for this window
80,MEETING->FUTURES|hl240|unweighted|h30,signal space MEETING not built for this window
81,MEETING->FUTURES|hl240|unweighted|h60,signal space MEETING not built for this window
82,MEETING->FUTURES|hl240|unweighted|h240,signal space MEETING not built for this window
83,MEETING->FUTURES|hl240|unweighted|h1440,signal space MEETING not built for this window
84,MEETING->FUTURES|hl1440|expected|h5,signal space MEETING not built for this window
85,MEETING->FUTURES|hl1440|expected|h15,signal space MEETING not built for this window
86,MEETING->FUTURES|hl1440|expected|h30,signal space MEETING not built for this window
87,MEETING->FUTURES|hl1440|expected|h60,signal space MEETING not built for this window
88,MEETING->FUTURES|hl1440|expected|h240,signal space MEETING not built for this window
89,MEETING->FUTURES|hl1440|expected|h1440,signal space MEETING not built for this window
90,MEETING->FUTURES|hl1440|unweighted|h5,signal space MEETING not built for this window
91,MEETING->FUTURES|hl1440|unweighted|h15,signal space MEETING not built for this window
92,MEETING->FUTURES|hl1440|unweighted|h30,signal space MEETING not built for this window
93,MEETING->FUTURES|hl1440|unweighted|h60,signal space MEETING not built for this window
94,MEETING->FUTURES|hl1440|unweighted|h240,signal space MEETING not built for this window
95,MEETING->FUTURES|hl1440|unweighted|h1440,signal space MEETING not built for this window
96,FUTURES->FED_FUNDS|hl30|expected|h5,no shared bucket keys between signal and target space
97,FUTURES->FED_FUNDS|hl30|expected|h15,no shared bucket keys between signal and target space
98,FUTURES->FED_FUNDS|hl30|expected|h30,no shared bucket keys between signal and target space
99,FUTURES->FED_FUNDS|hl30|expected|h60,no shared bucket keys between signal and target space
100,FUTURES->FED_FUNDS|hl30|expected|h240,no shared bucket keys between signal and target space
101,FUTURES->FED_FUNDS|hl30|expected|h1440,no shared bucket keys between signal and target space
102,FUTURES->FED_FUNDS|hl30|unweighted|h5,no shared bucket keys between signal and target space
103,FUTURES->FED_FUNDS|hl30|unweighted|h15,no shared bucket keys between signal and target space
104,FUTURES->FED_FUNDS|hl30|unweighted|h30,no shared bucket keys between signal and target space
105,FUTURES->FED_FUNDS|hl30|unweighted|h60,no shared bucket keys between signal and target space
106,FUTURES->FED_FUNDS|hl30|unweighted|h240,no shared bucket keys between signal and target space
107,FUTURES->FED_FUNDS|hl30|unweighted|h1440,no shared bucket keys between signal and target space
108,FUTURES->FED_FUNDS|hl90|expected|h5,no shared bucket keys between signal and target space
109,FUTURES->FED_FUNDS|hl90|expected|h15,no shared bucket keys between signal and target space
110,FUTURES->FED_FUNDS|hl90|expected|h30,no shared bucket keys between signal and target space
111,FUTURES->FED_FUNDS|hl90|expected|h60,no shared bucket keys between signal and target space
112,FUTURES->FED_FUNDS|hl90|expected|h240,no shared bucket keys between signal and target space
113,FUTURES->FED_FUNDS|hl90|expected|h1440,no shared bucket keys between signal and target space
114,FUTURES->FED_FUNDS|hl90|unweighted|h5,no shared bucket keys between signal and target space
115,FUTURES->FED_FUNDS|hl90|unweighted|h15,no shared bucket keys between signal and target space
116,FUTURES->FED_FUNDS|hl90|unweighted|h30,no shared bucket keys between signal and target space
117,FUTURES->FED_FUNDS|hl90|unweighted|h60,no shared bucket keys between signal and target space
118,FUTURES->FED_FUNDS|hl90|unweighted|h240,no shared bucket keys between signal and target space
119,FUTURES->FED_FUNDS|hl90|unweighted|h1440,no shared bucket keys between signal and target space
120,FUTURES->FED_FUNDS|hl240|expected|h5,no shared bucket keys between signal and target space
121,FUTURES->FED_FUNDS|hl240|expected|h15,no shared bucket keys between signal and target space
122,FUTURES->FED_FUNDS|hl240|expected|h30,no shared bucket keys between signal and target space
123,FUTURES->FED_FUNDS|hl240|expected|h60,no shared bucket keys between signal and target space
