,max_stale_min,n_trades,n_sessions,gross_bp,net_bp,t,stars,mean_realised_horizon_min,share_of_uncapped_trades
0,none,1639,99,-0.04575960951800398,-0.545759609518004,-9.44326455076868,***,59.56802928615009,1.0
1,30,1639,99,-0.04575960951800398,-0.545759609518004,-9.44326455076868,***,59.56802928615009,1.0
2,15,1639,99,-0.04575960951800398,-0.545759609518004,-9.44326455076868,***,59.56802928615009,1.0
3,10,1639,99,-0.04606467358145703,-0.546064673581457,-9.45242042636095,***,59.57474069554606,1.0
4,5,1639,99,-0.04514948139109702,-0.545149481391097,-9.435396315762665,***,59.62172056131788,1.0
5,2,1633,99,-0.04837721984079118,-0.5483772198407912,-9.436055442660729,***,59.736680955297,0.99633923123856
6,0,1578,98,-0.05956907477821542,-0.5595690747782154,-9.351310118744438,***,60.0,0.9627821842586943
