,placebo,expect,mean,se,t,n,n_blocks,lo,hi,n_boot,stars,hit_rate,share_long,share_agreeing,p_sign,gross_mean,gross_t,gross_stars,gross_hit_rate
0,none (reference),"the effect, if any",-0.545759609518004,0.05779353173724009,-9.44326455076868,1639,99,-0.658782039943526,-0.4249816520924678,2000,***,0.23550945698596706,0.2769981696156193,0.898989898989899,5.521266925181343e-17,-0.04575960951800398,-0.7917773519370874,,0.36546674801708356
1,sign shuffle within session,destroyed; survival means intensity not direction,-0.4698118932038799,0.04185433244439304,-11.224928597966867,1648,99,-0.5584529460753508,-0.3933237336071786,300,***,0.26152912621359226,0.41140776699029125,0.9292929292929293,5.0749031687767575e-20,0.030188106796120093,0.7212659964467837,,0.38410194174757284
2,arrival +1 grid step later,largely preserved; loss means knife-edge timing,-0.5365853658536677,0.055240187927102606,-9.71367741474322,1640,99,-0.6532810653492462,-0.4314030571194098,300,***,0.2396341463414634,0.2786585365853659,0.8686868686868687,2.288987396986294e-14,-0.03658536585366772,-0.6622961873690109,,0.3823170731707317
3,live parity (visibility floored at exec+15m),"attenuated, same sign",-0.5404951100244599,0.05942805938491702,-9.094948002990636,1636,98,-0.6663368592029366,-0.4278571614574273,300,***,0.2341075794621027,0.2762836185819071,0.8877551020408163,8.065094010420559e-16,-0.040495110024459956,-0.6814139725171257,,0.36797066014669927
4,rotated buckets,~0; survival means generic curve continuation,-0.5199816961562042,0.0557043612301915,-9.334667603626995,1639,99,-0.6372485161624735,-0.40388916322620577,300,***,0.21842586943258085,0.2769981696156193,0.9090909090909091,6.053134256946273e-18,-0.019981696156204105,-0.3587097260415962,,0.35509456985967053
5,pre-arrival window,~0; a result means leakage or anticipation,-0.4581589958159178,0.07351374784710576,-6.232290003344667,1434,97,-0.5798555138606412,-0.3281010415860314,300,***,0.2503486750348675,0.2733612273361227,0.8247422680412371,6.007962189879816e-11,0.04184100418408218,0.5691589044147674,,0.38284518828451886
