,horizon_min,mean,se,t,n,n_blocks,stars,expected_sign
0,5,19.420473773265652,31.76915763198061,0.6112996132360751,5910,104,,-1
1,15,-44.26514382402707,21.86863388061894,-2.0241385020056977,5910,104,*,-1
2,30,-59.541962774957696,41.187203886391465,-1.4456422664474868,5910,104,,-1
3,60,-37.63434856175973,52.798610644624354,-0.7127905091114635,5910,104,,-1
