fund_set,n_matched_cells,gross_delta_mean_bp,gross_delta_med_bp,gross_win_rate,gross_delta_t,net_delta_mean_bp,net_win_rate
coupon_long,288,-0.000723544969894727,-0.00020585412186201538,0.4895833333333333,-1.5674018874395645,-0.0023091453575354603,0.4513888888888889
coupon_long_govt,216,-0.0008836123236788151,0.00036502472276009996,0.5138888888888888,-0.8268188699436404,-0.016944446743964586,0.2962962962962963
daily_only,216,-0.0012269649116439436,-0.0003577335991450499,0.48148148148148145,-1.0381405003960316,-0.020488677223171516,0.3194444444444444
