date,pnl_bp,open_positions,mtm_bp
2020-01-29,0.0,0,0.0
2020-01-30,0.0,0,0.0
2020-01-31,0.0,0,0.0
2020-02-03,0.0,0,0.0
2020-02-04,0.0,0,0.0
2020-02-05,0.0,0,0.0
2020-02-06,0.0,0,0.0
2020-02-07,0.0,0,0.0
2020-02-10,0.0,0,0.0
2020-02-11,0.0,0,0.0
2020-02-12,0.0,0,0.0
2020-02-13,0.0,0,0.0
2020-02-14,0.0,0,0.0
2020-02-18,0.0,0,0.0
2020-02-19,0.0,0,0.0
2020-02-20,0.0,0,0.0
2020-02-21,0.0,0,0.0
2020-02-24,0.0,0,0.0
2020-02-25,0.0,0,0.0
2020-02-26,0.0,0,0.0
2020-02-27,0.0,0,0.0
2020-02-28,0.0,0,0.0
2020-03-02,0.0,0,0.0
2020-03-03,0.0,0,0.0
2020-03-04,0.0,0,0.0
2020-03-05,0.0,0,0.0
2020-03-06,0.0,0,0.0
2020-03-09,0.0,0,0.0
2020-03-10,0.0,0,0.0
2020-03-11,0.0,0,0.0
2020-03-12,0.0,0,0.0
2020-03-13,0.0,0,0.0
2020-03-16,0.0,0,0.0
2020-03-17,0.0,0,0.0
2020-03-18,0.0,0,0.0
2020-03-19,0.0,0,0.0
2020-03-20,0.0,0,0.0
2020-03-23,0.0,0,0.0
2020-03-24,0.0,0,0.0
2020-03-25,0.0,0,0.0
2020-03-26,0.0,0,0.0
2020-03-27,0.0,0,0.0
2020-03-30,0.0,0,0.0
2020-03-31,0.0,0,0.0
2020-04-01,0.0,0,0.0
2020-04-02,0.0,0,0.0
2020-04-03,0.0,0,0.0
2020-04-06,0.0,0,0.0
2020-04-07,0.0,0,0.0
2020-04-08,0.0,0,0.0
2020-04-09,0.0,0,0.0
2020-04-13,0.0,0,0.0
2020-04-14,0.0,0,0.0
2020-04-15,0.0,0,0.0
2020-04-16,0.0,0,0.0
2020-04-17,0.0,0,0.0
2020-04-20,0.0,0,0.0
2020-04-21,0.0,0,0.0
2020-04-22,0.0,0,0.0
2020-04-23,0.0,0,0.0
2020-04-24,0.0,0,0.0
2020-04-27,0.0,0,0.0
2020-04-28,0.0,0,0.0
2020-04-29,0.0,0,0.0
2020-04-30,0.0,0,0.0
2020-05-01,0.0,0,0.0
2020-05-04,0.0,0,0.0
2020-05-05,0.0,0,0.0
2020-05-06,0.0,0,0.0
2020-05-07,0.0,0,0.0
2020-05-08,0.0,0,0.0
2020-05-11,0.0,0,0.0
2020-05-12,0.0,0,0.0
2020-05-13,0.0,0,0.0
2020-05-14,0.0,0,0.0
2020-05-15,0.0,0,0.0
2020-05-18,0.0,0,0.0
2020-05-19,0.0,0,0.0
2020-05-20,0.0,0,0.0
2020-05-21,0.0,0,0.0
2020-05-22,0.0,0,0.0
2020-05-26,0.0,0,0.0
2020-05-27,0.0,0,0.0
2020-05-28,0.0,0,0.0
2020-05-29,0.0,0,0.0
2020-06-01,0.0,0,0.0
2020-06-02,0.0,0,0.0
2020-06-03,0.0,0,0.0
2020-06-04,0.0,0,0.0
2020-06-05,0.0,0,0.0
2020-06-08,0.0,0,0.0
2020-06-09,0.0,0,0.0
2020-06-10,0.0,0,0.0
2020-06-11,0.0,0,0.0
2020-06-12,0.0,0,0.0
2020-06-15,0.0,0,0.0
2020-06-16,0.0,0,0.0
2020-06-17,0.0,0,0.0
2020-06-18,0.0,0,0.0
2020-06-19,0.0,0,0.0
2020-06-22,0.0,0,0.0
2020-06-23,0.0,0,0.0
2020-06-24,0.0,0,0.0
2020-06-25,0.0,0,0.0
2020-06-26,0.0,0,0.0
2020-06-29,0.0,0,0.0
2020-06-30,0.0,0,0.0
2020-07-01,0.0,0,0.0
2020-07-02,0.0,0,0.0
2020-07-06,0.0,0,0.0
2020-07-07,0.0,0,0.0
2020-07-08,0.0,0,0.0
2020-07-09,0.0,0,0.0
2020-07-10,0.0,0,0.0
2020-07-13,0.0,0,0.0
2020-07-14,0.0,0,0.0
2020-07-15,0.0,0,0.0
2020-07-16,0.0,0,0.0
2020-07-17,0.0,0,0.0
2020-07-20,0.0,0,0.0
2020-07-21,0.0,0,0.0
2020-07-22,0.0,0,0.0
2020-07-23,0.0,0,0.0
2020-07-24,0.0,0,0.0
2020-07-27,0.0,0,0.0
2020-07-28,0.0,0,0.0
2020-07-29,-0.04699039569527941,2,-0.04699039569527941
2020-07-30,0.026921946294915747,2,-0.02006844940036366
2020-07-31,-0.04618937055818466,2,-0.06625781995854832
2020-08-03,0.015197852957722524,2,-0.051059967000825796
2020-08-04,9.888685955095067e-05,2,-0.050961080141274845
2020-08-05,-0.028551961620617676,2,-0.07951304176189253
2020-08-06,-0.0008013172898023377,2,-0.08031435905169487
2020-08-07,0.06171947997439839,2,-0.018594879077296483
2020-08-10,0.0009181480027612016,2,-0.017676731074535282
2020-08-11,0.029545999523866467,2,0.011869268449331186
2020-08-12,-0.011031674094826777,2,0.000837594354504409
2020-08-13,0.005166998530467259,2,0.006004592884971668
2020-08-14,0.039971223027672004,2,0.04597581591264367
2020-08-17,-0.012871272413678497,2,0.033104543498965175
2020-08-18,0.061611526417656076,2,0.09471606991662125
2020-08-19,0.04228648368143208,2,0.13700255359805333
2020-08-20,-0.02602647195453707,2,0.11097608164351626
2020-08-21,0.0037579656082997737,2,0.11473404725181603
2020-08-24,0.09977512082956164,2,0.21450916808137765
2020-08-25,0.01925547902715699,2,0.23376464710853465
2020-08-26,0.10791235066535436,4,0.341676997773889
2020-08-27,-0.06778338694152591,4,0.2738936108323631
2020-08-28,0.11166519706778014,4,0.3855588079001432
2020-08-31,0.01605303197813253,4,0.4016118398782757
2020-09-01,-0.0091979816856406,4,0.3924138581926351
2020-09-02,-0.24674668971775207,7,0.145667168474883
2020-09-03,-0.18817414557248446,7,-0.042506977097601456
2020-09-04,0.15848228442855497,7,0.11597530733095351
2020-09-08,-0.11792383305583147,7,-0.0019485257248779558
2020-09-09,0.1192199482054621,7,0.11727142248058414
2020-09-10,-0.05047511545703252,10,0.06679630702355163
2020-09-11,-0.15942713306103345,10,-0.09263082603748182
2020-09-14,0.2539321068927556,10,0.16130128085527376
2020-09-15,-0.06818318440691352,10,0.09311809644836024
2020-09-16,0.07864142426471292,10,0.17175952071307315
2020-09-17,-0.01242210925561578,13,0.1593374114574574
2020-09-18,0.025122787327889473,13,0.18446019878534686
2020-09-21,-0.1150184970765597,13,0.06944170170878716
2020-09-22,0.21080199184270615,13,0.2802436935514933
2020-09-23,-0.1447107114328599,13,0.1355329821186334
2020-09-24,0.2254652019919272,13,0.3609981841105606
2020-09-25,-0.5354645780941227,13,-0.17446639398356212
2020-09-28,-0.06042128671625468,11,-0.2348876806998168
2020-09-29,0.21774804158541783,11,-0.017139639114398975
2020-09-30,-0.1780220896130689,11,-0.19516172872746787
2020-10-01,-0.012042011826703808,11,-0.20720374055417168
2020-10-02,0.03163135843841054,11,-0.17557238211576115
2020-10-05,-0.023152231903962782,11,-0.19872461401972394
2020-10-06,0.06022516139738682,11,-0.13849945262233712
2020-10-07,-0.04940514707614299,11,-0.1879045996984801
2020-10-08,0.12482801234876172,14,-0.0630765873497184
2020-10-09,0.0669998209913364,14,0.003923233641618007
2020-10-13,0.09317337799852446,14,0.09709661164014247
2020-10-14,-0.1553558667295658,14,-0.05825925508942334
2020-10-15,0.26806580413648096,14,0.20980654904705762
2020-10-16,-0.024292638761250276,14,0.18551391028580733
2020-10-19,0.003971451129597216,14,0.18948536141540454
2020-10-20,-0.05396105288026247,14,0.13552430853514208
2020-10-21,-0.14547219153985586,14,-0.009947883004713776
2020-10-22,0.13852557714465225,14,0.12857769413993847
2020-10-23,-0.04079461280348677,14,0.0877830813364517
2020-10-26,-0.3408218659209844,14,-0.2530387845845327
2020-10-27,-0.045434798153429136,12,-0.2984735827379619
2020-10-28,0.015241595110143696,12,-0.2832319876278182
2020-10-29,-0.05268835323830505,12,-0.33592034086612327
2020-10-30,0.012284342329835843,13,-0.32363599853628744
2020-11-02,-1.4979825110555463,13,-1.8216185095918336
2020-11-03,-0.009966563337070633,10,-1.8315850729289043
2020-11-04,-0.11584589824629457,10,-1.947430971175199
2020-11-05,0.046400920739046114,10,-1.9010300504361528
2020-11-06,-0.08451435802677106,10,-1.985544408462924
2020-11-09,-1.8015999012526498,10,-3.7871443097155737
2020-11-10,0.11348212709419755,7,-3.673662182621376
2020-11-12,0.022532323478189217,7,-3.651129859143187
2020-11-13,0.023390760651273705,7,-3.6277390984919133
2020-11-16,0.016605360884478018,7,-3.6111337376074353
2020-11-17,-1.584159670041082,7,-5.195293407648517
2020-11-18,-0.02435788847819554,4,-5.219651296126712
2020-11-19,-0.16618528882810252,4,-5.385836584954815
2020-11-20,-0.0351363518315507,4,-5.420972936786366
2020-11-23,0.013735790730322588,6,-5.407237146056043
2020-11-24,-0.1741062267122277,6,-5.581343372768271
2020-11-25,-0.02905718449776251,6,-5.610400557266034
2020-11-27,0.06300234219839305,6,-5.54739821506764
2020-11-30,0.0019656449972318933,6,-5.545432570070409
2020-12-01,-0.14744972039888768,6,-5.692882290469297
2020-12-02,0.36787302974889663,6,-5.3250092607204
2020-12-03,0.06053351270831542,6,-5.264475748012084
2020-12-04,-0.11530139532167755,6,-5.379777143333762
2020-12-07,0.09387520343657707,6,-5.285901939897185
2020-12-08,-0.3183583022047064,6,-5.604260242101891
2020-12-09,-0.8187009670110452,6,-6.422961209112937
2020-12-10,-0.1183724288694146,3,-6.541333637982351
2020-12-11,0.3500399074221661,3,-6.191293730560185
2020-12-14,-0.08391987176827514,3,-6.27521360232846
2020-12-15,0.0041576451794691355,7,-6.271055957148991
2020-12-16,0.2355981931160936,7,-6.0354577640328975
2020-12-17,-0.17839025502316985,7,-6.213848019056067
2020-12-18,0.21244957000994277,7,-6.001398449046125
2020-12-21,-0.18893219269300593,7,-6.190330641739131
2020-12-22,0.29358622135359513,7,-5.896744420385535
2020-12-23,-0.1756674631714031,7,-6.0724118835569385
2020-12-24,0.2208501533622641,7,-5.851561730194675
2020-12-28,0.08512698649322847,7,-5.7664347437014465
2020-12-29,0.015689406149654674,7,-5.750745337551792
2020-12-30,0.4938021300633083,8,-5.256943207488484
2020-12-31,-0.4897134421126093,8,-5.746656649601094
2021-01-04,-0.6641083252064894,7,-6.410764974807583
2021-01-05,0.15157738395116122,7,-6.259187590856421
2021-01-06,-0.11421719691316849,7,-6.37340478776959
2021-01-07,0.08995690442688975,10,-6.2834478833427
2021-01-08,-0.023836888339334963,10,-6.307284771682035
2021-01-11,-0.04011543592786814,10,-6.347400207609903
2021-01-12,0.016221142036079522,10,-6.331179065573823
2021-01-13,-0.06277873026140884,10,-6.393957795835232
2021-01-14,0.10010268818560832,10,-6.293855107649623
2021-01-15,0.10611774178135697,10,-6.187737365868267
2021-01-19,-0.05629470044142837,10,-6.244032066309695
2021-01-20,-0.10203767773254861,10,-6.346069744042244
2021-01-21,0.18449029938360584,10,-6.161579444658638
2021-01-22,-0.07353240508828315,10,-6.235111849746921
2021-01-25,-1.3742898338649292,10,-7.60940168361185
2021-01-26,-0.169421710425771,8,-7.778823394037621
2021-01-27,0.11032297458796894,8,-7.668500419449653
2021-01-28,0.14938455109718154,8,-7.519115868352471
2021-01-29,0.07754073469159065,9,-7.44157513366088
2021-02-01,-0.13609947656052718,9,-7.577674610221407
2021-02-02,0.12186196097966241,9,-7.455812649241745
2021-02-03,0.1312890021230414,9,-7.324523647118704
2021-02-04,-0.2778417346545005,9,-7.602365381773204
2021-02-05,-0.04493460683996408,9,-7.647299988613168
2021-02-08,0.023888492403764283,9,-7.623411496209403
2021-02-09,0.28548365704703416,9,-7.3379278391623695
2021-02-10,-0.08462557569853965,9,-7.422553414860909
2021-02-11,-0.06718655169353122,9,-7.48973996655444
2021-02-12,-0.005930333978232463,9,-7.495670300532673
2021-02-16,-1.89552824222829,9,-9.391198542760963
2021-02-17,0.004010986319495827,5,-9.387187556441466
2021-02-18,-0.06145901862673189,5,-9.448646575068198
2021-02-19,0.10876763222142738,5,-9.33987894284677
2021-02-22,-0.12359052077139449,9,-9.463469463618164
2021-02-23,0.059489495843298934,9,-9.403979967774866
2021-02-24,0.08970527195894828,9,-9.314274695815918
2021-02-25,0.27001669615577356,9,-9.044257999660145
2021-02-26,-0.3667124029733898,9,-9.410970402633534
2021-03-01,0.03523415325914876,9,-9.375736249374386
2021-03-02,-0.5717190906413718,9,-9.947455340015757
2021-03-03,0.042541221577455685,8,-9.904914118438302
2021-03-04,0.16734356472352438,8,-9.737570553714779
2021-03-05,-0.27227455097269143,8,-10.00984510468747
2021-03-08,-0.20495453313543494,8,-10.214799637822905
2021-03-09,-1.1294086524760856,8,-11.34420829029899
2021-03-10,-0.09453739460632024,5,-11.43874568490531
2021-03-11,-0.027682630038503034,5,-11.466428314943814
2021-03-12,0.03559612932957029,5,-11.430832185614243
2021-03-15,0.04941086994814553,6,-11.381421315666097
2021-03-16,-0.041842613955254154,6,-11.423263929621351
2021-03-17,0.06892652993582499,6,-11.354337399685527
2021-03-18,0.02175906431375703,6,-11.33257833537177
2021-03-19,0.07697925956335545,6,-11.255599075808414
2021-03-22,0.01905422219064823,6,-11.236544853617765
2021-03-23,0.10172890966033715,6,-11.134815943957427
2021-03-24,0.034344158317613754,6,-11.100471785639813
2021-03-25,-0.05949644063725926,6,-11.159968226277073
2021-03-26,-0.0318724321133296,6,-11.191840658390403
2021-03-29,0.08639392523795979,6,-11.105446733152442
2021-03-30,-0.46913544105857385,6,-11.574582174211017
2021-03-31,-0.006930136047546505,5,-11.581512310258564
2021-04-01,-0.009342258596494873,5,-11.59085456885506
2021-04-02,0.23301399833066505,5,-11.357840570524393
2021-04-05,0.07545907611054614,7,-11.282381494413848
2021-04-06,0.2126897211062698,7,-11.069691773307579
2021-04-07,0.1400771088831655,7,-10.929614664424413
2021-04-08,-0.0059443876013753755,7,-10.935559052025788
2021-04-09,0.17539266972961207,7,-10.760166382296175
2021-04-12,-0.11024201032463046,7,-10.870408392620806
2021-04-13,-0.25064762909542876,7,-11.121056021716235
