fund_set,funds,own_med_pct,own_p90_pct,own_max_pct,par_bn_med,uplift_vs_tlt
tlt_only,TLT,2.7890130049592723,7.892307248713723,15.508517656732982,45.2665407,1.0
coupon_long,"TLT,SPTL,VGLT",3.6307231836511376,9.09619020057882,16.97336479869349,55.1742339,1.3017949995913185
coupon_long_govt,"TLT,GOVT,SPTL,VGLT",4.144187144826737,9.782561545499787,18.189808458241846,59.8620341,1.4858973900292924
daily_only,"TLT,GOVT",3.3076932501025307,8.584338502460318,16.62166950410328,49.9543409,1.1859726879082202
