ticker,n_dates,inslice_share_par_med,inslice_share_par_min,offslice_share_par_med,inslice_dv01_med,n_inslice_med,stale_days_med,stale_days_max
GOVT,1638,0.1572292175458682,3.419814444561638e-05,0.8427707824541317,5372609.437599687,28.0,0.0,0.0
SPTL,1638,0.5537485555241423,0.0,0.44625144447585774,5319485.735334605,34.0,105.0,152.0
TLT,1638,0.9913541259109565,0.0030551996808855716,0.008645874089043493,60451057.919798106,35.0,0.0,0.0
VGLT,1638,0.5610892874743331,0.0,0.43891071252566694,7823188.499658118,33.0,105.0,154.0
