date,fast_bp,qdb_bp,gap_bp,fast_d,qdb_d
2020-08-27,0.0,0.0,0.0,,
2020-08-28,0.22801992408582863,0.2277593979889616,-0.0002605260968670253,0.22801992408582863,0.2277593979889616
2020-08-31,0.13754608643514965,0.23429424175608915,0.0967481553209395,-0.09047383765067898,0.0065348437671275406
2020-09-01,0.10370525364656975,0.2246601941819364,0.12095494053536664,-0.0338408327885799,-0.00963404757415276
2020-09-02,0.23730569232064735,0.35949558507080326,0.1221898927501559,0.13360043867407762,0.13483539088886687
2020-09-03,0.28623301566457576,0.4208728510247681,0.13463983536019236,0.04892732334392841,0.061377265953964866
2020-09-04,-0.08265631720696975,0.046234502988369286,0.12889082019533904,-0.3688893328715455,-0.37463834803639884
2020-09-08,-0.018074107671964518,0.5853011623026418,0.6033752699746063,0.06458220953500524,0.5390666593142726
2020-09-09,0.02283438350178965,0.03531928281957164,0.012484899317781989,0.04090849117375417,-0.5499818794830702
2020-09-10,0.3055778875550732,0.31823293519749996,0.012655047642426753,0.2827435040532835,0.2829136523779283
2020-09-11,0.06952819226622858,0.07606896585801337,0.0065407735917847876,-0.23604969528884462,-0.24216396933948658
2020-09-14,-0.07199269429891145,-0.06960693043964739,0.0023857638592640618,-0.14152088656514003,-0.14567589629766076
2020-09-15,0.2292713792396804,0.2394792102350607,0.01020783099538028,0.30126407353859186,0.3090861406747081
2020-09-16,0.1720756176777934,0.17895914872757146,0.006883531049778069,-0.05719576156188702,-0.06052006150748923
2020-09-17,0.16404748978520806,0.17162324954128394,0.007575759756075884,-0.008028127892585335,-0.00733589918628752
2020-09-18,0.3109727131179654,0.3198622798359452,0.008889566717979747,0.14692522333275737,0.14823903029466123
2020-09-21,0.20623901122511762,0.21485281869846062,0.008613807473343005,-0.10473370189284781,-0.10500946113748455
2020-09-22,0.20610938222537947,0.2149392803739545,0.008829898148575016,-0.00012962899973814612,8.646167549386519e-05
2020-09-23,0.04305110103809792,0.04749061061102111,0.004439509572923189,-0.16305828118728155,-0.16744866976293338
2020-09-24,0.0823344383762925,0.08873862161144075,0.006404183235148256,0.03928333733819457,0.04124801100041964
2020-09-25,0.24271115366908252,0.25388871100165034,0.011177557332567811,0.16037671529279002,0.1651500893902096
2020-09-28,0.2091596379615786,0.2176829717827502,0.008523333821171597,-0.03355151570750392,-0.036205739218900135
2020-09-29,0.3165353959375429,0.3335987582040332,0.0170633622664903,0.10737575797596427,0.11591578642128297
2020-09-30,0.3339643940541373,0.36702352395801086,0.03305912990387355,0.01742899811659443,0.03342476575397768
2020-10-01,0.2969575356513907,0.37269843882319265,0.07574090317180193,-0.03700685840274659,0.0056749148651817904
2020-10-02,0.1312900842852247,0.1998033355928044,0.06851325130757968,-0.165667451366166,-0.17289510323038826
2020-10-05,0.44378856349176954,0.5636406277374988,0.11985206424572925,0.31249847920654483,0.3638372921446944
2020-10-06,0.43645012524570326,0.48988087228309496,0.0534307470373917,-0.007338438246066281,-0.07375975545440383
2020-10-07,0.14110209813777935,0.6105903060810647,0.46948820794328533,-0.2953480271079239,0.12070943379796972
2020-10-08,0.5336315554037094,1.0659042584142924,0.5322727030105829,0.3925294572659301,0.4553139523332277
2020-10-09,0.14479071423968415,0.33420642959237057,0.18941571535268642,-0.3888408411640253,-0.7316978288219218
2020-10-13,-0.09304113814976417,-0.06958016272758982,0.023460975422174346,-0.23783185238944832,-0.4037865923199604
2020-10-14,0.15743064771807197,0.17571924323138433,0.018288595513312356,0.25047178586783614,0.24529940595897415
2020-10-15,0.2787605251455429,0.2943861661235303,0.01562564097798741,0.12132987742747092,0.11866692289214598
2020-10-16,-0.036271043488167065,-0.01621440592711565,0.020056637561051416,-0.31503156863370996,-0.31060057205064595
2020-10-19,0.06558711903349163,0.0825723443962545,0.016985225362762868,0.10185816252165869,0.09878675032337014
2020-10-20,-0.0636078465023176,-0.044168154836825124,0.019439691665492476,-0.12919496553580923,-0.12674049923307962
2020-10-21,0.19499574861112806,0.2033479446327533,0.008352196021625236,0.25860359511344566,0.24751609946957842
2020-10-22,-0.16774038622445991,-0.14560951365666597,0.022130872567793947,-0.362736134835588,-0.34895745828941926
2020-10-23,0.41643163854870274,0.41207790026939506,-0.004353738279307684,0.5841720247731627,0.557687413926061
2020-10-26,0.3896056130154362,0.3892613533076599,-0.00034425970777635095,-0.026826025533266518,-0.022816546961735185
2020-10-27,0.44358620848515784,0.44316705273956813,-0.0004191557455897055,0.053980595469721615,0.05390569943190826
2020-10-28,0.443894380218107,0.4422434417504917,-0.001650938467615326,0.00030817173294916955,-0.000923610989076451
2020-10-29,0.4441168677641552,0.44297900991767847,-0.001137857846476742,0.0002224875460482001,0.0007355681671867842
2020-10-30,0.21631102316676398,0.20388535961589582,-0.01242566355086816,-0.22780584459739123,-0.23909365030178265
2020-11-02,0.5679005910187922,0.5001973506601303,-0.06770324035866193,0.3515895678520282,0.29631199104423445
2020-11-03,0.3565174125300844,0.29014003871569116,-0.06637737381439324,-0.2113831784887078,-0.2100573119444391
2020-11-04,0.3237528637989416,-0.30060196579239573,-0.6243548295913373,-0.03276454873114282,-0.5907420045080869
2020-11-05,0.2526557967986497,-0.2986151943534878,-0.5512709911521375,-0.07109706700029189,0.0019867714389079083
2020-11-06,0.2578115086436664,-0.7776594852791163,-1.0354709939227829,0.0051557118450167305,-0.4790442909256285
2020-11-09,0.38243712352886594,0.40443828293132356,0.022001159402457615,0.12462561488519952,1.1820977682104399
2020-11-10,0.614307623660735,0.6190741443692787,0.0047665207085436645,0.23187050013186905,0.2146358614379551
2020-11-12,0.30263260215836374,0.3135101371825044,0.010877535024140683,-0.31167502150237125,-0.30556400718677423
2020-11-13,0.6194359219573572,0.6249620420770725,0.0055261201197153165,0.31680331979899345,0.3114519048945681
2020-11-16,0.38653204493897386,0.3917822223294287,0.005250177390454858,-0.23290387701838333,-0.2331798197476438
2020-11-17,0.2360962286950985,0.23982170499516897,0.003725476300070474,-0.15043581624387536,-0.15196051733425975
2020-11-18,0.27224471515431775,0.2744611988393082,0.0022164836849904446,0.03614848645921925,0.034639493844139224
2020-11-19,0.5205965684484766,0.5189326131984195,-0.0016639552500570254,0.24835185329415882,0.24447141435911135
