kind,n,best_gross_bp,med_gross_bp,best_net_bp,best_sr_trade,best_dsr,best_breakeven_mult,n_gross_above_cost
aggregate,1008,0.051322176405968,0.00054941778711555,-0.6731316973844362,-1.3367855303043163,1.704727791069602e-94,0.0683126274689611,0
calendar_null,8,0.0672908756640188,0.007665884483012451,-0.6096793093315944,-0.9139147414284464,2.1429074441964486e-45,0.0994000580165209,0
float_twin_null,72,0.0261882062027387,0.00289913730753775,-0.7726356573380914,-1.3593142335974018,5.139321408063085e-91,0.0327834550243129,0
matched_placebo,32,0.0209062735657366,4.7441518009095113e-05,-0.5652185994169102,-0.9822859995403416,2.0889621709704123e-58,0.0262349060892655,0
