idea_id,level,residual,zscore,direction,phase1_sharpe,selected,target_weight,phase1_weight,rank_score
2Y/30Y,-57.217751423934175,-0.028801715790571336,-0.968481520826232,1,-0.6383360561920047,False,,,
5Y/30Y,-44.06657497395856,0.25773505834762744,0.968481520826147,-1,0.5363090973967599,False,,,
2Y/10Y,-25.41375348262638,0.4622247220545077,0.968481520826146,-1,0.400244833147562,False,,,
2Y/5Y/30Y,30.915398523982944,-0.5442718324858156,-0.9684815208261454,1,0.25746459487319007,False,,,
5Y,-30.732271286549697,-0.7850795457776449,-0.9684815208261442,1,-0.5031236469460011,False,,,
10Y/30Y,-31.80399794130779,-0.4910264378450684,-0.9684815208261434,1,-0.5927944001147996,False,,,
2Y/5Y/10Y,-0.8885994173248477,-1.0352982703308835,-0.9684815208261432,1,-0.13779172092078754,False,,,
2Y/5Y,-13.151176449975612,-0.2865367741381881,-0.9684815208261426,1,-0.3409787798913324,False,,,
5Y/10Y/30Y,19.541420908657024,1.2397879340377607,0.968481520826142,-1,-0.4441358410663889,False,,,
5Y/10Y,-12.262577032650768,0.7487614961926905,0.9684815208261401,-1,0.2514002361300719,False,,,
2Y/10Y/30Y,6.3902444586814084,0.9532511598995734,0.9684815208261401,-1,-0.06773633923067039,False,,,
2Y,-17.581094836574085,-0.4985427716394497,-0.9684815208261391,1,-0.3333752374260776,False,,,
30Y,-74.79884626050826,-0.5273444874300282,-0.9684815208261378,1,-1.0346503980270252,False,,,
10Y,-42.994848319200464,-0.036318049584942,-0.9684815208260591,1,-0.6144366599025255,False,,,
