Date,2Y,5Y,10Y,30Y,2Y/5Y,2Y/10Y,2Y/30Y,5Y/10Y,5Y/30Y,10Y/30Y,2Y/5Y/10Y,2Y/5Y/30Y,2Y/10Y/30Y,5Y/10Y/30Y
2022-01-03,-0.5451031083288815,-14.624755232138153,-19.546221303433597,-46.34100400523384,-14.079652123809272,-19.001118195104716,-45.79590089690496,-4.921466071295445,-31.71624877309569,-26.794782701800244,-9.158186052513827,17.636596649286417,7.793664506695528,21.8733166305048
2022-01-04,-0.7161122524108277,-13.770720422894534,-18.82348294367413,-46.85442159022828,-13.054608170483707,-18.107370691263302,-46.13830933781745,-5.052762520779595,-33.08370116733374,-28.030938646554148,-8.001845649704112,20.029092996850036,9.92356795529085,22.978176125774553
2022-01-05,-0.713599989553626,-14.270663378333337,-19.219253550014837,-46.66404713849739,-13.55706338877971,-18.505653560461212,-45.95044714894376,-4.9485901716815,-32.39338376016405,-27.44479358848255,-8.608473217098211,18.83632037138434,8.939140028021342,22.496203416801052
2022-01-06,-1.1179910043117136,-14.042507748033838,-17.51050433206167,-42.71811337255909,-12.924516743722124,-16.39251332774996,-41.600122368247376,-3.4679965840278335,-28.67560562452525,-25.207609040497417,-9.456520159694293,15.751088880803124,8.815095712747457,21.739612456469583
2022-01-07,-0.1772314947119602,-13.933394319249537,-17.733989401184246,-43.81024116577197,-13.756162824537576,-17.556757906472285,-43.63300967106001,-3.800595081934709,-29.876846846522433,-26.076251764587724,-9.955567742602867,16.120684021984857,8.519493858115439,22.275656682653015
2022-01-10,-1.115776347470987,-13.239025546275895,-16.912364867343932,-41.844789545162996,-12.123249198804908,-15.796588519872945,-40.72901319769201,-3.6733393210680365,-28.6057639988871,-24.932424677819064,-8.449909877736872,16.482514800082193,9.135836157946116,21.25908535675103
2022-01-11,-0.6115071776924719,-14.478111837806807,-17.045480357289765,-41.5441869876154,-13.866604660114335,-16.433973179597295,-40.932679809922924,-2.567368519482958,-27.06607514980859,-24.498706630325632,-11.299236140631375,13.199470489694257,8.06473345072834,21.931338110842674
2022-01-12,-1.6866207452197357,-15.92179546299839,-19.662461631722337,-43.564804482705895,-14.235174717778653,-17.975840886502603,-41.87818373748616,-3.7406661687239477,-27.643009019707506,-23.90234285098356,-10.494508549054707,13.407834301928851,5.926501964480956,20.16167668225961
2022-01-13,0.004549771003614644,-14.411535759652372,-17.22280088053887,-42.22877395885008,-14.416085530655987,-17.227350651542483,-42.233323729853694,-2.811265120886498,-27.817238199197703,-25.005973078311207,-11.604820409769488,13.40115266854172,7.77862242676872,22.19470795742471
2022-01-14,-1.4884765269929656,-14.800372011325823,-19.119118344088438,-45.527987487719955,-13.311895484332858,-17.630641817095473,-44.039510960726986,-4.318746332762615,-30.72761547639413,-26.408869143631517,-8.993149151570243,17.415719992061273,8.778227326536047,22.090122810868902
2022-01-18,-0.5376462685828587,-14.319031719278087,-17.842439909130725,-43.623870613179896,-13.781385450695229,-17.304793640547867,-43.086224344597035,-3.5234081898526384,-29.30483889390181,-25.78143070404917,-10.25797726084259,15.52345344320658,8.476637063501308,22.258022514196533
2022-01-19,-1.3921484078005752,-15.611015914995473,-19.332201572781614,-45.23029842211841,-14.218867507194897,-17.940053164981038,-43.83815001431783,-3.7211856577861404,-29.619282507122936,-25.898096849336795,-10.497681849408757,15.400414999928039,7.958043684355758,22.176911191550655
2022-01-20,-1.2539659467634356,-13.973740945289448,-18.46546511836815,-43.62236676197357,-12.719774998526013,-17.211499171604714,-42.36840081521014,-4.491724173078703,-29.648625816684124,-25.156901643605423,-8.228050825447308,16.928850818158114,7.945402472000708,20.66517747052672
2022-01-21,-0.7880886339552973,-13.684588548524324,-17.204124982667768,-44.077621032639684,-12.896499914569027,-16.41603634871247,-43.289532398684386,-3.5195364341434434,-30.39303248411536,-26.873496049971916,-9.376963480425584,17.496532569546332,10.457459701259445,23.353959615828472
2022-01-24,-2.6327043192091226,-17.219862904056527,-19.261086591936618,-45.60179389877852,-14.587158584847405,-16.628382272727496,-42.96908957956939,-2.041223687880091,-28.38193099472199,-26.3407073068419,-12.545934896967314,13.794772409874586,9.712325034114407,24.29948361896181
2022-01-25,-1.2132244738358944,-14.915610811088275,-17.399313205027077,-43.23930446936161,-13.702386337252381,-16.186088731191184,-42.02607999552572,-2.4837023939388025,-28.32369365827334,-25.839991264334536,-11.218683943313579,14.621307321020957,9.653902533143352,23.356288870395733
2022-01-26,-5.975475630226423,-17.536647018622233,-18.74603225621918,-42.83815549562884,-11.56117138839581,-12.770556625992757,-36.86267986540241,-1.2093852375969476,-25.301508477006607,-24.09212323940966,-10.351786150798862,13.740337088610797,11.321566613416902,22.88273800181271
2022-01-27,-0.3890951875484605,-15.239731483111974,-18.035685536232513,-41.694081144754925,-14.850636295563515,-17.646590348684054,-41.30498595720646,-2.795954053120539,-26.45434966164295,-23.65839560852241,-12.054682242442976,11.603713366079436,6.011805259838361,20.862441555401873
2022-01-28,0.09125985118989544,-14.060311266504687,-16.5243229172807,-41.28005731574132,-14.151571117694584,-16.615582768470595,-41.37131716693121,-2.464011650776012,-27.21974604923663,-24.755734398460618,-11.687559466918572,13.068174931542046,8.140151629990022,22.291722747684606
2022-01-31,-2.912284568378154,-15.01869025974434,-18.463421660597334,-43.32880891343236,-12.106405691366184,-15.551137092219179,-40.416524345054206,-3.4447314008529943,-28.310118653688022,-24.865387252835028,-8.66167429051319,16.203712962321838,9.314250160615849,21.420655851982033
2022-02-01,-3.198457216125261,-15.945658441855626,-17.871948011987282,-42.90515531846992,-12.747201225730365,-14.67349079586202,-39.70669810234466,-1.9262895701316562,-26.959496876614296,-25.03320730648264,-10.82091165559871,14.21229565088393,10.359716510620622,23.106917736350987
2022-02-02,-2.2303139114986603,-15.769269498112969,-18.57261404648467,-45.03430630602494,-13.538955586614309,-16.34230013498601,-42.803992394526276,-2.803344548371701,-29.26503680791197,-26.461692259540268,-10.735611038242606,15.726081221297662,10.11939212455426,23.658347711168567
2022-02-03,-1.3264181322040214,-13.928073433066746,-17.113544009820103,-44.41369690574606,-12.601655300862724,-15.78712587761608,-43.08727877354204,-3.1854705767533567,-30.48562347267931,-27.300152895925955,-9.416184724109367,17.883968171816587,11.51302701830987,24.114682319172598
2022-02-04,0.20134797191724285,-13.630000456968961,-15.917802346609555,-43.68380842129407,-13.831348428886205,-16.1191503185268,-43.88515639321131,-2.287801889640594,-30.053807964325106,-27.766006074684512,-11.543546539245611,16.2224595354389,11.646855756157713,25.478204185043918
2022-02-07,-0.5368804884499312,-14.051124226393362,-16.66404985435863,-44.284782812524924,-13.514243737943431,-16.1271693659087,-43.74790232407499,-2.612925627965268,-30.23365858613156,-27.620732958166293,-10.901318109978163,16.71941484818813,11.493563592257594,25.007807330201025
2022-02-08,-1.2746446734799077,-14.38721712792157,-17.331377403722282,-44.76371929514657,-13.112572454441661,-16.056732730242373,-43.48907462166667,-2.944160275800712,-30.376502167225002,-27.43234189142429,-10.16841217864095,17.26392971278334,11.375609161181913,24.488181615623578
2022-02-09,-2.7452856191579667,-16.079896850049515,-18.83560517139862,-48.16541116097704,-13.334611230891548,-16.09031955224065,-45.42012554181907,-2.755708321349104,-32.08551431092752,-29.329805989578418,-10.578902909542443,18.750903080035975,13.239486437337767,26.574097668229314
2022-02-10,-4.28162554760414,-15.626034390105993,-15.302218520355426,-44.20158263336784,-11.344408842501853,-11.020592972751286,-39.9199570857637,0.3238158697505664,-28.57554824326185,-28.899364113012417,-11.66822471225242,17.231139400759997,17.87877114026113,29.223179982762982
2022-02-11,1.2512746971305555,-13.871404443553015,-14.444364641333385,-48.08934455154596,-15.12267914068357,-15.695639338463941,-49.34061924867652,-0.57296019778037,-34.217940107992945,-33.64497991021258,-14.5497189429032,19.09526096730938,17.94934057174864,33.07201971243221
2022-02-14,0.4074527500632641,-14.675426710706517,-15.698476242485505,-47.35161317457322,-15.082879460769782,-16.10592899254877,-47.75906592463648,-1.0230495317789874,-32.6761864638667,-31.653136932087712,-14.059829928990794,17.593307003096918,15.547207939538943,30.630087400308724
2022-02-15,-2.018086955235754,-16.163017583991035,-16.1198999659401,-47.197024940897506,-14.144930628755281,-14.101813010704346,-45.178937985661754,0.04311761805093539,-31.03400735690647,-31.077124974957407,-14.188048246806218,16.88907672815119,16.97531196425306,31.120242593008342
2022-02-16,0.2057095920959151,-14.208958079667733,-15.026230760116842,-44.37985410855316,-14.414667671763649,-15.231940352212757,-44.585563700649075,-0.8172726804491095,-30.17089602888543,-29.35362334843632,-13.597394991314538,15.756228357121781,14.121682996223562,28.536350667987207
2022-02-17,-1.0473884055028693,-16.297476420611634,-16.269961759954967,-45.29570664246651,-15.250088015108766,-15.222573354452098,-44.24831823696364,0.02751466065666719,-28.99823022185488,-29.025744882511546,-15.277602675765433,13.748142206746113,13.803171528059448,29.053259543168213
2022-02-18,-2.21455985682526,-16.221703751708905,-15.60881231608846,-44.290362739955704,-14.007143894883644,-13.3942524592632,-42.07580288313044,0.612891435620444,-28.0686589882468,-28.681550423867243,-14.620035330504088,14.061515093363155,15.287297964604043,29.294441859487687
