Date,2Y,5Y,10Y,30Y
2022-01-03,-0.5451031083288815,-14.624755232138153,-19.546221303433597,-46.34100400523384
2022-01-04,-0.7161122524108277,-13.770720422894534,-18.82348294367413,-46.85442159022828
2022-01-05,-0.713599989553626,-14.270663378333337,-19.219253550014837,-46.66404713849739
2022-01-06,-1.1179910043117136,-14.042507748033838,-17.51050433206167,-42.71811337255909
2022-01-07,-0.1772314947119602,-13.933394319249537,-17.733989401184246,-43.81024116577197
2022-01-10,-1.115776347470987,-13.239025546275895,-16.912364867343932,-41.844789545162996
2022-01-11,-0.6115071776924719,-14.478111837806807,-17.045480357289765,-41.5441869876154
2022-01-12,-1.6866207452197357,-15.92179546299839,-19.662461631722337,-43.564804482705895
2022-01-13,0.004549771003614644,-14.411535759652372,-17.22280088053887,-42.22877395885008
2022-01-14,-1.4884765269929656,-14.800372011325823,-19.119118344088438,-45.527987487719955
2022-01-18,-0.5376462685828587,-14.319031719278087,-17.842439909130725,-43.623870613179896
2022-01-19,-1.3921484078005752,-15.611015914995473,-19.332201572781614,-45.23029842211841
2022-01-20,-1.2539659467634356,-13.973740945289448,-18.46546511836815,-43.62236676197357
2022-01-21,-0.7880886339552973,-13.684588548524324,-17.204124982667768,-44.077621032639684
2022-01-24,-2.6327043192091226,-17.219862904056527,-19.261086591936618,-45.60179389877852
2022-01-25,-1.2132244738358944,-14.915610811088275,-17.399313205027077,-43.23930446936161
2022-01-26,-5.975475630226423,-17.536647018622233,-18.74603225621918,-42.83815549562884
2022-01-27,-0.3890951875484605,-15.239731483111974,-18.035685536232513,-41.694081144754925
2022-01-28,0.09125985118989544,-14.060311266504687,-16.5243229172807,-41.28005731574132
2022-01-31,-2.912284568378154,-15.01869025974434,-18.463421660597334,-43.32880891343236
2022-02-01,-3.198457216125261,-15.945658441855626,-17.871948011987282,-42.90515531846992
2022-02-02,-2.2303139114986603,-15.769269498112969,-18.57261404648467,-45.03430630602494
2022-02-03,-1.3264181322040214,-13.928073433066746,-17.113544009820103,-44.41369690574606
2022-02-04,0.20134797191724285,-13.630000456968961,-15.917802346609555,-43.68380842129407
2022-02-07,-0.5368804884499312,-14.051124226393362,-16.66404985435863,-44.284782812524924
2022-02-08,-1.2746446734799077,-14.38721712792157,-17.331377403722282,-44.76371929514657
2022-02-09,-2.7452856191579667,-16.079896850049515,-18.83560517139862,-48.16541116097704
