n_trades,hit_rate,avg_usd,avg_win_usd,avg_loss_usd,total_usd,sharpe,max_dd_usd,avg_signal_size_bp,fomc_bucket
32,0.40625,-82967.24684571265,232099.15044368946,-298538.9923595141,-2654951.899062805,-0.5828162276789693,-2721551.6047269553,1.9572025395679995,FOMC_day
655,0.4442748091603053,-10413.827359040939,221017.24954144354,-195431.52894706564,-6821056.920171815,-0.3493884382341135,-13266243.010131154,1.5162383238487513,non_FOMC
30,0.5,-115351.55155414107,238178.70319630206,-468881.8063045842,-3460546.546624232,-0.3999677747683403,-3772256.1828016937,1.2541785396820104,post_FOMC
66,0.4393939393939394,18404.26740881084,281176.64985194535,-187552.4647763486,1214681.6489815153,0.1478605853540842,-2556436.954444617,1.3095427375084658,pre_FOMC
