n_trades,hit_rate,avg_usd,avg_win_usd,avg_loss_usd,total_usd,sharpe,max_dd_usd,avg_signal_size_bp,vol_bucket
260,0.48846153846153845,16375.979195637628,347676.65022165485,-299978.7968968751,4257754.590865783,0.21018807573342052,-5682197.704665434,2.4522499045335664,high_vol
260,0.4115384615384615,-48812.38845713006,107449.55572141541,-158093.61739245272,-12691220.998853816,-2.0194148533945575,-12565365.517211445,0.8173169440276323,low_vol
263,0.43346007604562736,-12503.449843685568,205333.99057576637,-179171.02170823267,-3288407.3088893043,-0.34351279290000164,-6275490.217267536,1.2537428883164083,mid_vol
