n_trades,hit_rate,avg_usd,avg_win_usd,avg_loss_usd,total_usd,sharpe,max_dd_usd,avg_signal_size_bp,size_bin
110,0.4727272727272727,-62331.63673321773,140587.75596457478,-244259.3681174455,-6856480.040653951,-0.7311228089452807,-7173813.953081466,0.10716805137292713,0-0.25bp
129,0.40310077519379844,-43677.34425876394,149851.60544531763,-174372.21938359825,-5634377.409380548,-1.0241594696373064,-5383036.085496819,0.37537690729442946,0.25-0.5bp
183,0.4207650273224044,-34581.088773441545,153813.7579098349,-171433.94909997255,-6328339.245539803,-0.9130510314382488,-7662217.380342212,0.696665675473855,0.5-1bp
220,0.45,-10386.871548436515,230260.01591764053,-207279.77947522682,-2285111.740656033,-0.22719735440744068,-5386184.942408055,1.4280196010360053,1-2bp
91,0.45054945054945056,20911.648308554642,295137.75075002125,-203953.75569344795,1902959.9960784726,0.2427065706779297,-2382209.050032437,2.806478905693345,2-4bp
50,0.54,149589.4944654905,637674.6835929631,-423380.0753798034,7479474.723274525,0.5159639699388524,-5643335.213786058,8.451318846067853,>4bp
