entry_date,exit_date,held_days,reason,entry_nb32,exit_nb32,entry_richness,symbol,pnl,pnl_volbp
2022-06-21,2022-06-22,1,signal,4.455959775233623,4.162873131460856,0.6349193938468365,UBU22,-67339.2484402853,-2.1548559500891296
2022-08-05,2022-08-08,1,signal,9.639148068579289,7.432890582596883,0.18023349395928584,UBU22,-114761.70822581455,-3.6723746632260656
2024-04-08,2024-04-09,1,signal,7.611499281552824,10.029504294619983,0.07581741918693691,UBM24,41549.42146968457,1.329581487029906
2024-06-06,2024-06-07,1,signal,7.226032586097972,7.486904208937176,0.7676663922828804,UBU24,35477.41481292371,1.1352772740135586
2024-06-20,2024-06-21,1,signal,6.035889732909709,7.329114442147784,0.8540120911521389,UBU24,14306.192958584192,0.45779817467469414
2024-07-01,2024-07-02,1,signal,4.95489602153566,8.273072187953403,1.1244873995132019,UBU24,51662.732122327856,1.6532074279144915
2024-07-18,2024-07-19,1,signal,3.825449695214502,5.324511221176181,0.9260313593679653,UBU24,28644.881285302108,0.9166362011296675
2024-08-15,2024-08-16,1,signal,7.21858980457182,5.4102703913818,0.03265499310006745,UBU24,-88515.40516350004,-2.8324929652320012
2024-09-05,2024-09-06,1,signal,-1.6463136393490458,-5.976157016830712,-1.3951158932182182,UBZ24,-165536.658473959,-5.297173071166688
2024-09-26,2024-09-27,1,signal,-0.0612032990688931,2.0967754770972533,-31.51590709163674,UBZ24,34679.90093890958,1.1097568300451066
2025-03-31,2025-04-02,2,signal,12.571203422451617,4.38408790764106,0.13077867602620905,UBM25,-293376.17752906575,-9.388037680930104
2025-07-03,2025-07-07,1,take_profit,0.5219997849462743,5.566653998689617,2.5545318703869317,UBU25,135665.96454232288,4.341310865354332
2025-08-29,2025-09-02,1,signal,2.2231844046063998,1.2928037178830891,0.5789224592486245,UBZ25,-55466.43457530055,-1.7749259064096174
2025-09-10,2025-09-11,1,take_profit,-3.2474658871296924,2.780789132566497,-0.4565794310746781,UBZ25,154624.4057266547,4.94798098325295
2026-08-03,2026-08-04,1,signal,3.1105042698336547,2.831285573807236,0.5382447655130255,UBU26,-47857.182811492195,-1.5314298499677503
