date,pnl,cost,in_pos,richness,nb32,equity,pnl_32nds,pnl_volbp
2019-01-04,0.0,0.0,0,-3.6293125108314224e-13,-4.104116161370257,0.0,0.0,0.0
2019-01-08,0.0,0.0,0,-3.283316457117062e-14,-6.7988360504919,0.0,0.0,0.0
2019-01-09,0.0,0.0,0,-9.353374425831933e-14,-2.532813427342262,0.0,0.0,0.0
2019-01-10,0.0,0.0,0,-2.7634028684164807e-13,-0.8954383188115571,0.0,0.0,0.0
2019-01-11,0.0,0.0,0,-3.749883299123119e-14,-3.2728008621907065,0.0,0.0,0.0
2019-01-14,0.0,0.0,0,-2.114521024305644e-14,-1.0447068948456035,0.0,0.0,0.0
2019-01-15,0.0,0.0,0,-2.538205488068005e-15,-7.3390018356940345,0.0,0.0,0.0
2019-01-16,0.0,0.0,0,-8.051853024553388e-14,-0.2998942566568985,0.0,0.0,0.0
2019-01-17,0.0,0.0,0,-3.281158539789552e-15,-1.8863633686924004,0.0,0.0,0.0
2019-01-18,0.0,0.0,0,2.283056501097636e-14,0.27983503966606804,0.0,0.0,0.0
2019-01-22,0.0,0.0,0,-3.016932248522414e-16,-2.727307623705201,0.0,0.0,0.0
2019-01-23,0.0,0.0,0,5.884142863887905e-16,0.2909189322522252,0.0,0.0,0.0
2019-01-24,0.0,0.0,0,-5.989073288348053e-17,-1.7570648348328177,0.0,0.0,0.0
2019-01-25,0.0,0.0,0,-2.2619629060771643e-17,-1.7058393704710397,0.0,0.0,0.0
2019-01-28,0.0,0.0,0,-6.6713006109627394e-18,-0.6562407076362433,0.0,0.0,0.0
2019-01-29,0.0,0.0,0,1.1604983806157986e-18,0.8441483232800238,0.0,0.0,0.0
2019-01-30,0.0,0.0,0,-1.7838929253003011e-19,-3.831394444482612,0.0,0.0,0.0
2019-01-31,0.0,0.0,0,3.429461565053493e-20,4.2164308334618,0.0,0.0,0.0
2019-02-01,0.0,0.0,0,-2.8953637977683193e-20,-2.115870577038095,0.0,0.0,0.0
2019-02-04,0.0,0.0,0,-1.0699693914524036e-21,-2.2382242780931847,0.0,0.0,0.0
2019-02-05,0.0,0.0,0,3.915009273924182e-22,2.966888965364433,0.0,0.0,0.0
2019-02-06,0.0,0.0,0,7.431677732532381e-23,4.37270739394944,0.0,0.0,0.0
2019-02-07,0.0,0.0,0,3.616762750501832e-23,2.6729031902309544,0.0,0.0,0.0
2019-02-08,0.0,0.0,0,9.06016380466585e-25,3.329441065723586,0.0,0.0,0.0
2019-02-11,0.0,0.0,0,8.270509444939057e-26,4.935169954911544,0.0,0.0,0.0
2019-02-12,0.0,0.0,0,1.7017978781044825e-26,3.2240372094843224,0.0,0.0,0.0
2019-02-13,0.0,0.0,0,-2.74104193435034e-26,-0.7707030819619831,0.0,0.0,0.0
2019-02-14,0.0,0.0,0,-1.517977659128152e-12,-0.9151950685472912,0.0,0.0,0.0
2019-02-15,0.0,0.0,0,3.028027988681288e-13,1.3995624221661274,0.0,0.0,0.0
2019-02-19,0.0,0.0,0,-3.688168464633738e-15,-2.1696645471788543,0.0,0.0,0.0
2019-02-22,0.0,0.0,0,-2.7740085124623145e-10,-0.7257393050149403,0.0,0.0,0.0
2019-02-25,0.0,0.0,0,-7.250281776660757e-11,-1.8048743383506007,0.0,0.0,0.0
2019-02-26,0.0,0.0,0,-1.8713925646674284e-11,-1.8368535736412923,0.0,0.0,0.0
2019-02-27,0.0,0.0,0,-7.086987416792871e-12,-3.7613463528291504,0.0,0.0,0.0
2019-02-28,0.0,0.0,0,-1.8274341749893303e-11,-4.076266281881544,0.0,0.0,0.0
2019-03-01,0.0,0.0,0,-1.2610736708504755e-11,-3.3777046044979215,0.0,0.0,0.0
2019-03-04,0.0,0.0,0,-5.933471168856489e-11,-0.20330897098483547,0.0,0.0,0.0
2019-03-05,0.0,0.0,0,2.6671380241037833e-12,3.2372080533441476,0.0,0.0,0.0
2019-03-06,0.0,0.0,0,4.791824816666303e-12,2.734888714020599,0.0,0.0,0.0
2019-03-07,0.0,0.0,0,-1.9047533260365094e-11,-0.32511384925783204,0.0,0.0,0.0
2019-03-08,0.0,0.0,0,1.122305887939845e-12,3.146831323819697,0.0,0.0,0.0
2019-03-11,0.0,0.0,0,-9.621245340267035e-13,-0.9307521112186805,0.0,0.0,0.0
2019-03-12,0.0,0.0,0,-3.9260148991945383e-13,-2.6589144782051335,0.0,0.0,0.0
2019-03-13,0.0,0.0,0,-5.671152753795786e-12,-0.4391054810744208,0.0,0.0,0.0
2019-03-14,0.0,0.0,0,-1.0533273004821449e-11,-0.11093256105232285,0.0,0.0,0.0
2019-03-15,0.0,0.0,0,1.0919185689168811e-12,0.5156110139114389,0.0,0.0,0.0
2019-03-18,0.0,0.0,0,-1.18290250265087e-13,-1.8561884514078884,0.0,0.0,0.0
2019-03-19,0.0,0.0,0,-6.522357321283229e-13,-0.27577039304424034,0.0,0.0,0.0
2019-03-20,0.0,0.0,0,-5.050582822889562e-14,-3.7138757132956925,0.0,0.0,0.0
2019-03-21,0.0,0.0,0,8.209168925771952e-13,0.13394530570121788,0.0,0.0,0.0
2019-03-22,0.0,0.0,0,3.139315869021762e-15,8.073627590187243,0.0,0.0,0.0
2019-03-25,0.0,0.0,0,-6.331220857657796e-15,-4.437006864864543,0.0,0.0,0.0
2019-03-26,0.0,0.0,0,1.7432682412769804e-15,3.079110545018466,0.0,0.0,0.0
2019-03-27,0.0,0.0,0,-1.6744212617898397e-15,-3.9938748850140655,0.0,0.0,0.0
2019-03-28,0.0,0.0,0,-4.681425448560265e-15,-0.242448968690951,0.0,0.0,0.0
2019-03-29,0.0,0.0,0,2.366351427496306e-16,8.705517516785221,0.0,0.0,0.0
2019-04-01,0.0,0.0,0,3.4741165924198e-16,1.7752318848451978,0.0,0.0,0.0
2019-04-02,0.0,0.0,0,2.5102004377039524e-16,1.4496850456771426,0.0,0.0,0.0
2019-04-03,0.0,0.0,0,-3.607872875460753e-16,-1.5476459137430538,0.0,0.0,0.0
2019-04-04,0.0,0.0,0,3.471252908366529e-16,0.7987781919300687,0.0,0.0,0.0
2019-04-05,0.0,0.0,0,5.793976294477772e-17,2.3591110794545784,0.0,0.0,0.0
2019-04-08,0.0,0.0,0,5.667050350655522e-17,0.21129107888646104,0.0,0.0,0.0
2019-04-09,0.0,0.0,0,-1.158277563950372e-17,-1.9144981519939392,0.0,0.0,0.0
2019-04-10,0.0,0.0,0,4.402385410819809e-19,5.424527505076185,0.0,0.0,0.0
