n_days,days_in_pos,total_volbp,ann_volbp,ann_vol,sharpe,t_naive,t_nw,nw_lags,max_dd_volbp,psr_0,n_trades,mean_volbp,median_volbp,std_volbp,hit_rate,t_trade,mean_hold_days,total,top3_share,n,pnl_ex_top,root,arm,entry_richness,max_hold,take_profit,key
1837,90,-49.24359502497009,-6.755245479745489,10.246507189758447,-0.6592729946549463,-1.7804830101924243,-1.8733161965297096,2,-61.35260631824758,0.04484487841313297,32,-1.5388623445303153,-2.481551908968413,4.596116392513458,0.28125,-1.9243226241507865,1.84375,-49.24359502497009,-0.4614516876662172,32,-71.96713505599428,ZB,A,1.1,10,-1.0,ZB/A/e1.1/x1/h10/tpna/cm1
1837,87,-42.192998725842244,-5.78804337447591,9.349943510110627,-0.6190458122251721,-1.671842408431373,-1.7525382069025564,2,-53.90700019590213,0.06024458038860931,34,-1.240970550760066,-2.305097771202327,3.9064850924437717,0.3235294117647059,-1.8801705733226426,1.588235294117647,-42.192998725842244,-0.4402599402729444,34,-60.76888582481797,ZB,A,1.1,10,2.0,ZB/A/e1.1/x1/h10/tp2/cm1
1837,90,-46.302254484720834,-6.351751840037915,10.042256921800085,-0.6325024234591439,-1.708184360659206,-1.7544449881397752,2,-58.01625595478072,0.051451644894372706,34,-1.361831014256495,-2.305097771202327,4.380554732721141,0.3235294117647059,-1.839992516463211,1.6764705882352942,-46.302254484720834,-0.40909493602914615,34,-65.24427232115295,ZB,A,1.1,10,4.0,ZB/A/e1.1/x1/h10/tp4/cm1
1837,90,-49.24359502497009,-6.755245479745489,10.246507189758447,-0.6592729946549463,-1.7804830101924243,-1.8733161965297096,2,-61.35260631824758,0.04484487841313297,32,-1.5388623445303153,-2.481551908968413,4.596116392513458,0.28125,-1.9243226241507865,1.84375,-49.24359502497009,-0.4614516876662172,32,-71.96713505599428,ZB,A,1.1,21,-1.0,ZB/A/e1.1/x1/h21/tpna/cm1
1837,87,-42.192998725842244,-5.78804337447591,9.349943510110627,-0.6190458122251721,-1.671842408431373,-1.7525382069025564,2,-53.90700019590213,0.06024458038860931,34,-1.240970550760066,-2.305097771202327,3.9064850924437717,0.3235294117647059,-1.8801705733226426,1.588235294117647,-42.192998725842244,-0.4402599402729444,34,-60.76888582481797,ZB,A,1.1,21,2.0,ZB/A/e1.1/x1/h21/tp2/cm1
1837,90,-46.302254484720834,-6.351751840037915,10.042256921800085,-0.6325024234591439,-1.708184360659206,-1.7544449881397752,2,-58.01625595478072,0.051451644894372706,34,-1.361831014256495,-2.305097771202327,4.380554732721141,0.3235294117647059,-1.839992516463211,1.6764705882352942,-46.302254484720834,-0.40909493602914615,34,-65.24427232115295,ZB,A,1.1,21,4.0,ZB/A/e1.1/x1/h21/tp4/cm1
1837,90,-49.24359502497009,-6.755245479745489,10.246507189758447,-0.6592729946549463,-1.7804830101924243,-1.8733161965297096,2,-61.35260631824758,0.04484487841313297,32,-1.5388623445303153,-2.481551908968413,4.596116392513458,0.28125,-1.9243226241507865,1.84375,-49.24359502497009,-0.4614516876662172,32,-71.96713505599428,ZB,A,1.1,42,-1.0,ZB/A/e1.1/x1/h42/tpna/cm1
1837,87,-42.192998725842244,-5.78804337447591,9.349943510110627,-0.6190458122251721,-1.671842408431373,-1.7525382069025564,2,-53.90700019590213,0.06024458038860931,34,-1.240970550760066,-2.305097771202327,3.9064850924437717,0.3235294117647059,-1.8801705733226426,1.588235294117647,-42.192998725842244,-0.4402599402729444,34,-60.76888582481797,ZB,A,1.1,42,2.0,ZB/A/e1.1/x1/h42/tp2/cm1
1837,90,-46.302254484720834,-6.351751840037915,10.042256921800085,-0.6325024234591439,-1.708184360659206,-1.7544449881397752,2,-58.01625595478072,0.051451644894372706,34,-1.361831014256495,-2.305097771202327,4.380554732721141,0.3235294117647059,-1.839992516463211,1.6764705882352942,-46.302254484720834,-0.40909493602914615,34,-65.24427232115295,ZB,A,1.1,42,4.0,ZB/A/e1.1/x1/h42/tp4/cm1
1837,84,-38.23777810908268,-5.24546547821929,9.267315021713928,-0.5660178234935168,-1.5286309713379977,-1.5869791107110673,2,-50.34678940236017,0.07709029435821543,31,-1.2334767131962157,-2.398600122857715,4.329505598967525,0.2903225806451613,-1.6124776944674974,1.7419354838709677,-38.23777810908268,-0.5942693627804337,31,-60.96131814010687,ZB,A,1.25,10,-1.0,ZB/A/e1.25/x1/h10/tpna/cm1
