symbol,recomputed_rate,exchange_rate,diff_bp,ok,note
SR3M18,1.9310805929894568,1.9375,-0.6419407010543221,False,
SR3U18,2.1958254486062105,2.1924999999999955,0.3325448606215087,True,
SR3Z18,2.444386155097496,2.457499999999996,-1.3113844902500116,False,
SR3H19,2.4452737647447287,2.457499999999996,-1.2226235255267337,False,
SR3M19,2.3282176065730615,2.3400000000000034,-1.1782393426941873,False,
SR3U19,1.7288489274435659,1.7374999999999972,-0.8651072556431272,False,
SR3Z19,1.480391637974743,1.5600000000000023,-7.960836202525923,False,
SR3H20,0.039342558971699415,0.015000000000000568,2.4342558971698844,False,
SR3M20,0.09330745996421237,0.08750000000000568,0.5807459964206687,False,
SR3U20,0.08495397197672494,0.08249999999999602,0.24539719767289192,True,
SR3Z20,0.05362989776805535,0.052499999999994884,0.11298977680604672,True,
SR3H21,0.010000123625175661,0.012500000000002842,-0.24998763748271813,True,
SR3M21,0.04956347539366799,0.04959999999999809,-0.0036524606330100295,True,
SR3U21,0.04923376516575694,0.04919999999999902,0.003376516575791938,True,
SR3Z21,0.049343665868097755,0.04930000000000234,0.0043665868095413285,True,
SR3H22,0.5052585566477327,0.5053000000000054,-0.004144335227274087,True,
SR3M22,1.9383541986884245,1.9384000000000015,-0.004580131157694289,True,
SR3U22,3.4727243546193747,3.4727000000000032,0.002435461937144723,True,
SR3Z22,4.44589266994444,4.445899999999995,-0.0007330055554533033,True,
SR3H23,4.942885475197372,4.9428999999999945,-0.0014524802622872812,True,
SR3M23,5.239595415773378,5.239599999999996,-0.00045842266178652835,True,
SR3U23,5.352373438510387,5.352400000000003,-0.002656148961577287,True,
SR3Z23,5.353305540724525,5.353300000000004,0.000554072452096932,True,
SR3H24,5.353357960110105,5.3533999999999935,-0.004203988988837892,True,
SR3M24,5.371191948807259,5.371200000000002,-0.0008051192742719593,True,
SR3U24,4.766210169804596,4.766199999999998,0.001016980459844774,True,
SR3Z24,4.365577355776005,4.365600000000001,-0.002264422399544941,True,
SR3H25,4.34226452926298,4.3422999999999945,-0.003547073701426484,True,
SR3M25,4.3760246080941085,4.376000000000005,0.0024608094103761857,True,
SR3U25,4.086554467771022,4.086600000000004,-0.004553222898184828,True,
SR3Z25,3.689242533779765,3.6891999999999996,0.004253377976537465,True,
SR3H26,3.636358778413552,3.6363999999999947,-0.004122158644292995,True,
ZQJ18,1.6926666666666672,1.6924999999999955,0.016666666667175534,True,
ZQK18,1.7000000000000006,1.7000000000000028,-2.220446049250313e-13,True,
ZQM18,1.8196666666666665,1.8199999999999932,-0.03333333333266353,True,
ZQN18,1.909999999999999,1.9099999999999966,2.4424906541753444e-13,True,
ZQQ18,1.9148387096774195,1.9150000000000063,-0.016129032258671572,True,
ZQU18,1.9546666666666657,1.9549999999999983,-0.03333333333326305,True,
ZQV18,2.187741935483871,2.1875,0.02419354838711918,True,
ZQX18,2.197666666666667,2.197500000000005,0.016666666666198537,True,
ZQZ18,2.274193548387097,2.2750000000000057,-0.08064516129087096,True,
ZQF19,2.400000000000001,2.4000000000000057,-4.884981308350689e-13,True,
ZQG19,2.4,2.4025000000000034,-0.25000000000034994,True,
ZQH19,2.4051612903225807,2.405000000000001,0.01612903225796103,True,
ZQJ19,2.4226666666666645,2.424999999999997,-0.23333333333326323,True,
ZQK19,2.3909677419354805,2.3900000000000006,0.09677419354798822,True,
ZQM19,2.377666666666663,2.3774999999999977,0.0166666666665094,True,
ZQN19,2.402903225806451,2.405000000000001,-0.20967741935500328,True,
ZQQ19,2.125806451612903,2.1274999999999977,-0.16935483870947898,True,
ZQU19,2.043,2.042500000000004,0.04999999999961702,True,
ZQV19,1.8296774193548382,1.832499999999996,-0.2822580645157835,True,
ZQX19,1.5533333333333332,1.5550000000000068,-0.16666666666735885,True,
ZQZ19,1.5509677419354835,1.5524999999999949,-0.15322580645114048,True,
ZQF20,1.5506451612903223,1.5499999999999972,0.06451612903251025,True,
ZQG20,1.583103448275862,1.5849999999999937,-0.18965517241318341,True,
ZQH20,0.6522580645161291,0.6525000000000034,-0.02419354838743004,True,
ZQJ20,0.049000000000000016,0.04999999999999716,-0.0999999999997142,True,
ZQK20,0.05000000000000001,0.04999999999999716,2.851885394505871e-13,True,
ZQM20,0.07766666666666668,0.0799999999999983,-0.23333333333316192,True,
ZQN20,0.09258064516129035,0.09499999999999886,-0.2419354838708518,True,
ZQQ20,0.09516129032258064,0.09499999999999886,0.016129032258177523,True,
ZQU20,0.08999999999999998,0.09000000000000341,-3.427813588530171e-13,True,
ZQV20,0.08999999999999998,0.09000000000000341,-3.427813588530171e-13,True,
ZQX20,0.08633333333333333,0.08750000000000568,-0.1166666666672353,True,
ZQZ20,0.08999999999999997,0.08750000000000568,0.24999999999942846,True,
ZQF21,0.08516129032258064,0.08750000000000568,-0.2338709677425041,True,
ZQG21,0.07571428571428572,0.07750000000000057,-0.17857142857148484,True,
