regime,pnl_net,realized_basis,realized_turn,policy,spread_reprice,costs,days,days_in_position
r2_rrp_abundance,-852.1871782260192,486.9097263352109,-52.330422237387154,-1317.1596419858063,1825.0984862676178,-1794.7053266129033,610,303
r3_QT2_drain,78.11031048388733,78.23493078870092,-43.38838591487759,66.7420122715724,355.91223314410894,-379.39047983870967,307,88
r4_postadj_RMO,-1270.9762217739833,43.24233823111978,8.050233681855538,-1088.480121158998,813.6198466279338,-1047.4085201612904,385,285
