date,pnl_gross,pnl_net,realized_basis,realized_turn,policy,spread_reprice,residual,costs,position,sr3_symbol,signal_bp
2021-04-30,0.0,-36.46,0.0,0.0,0.0,0.0,0.0,-36.46,1,SR3H21,-1.6214564280191126
2021-05-03,31.2525000000604,31.2525000000604,5.9839942078399995,0.0,26.50084040533835,-1.2323346032357572,-9.882194007548861e-09,0.0,1,SR3H21,-2.026386183827549
2021-05-04,-10.420000000079348,-10.420000000079348,2.130667434793081,0.0,-34.096903733993955,21.546236318707344,-1.9585818716860715e-08,0.0,1,SR3H21,-1.2666840912284312
2021-05-05,10.417499999990525,10.417499999990525,1.453462008990723,0.0,-1.2121745391697762,10.17621250820913,2.196044864705149e-08,0.0,1,SR3H21,-1.240488525287563
2021-05-06,-31.252499999971576,-31.252499999971576,1.4880682609207758,0.0,-12.060403225795927,-20.68016504058651,5.490084505066495e-09,0.0,1,SR3H21,-1.2142929595869434
2021-05-07,-20.83499999998105,-20.83499999998105,1.5243626262361267,0.0,-11.322245657558408,-11.037116944502268,-2.4156500001704106e-08,0.0,1,SR3H21,-1.2050932559510892
2021-05-10,-31.24999999997158,-31.24999999997158,4.687409556107784,0.0,-1.5727064516129081,-34.36470311307206,8.605604465139471e-09,0.0,1,SR3H21,-1.3752219173048
2021-05-11,0.0,0.0,2.5337667030434634,0.0,-0.5957221407624709,-1.9380445666730957,4.392103125638869e-09,0.0,1,SR3H21,-1.3486014677805045
2021-05-12,62.49999999994316,62.49999999994316,2.6041491424805012,0.0,-0.6240898617511587,60.51994072105264,-1.8388271252889332e-09,0.0,1,SR3H21,-0.821999329248138
2021-05-13,31.24999999997158,31.24999999997158,0.8928160672311021,0.0,-0.6552943548387382,31.012478292890663,-5.311447982825346e-09,0.0,1,SR3H21,-0.5453857805675509
2021-05-14,0.0,0.0,-4.545045657108199e-05,0.0,-0.6897835314091723,0.689828970885587,1.0980156305018252e-08,0.0,1,SR3H21,-0.8960942217132191
2021-05-17,-20.83500000001066,-20.83500000001066,-0.0001404832294547506,0.0,-12.601814516149146,-8.233044994043869,-6.588188716794008e-09,0.0,1,SR3H21,-0.9617791177818388
2021-05-18,0.0,0.0,-5.1510444260688404e-05,0.0,-0.17922580645224795,0.17927732348459086,-6.588082218650371e-09,0.0,1,SR3H21,-0.9836740831007049
2021-05-19,-41.667499999962104,-41.667499999962104,-5.328814312553776e-05,0.0,-0.19202764977029457,-41.47541908273259,2.0683911902685814e-08,0.0,1,SR3H21,-1.1956124956542076
2021-05-20,41.667499999962104,41.667499999962104,1.1160201081953898,0.0,0.594547146400508,39.95693275506987,-9.703668618632477e-09,0.0,1,SR3H21,-0.9075647219041989
2021-05-21,-31.24999999997158,-31.24999999997158,-5.723333894487592e-05,0.0,-0.22403225806532437,-31.025910521564963,1.2997654529056657e-08,0.0,1,SR3H21,-1.0072734264924887
2021-05-24,31.24999999997158,31.24999999997158,3.605599781379568,0.0,-0.7331964809410458,28.377596708138658,-8.605599968736222e-09,0.0,1,SR3H21,-0.6560658620040954
2021-05-25,-20.83499999998105,-20.83499999998105,-6.71869153845081e-05,0.0,-10.753548387088497,-10.081384428173221,2.1960513199581477e-09,0.0,1,SR3H21,-0.6223277090933701
2021-05-26,20.83499999998105,20.83499999998105,-7.024161471653328e-05,0.0,11.521658986162938,9.313411252138703,3.294125992814312e-09,0.0,1,SR3H21,-0.5885895562594926
