date,is_qe,regime,p_hit_model,q50_model,spike_realized,hit_realized
2021-05-28,False,r2_rrp_abundance,0.0013161008934207325,-3.1353744779481403,1.0,False
2021-06-30,True,r2_rrp_abundance,0.0014200491520188878,-2.456967045905143,2.0,False
2021-07-30,False,r2_rrp_abundance,0.0005308820147049886,-3.4935706086539753,3.000000000000001,False
2021-08-31,False,r2_rrp_abundance,0.00028990836019425584,-4.295114314053176,3.0,False
2021-09-30,True,r2_rrp_abundance,0.0004103287610630298,-1.7645582518444172,2.0000000000000004,False
2021-10-29,False,r2_rrp_abundance,0.0002568003451385466,-3.1237138574810785,1.0000000000000009,False
2021-11-30,False,r2_rrp_abundance,0.00023178804803523684,-2.941262317915072,1.0000000000000009,False
2021-12-31,True,r2_rrp_abundance,0.00038418286911528094,0.2914756043800131,1.0000000000000009,False
2022-01-31,False,r2_rrp_abundance,0.0003976854912570586,-0.9017017817371737,0.0,False
2022-02-28,False,r2_rrp_abundance,0.00037050858421923465,-0.7838877641747928,0.0,False
2022-03-31,True,r2_rrp_abundance,0.0005963544615999451,1.3469349830610493,-0.5000000000000004,False
2022-04-29,False,r2_rrp_abundance,0.0007223545343710124,0.4747221565882853,-0.5000000000000009,False
2022-05-31,False,r2_rrp_abundance,0.000545579338809396,0.2582389962284637,1.000000000000012,False
2022-06-30,True,r2_rrp_abundance,0.0009279516381693418,1.5922384747702973,4.500000000000492,False
2022-07-29,False,r2_rrp_abundance,0.0005207942841143563,0.22906962686981558,2.220446049250313e-14,False
2022-08-31,False,r2_rrp_abundance,0.00048571160980623334,0.17944207782213084,1.000000000001,False
2022-09-30,True,r2_rrp_abundance,0.0011019717168640393,1.8474612927690426,-3.499999999999992,False
2022-10-31,False,r2_rrp_abundance,0.0007662863449275474,0.5411823765224959,0.9999999999999787,False
2022-11-30,False,r2_rrp_abundance,0.0008303743709593526,0.6090865104337553,2.0000000000000018,False
2022-12-30,True,r2_rrp_abundance,0.0014128331270139018,2.0448610303520525,0.0,False
2023-01-31,False,r2_rrp_abundance,0.0012951460921151279,1.0088570233458505,0.9999999999999787,False
2023-02-28,False,r2_rrp_abundance,0.0011584213935881325,0.9285449172657287,1.0000000000000675,False
2023-03-31,True,r2_rrp_abundance,0.0008830823916666836,-0.14619093747348222,7.000000000000028,True
2023-04-28,False,r2_rrp_abundance,0.0008049387738053444,0.6587995540423712,0.9999999999999787,False
2023-05-31,False,r2_rrp_abundance,0.010343740274333399,0.556261840009256,3.000000000001002,False
2023-06-30,True,r2_rrp_abundance,0.034555151714869906,2.3944319499900084,3.000000000001002,False
2023-07-31,False,r2_rrp_abundance,0.018566680864882546,1.372216075677681,-9.769962616701378e-13,False
2023-08-31,False,r2_rrp_abundance,0.018475537889809976,1.4013717522696751,0.9999999999990017,False
2023-09-29,True,r2_rrp_abundance,0.05728323981482232,3.143443591931039,0.9999999999990017,False
2023-10-31,False,r3_QT2_drain,0.03470104189578242,2.1916684889094604,4.0000000000009805,False
2023-11-30,False,r3_QT2_drain,0.03589927039119202,2.2706697454124196,1.0000000000000675,False
2023-12-29,True,r3_QT2_drain,0.08638677842173481,3.764219439079841,6.00000000000005,True
2024-01-31,False,r3_QT2_drain,0.04491828779760985,2.6140512813829773,1.0000000000009557,False
2024-02-29,False,r3_QT2_drain,0.058169560015444065,2.6419175786613494,1.0000000000009557,False
2024-03-28,True,r3_QT2_drain,0.1908987143508059,4.259812662573619,3.000000000000025,False
2024-04-30,False,r3_QT2_drain,0.09077924996260739,3.3085837592696112,3.000000000000025,False
2024-05-31,False,r3_QT2_drain,0.07559173536606385,2.638761285403225,3.000000000000025,False
2024-06-28,True,r3_QT2_drain,0.23055211348101617,4.172313230907774,1.0000000000000675,False
2024-07-31,False,r3_QT2_drain,0.09398194951126793,3.1360590455144415,4.0000000000009805,False
2024-08-30,False,r3_QT2_drain,0.09735697720230971,3.1963015064260603,-1.4999999999995683,False
2024-09-30,True,r3_QT2_drain,0.27730547425230034,3.748572777677932,12.99999999999999,True
2024-10-31,False,r3_QT2_drain,0.12360389447403133,3.548674687520359,7.000000000000028,True
2024-11-29,False,r3_QT2_drain,0.1323565636983248,3.6125496225112066,1.9999999999990248,False
2024-12-31,True,r4_postadj_RMO,0.3985471145866778,5.273310049713895,12.00000000000001,True
2025-01-31,False,r4_postadj_RMO,0.18032334653640059,3.798473092628166,8.000000000000007,True
2025-02-28,False,r4_postadj_RMO,0.14416884918544393,3.7906121903147323,4.999999999999005,False
2025-03-31,True,r4_postadj_RMO,0.3603511474441191,5.008721077084566,10.000000000000053,True
2025-04-30,False,r4_postadj_RMO,0.1933643987038217,4.20056325195347,8.000000000000007,True
2025-05-30,False,r4_postadj_RMO,0.1753780437128814,4.042129064207028,5.999999999999961,True
2025-06-30,True,r4_postadj_RMO,0.4508271532801053,5.325648960554316,16.000000000000014,True
2025-07-31,False,r4_postadj_RMO,0.23627652765132093,4.174195160984345,6.999999999999007,True
2025-08-29,False,r4_postadj_RMO,0.28904675816116243,4.8384469181306535,-0.49999999999998934,False
2025-09-30,True,r4_postadj_RMO,0.671498007886825,6.824997678622496,9.000000000000075,True
2025-10-31,False,r4_postadj_RMO,0.463798510136276,5.880965027555144,23.499999999999986,True
2025-11-28,False,r4_postadj_RMO,0.4454314958331983,5.754303474403132,16.500000000000004,True
2025-12-31,True,r4_postadj_RMO,0.7358766641959777,7.113697258505634,19.500000000000473,True
2026-01-30,False,r4_postadj_RMO,0.5034084566452592,6.310849823401078,3.999999999999959,False
2026-02-27,False,r4_postadj_RMO,0.4566942526796013,6.01211402876725,1.9999999999999574,False
2026-03-31,True,r4_postadj_RMO,0.7367481967962936,7.526129792659042,3.999999999999959,False
2026-04-30,False,r4_postadj_RMO,0.47483668692160297,5.85217659240913,1.5000000000000124,False
2026-05-29,False,r4_postadj_RMO,0.41470296420873465,5.540624927749013,6.49999999999995,True
2026-06-30,True,r4_postadj_RMO,0.7295020739063672,7.278124257867605,5.999999999999961,True
2026-07-01,False,r4_postadj_RMO,0.45794237452805026,5.784090092383558,4.0000000000000036,False
