entry_date,sr3_symbol,direction,units,entry_signal_bp,entry_residual_basis_bp,entry_residual_turn_bp,entry_cost,sr3_contracts,zq_contracts,exit_date,exit_signal_bp,exit_reason,exit_cost
2021-04-30,SR3H21,1,1,-1.6214564280191126,-1.6214564280191126,0.0,36.46,5,"{'ZQJ21': -1.0, 'ZQK21': -1.0, 'ZQM21': -0.5}",2021-05-28,-0.3036137891338355,signal,36.46
2021-06-14,SR3M21,1,1,-2.4836246678377116,-2.4836246678377116,0.0,59.550875,5,"{'ZQM21': -0.5, 'ZQN21': -1.0, 'ZQQ21': -1.0, 'ZQU21': -0.4666666666666667}",2021-07-21,-0.24692800514010735,signal,41.32150000000001
2021-07-26,SR3M21,1,1,-2.07213576861043,-2.07213576861043,0.0,36.112750000000005,5,"{'ZQN21': -1.0, 'ZQQ21': -1.0, 'ZQU21': -0.4666666666666667}",2021-07-27,-0.19808667995437323,signal,36.112750000000005
2021-08-02,SR3M21,1,1,-1.6431052371374997,-1.6431052371374997,0.0,25.69525,5,"{'ZQQ21': -1.0, 'ZQU21': -0.4666666666666667}",2021-08-03,-0.17974743540325366,signal,25.69525
2021-09-02,SR3U21,1,1,-1.909306821832973,-1.909306821832973,0.0,59.56767741935484,5,"{'ZQU21': -0.5333333333333333, 'ZQV21': -1.0, 'ZQX21': -1.0, 'ZQZ21': -0.45161290322580644}",2021-10-28,-0.45373444678235014,signal,41.51192741935483
2021-12-06,SR3Z21,1,1,-1.582804880371388,-1.582809492361824,4.611990436231098e-06,59.9821370967742,5,"{'ZQZ21': -0.5483870967741935, 'ZQF22': -1.0, 'ZQG22': -1.0, 'ZQH22': -0.4838709677419355}",2021-12-13,0.10235221066460148,signal,59.9821370967742
2022-01-03,SR3Z21,-1,1,2.074344255951593,2.074344255951593,0.0,36.29197580645162,-5,"{'ZQF22': 1.0, 'ZQG22': 1.0, 'ZQH22': 0.4838709677419355}",2022-01-04,-0.18412444434035286,signal,36.29197580645162
2022-02-10,SR3Z21,1,1,-4.257834070717165,-4.257834070717165,0.0,25.874475806451613,5,"{'ZQG22': -1.0, 'ZQH22': -0.4838709677419355}",2022-02-16,-0.48498211122702245,signal,25.874475806451613
2022-03-04,SR3H22,1,1,-1.8472323547377232,-1.847255192793754,2.283805603082718e-05,59.6348870967742,5,"{'ZQH22': -0.5161290322580645, 'ZQJ22': -1.0, 'ZQK22': -1.0, 'ZQM22': -0.4666666666666667}",2022-03-09,-0.301456461865784,signal,59.6348870967742
2022-03-14,SR3H22,1,1,-2.2009810851964104,-2.2010014653068453,2.0380110435036094e-05,59.6348870967742,5,"{'ZQH22': -0.5161290322580645, 'ZQJ22': -1.0, 'ZQK22': -1.0, 'ZQM22': -0.4666666666666667}",2022-03-30,-0.0656493715907626,signal,44.00988709677419
