package,structure,tenor,sigma_pkg_bp,polarity,min_size_sigma,vol_keep,drop_fomc,fomc_window,drop_data_days,n_trades,hit_rate,avg_usd,total_usd,sharpe,max_dd_usd
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,all,False,0,False,11,0.18181818181818182,-62141.94141344116,-683561.3555478528,-5.766510646913137,-584926.389610596
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,all,False,0,False,11,0.8181818181818182,62141.94141344116,683561.3555478528,5.766510646913137,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,all,False,0,True,10,0.2,-65760.61037885622,-657606.1037885621,-5.599230361237604,-558971.1378513053
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,all,False,0,True,10,0.8,65760.61037885622,657606.1037885621,5.599230361237604,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,all,True,2,False,8,0.125,-73039.24688552786,-584313.9750842229,-5.680300392237452,-442925.8310962841
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,all,True,2,False,8,0.875,73039.24688552786,584313.9750842229,5.680300392237452,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,all,True,2,True,7,0.14285714285714285,-79765.53190356174,-558358.7233249322,-5.566068426727791,-416970.5793369934
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,all,True,2,True,7,0.8571428571428571,79765.53190356174,558358.7233249322,5.566068426727791,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,drop_low,False,0,False,8,0.25,-53034.93548778538,-424279.483902283,-3.857841338310546,-325644.5179650262
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,drop_low,False,0,False,8,0.75,53034.93548778538,424279.483902283,3.857841338310546,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,drop_low,False,0,True,7,0.2857142857142857,-56903.461734713186,-398324.2321429923,-3.6207087063933536,-299689.2662057355
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,drop_low,False,0,True,7,0.7142857142857143,56903.461734713186,398324.2321429923,3.6207087063933536,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.0,drop_low,True,2,False,5,0.2,-65006.42068773061,-325032.10343865305,-3.3656621607309756,-183643.9594507143
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.0,drop_low,True,2,False,5,0.8,65006.42068773061,325032.10343865305,3.3656621607309756,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.5,all,False,0,False,7,0.2857142857142857,-50934.07567455833,-356538.5297219083,-3.424467020403353,-257903.56378465146
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.5,all,False,0,False,7,0.7142857142857143,50934.07567455833,356538.5297219083,3.424467020403353,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.5,all,False,0,True,6,0.3333333333333333,-55097.21299376959,-330583.2779626176,-3.1618806196664444,-231948.31202536076
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.5,all,False,0,True,6,0.6666666666666666,55097.21299376959,330583.2779626176,3.1618806196664444,-54093.04707707465
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,fade,0.5,all,True,2,False,5,0.2,-59410.61956743896,-297053.0978371948,-3.334414418574817,-155664.95384925604
SFR1_outright,outright,IMM_1xIMM_2,0.7905783676388883,momentum,0.5,all,True,2,False,5,0.8,59410.61956743896,297053.0978371948,3.334414418574817,-54093.04707707465
