,Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
143764,2015603044000000101,1833772630000000101,TERM,ETRM,2026-02-09 22:22:56+00:00,,IR,,N,False,2026-01-23 16:01:10+00:00,2026-01-23,2026-02-10,,True,BILT,False,False,False,"180,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04293,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,177701.92462,,,,,,,,,UWIN,USD,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZP68HMG4L3X,NA/Oth Oth Nstd,USD-CMT-T7051
170811,2028754898000001301,,NEWT,TRAD,2026-02-10 17:29:36+00:00,False,IR,,N,False,2026-02-10 17:29:36+00:00,2026-02-10,2026-06-29,,False,BILT,False,False,False,"50,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29,,,,USD,,,0.0,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZGKJ0R41TKK,NA/Fwd Pr Int Rt Idx USD,USD-CMT
224898,2060392646000000301,,NEWT,TRAD,2026-02-12 19:05:09+00:00,False,IR,,N,False,2026-02-12 19:05:09+00:00,2026-02-12,2026-06-29,,False,BILT,False,False,False,"50,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,2026-06-29,,,,USD,,,0,,,,,,False,,,3.0,,,,,,,,,,,,,,,,,,,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZGKJ0R41TKK,NA/Fwd Pr Int Rt Idx USD,USD-CMT
286744,2101954753000000201,,NEWT,TRAD,2026-02-18 14:17:09+00:00,,IR,,N,False,2026-02-18 14:17:09+00:00,2026-02-18,2026-03-17,,True,BILT,False,False,False,"30,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.03827,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZG54SR6M5Q9,NA/Oth Oth Nstd,USD-CMT-T7051
286793,2101954148000000101,,NEWT,TRAD,2026-02-18 14:18:05+00:00,,IR,,N,False,2026-02-18 14:18:05+00:00,2026-02-18,2026-03-17,,True,BILT,False,False,False,"45,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.036283,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZH7TXWKF4ZV,NA/Oth Oth Nstd,USD-CMT-T7051
286869,2101954981000000201,2101954753000000201,CORR,,2026-02-18 14:22:21+00:00,,IR,,N,False,2026-02-18 14:17:09+00:00,2026-02-17,2026-03-17,,True,BILT,False,False,False,"30,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.03827,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZG54SR6M5Q9,NA/Oth Oth Nstd,USD-CMT-T7051
286874,2101954752000000101,2101954148000000101,CORR,,2026-02-18 14:22:48+00:00,,IR,,N,False,2026-02-18 14:18:05+00:00,2026-02-17,2026-03-17,,True,BILT,False,False,False,"45,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.036283,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZH7TXWKF4ZV,NA/Oth Oth Nstd,USD-CMT-T7051
295207,2103945477000000101,,NEWT,TRAD,2026-02-18 20:27:01+00:00,,IR,,N,False,2026-02-18 20:27:01+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,True,"1,000,000,000","1,000,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04205,,,,,0.0,0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
295222,2103994029000000301,2103945477000000101,MODI,TRAD,2026-02-18 20:27:13+00:00,True,IR,,N,False,2026-02-18 20:27:01+00:00,2026-03-31,2028-03-31,,True,BILT,False,True,True,"1,000,000,000","1,000,000,000",USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.04205,,,,,0.0,0,,,,,False,,,3.0,3.0,,A004,A004,,,MNTH,MNTH,3.0,3.0,,MNTH,,MNTH,,3.0,,3.0,,,,USD,,,,False,,,,,,,,,,,False,,,,,,,,,QZH46NBR0M2B,NA/Rts Swaps Oth USD,USD-CMT
309900,2111624899000000201,,NEWT,TRAD,2026-02-19 14:55:27+00:00,,IR,,N,False,2026-02-19 14:55:27+00:00,2026-02-19,2026-03-17,,True,BILT,False,False,False,"15,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.03881,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZG54SR6M5Q9,NA/Oth Oth Nstd,USD-CMT-T7051
310007,2111625780000000601,,NEWT,TRAD,2026-02-19 14:57:30+00:00,,IR,,N,False,2026-02-19 14:57:30+00:00,2026-02-19,2026-03-17,,True,BILT,False,False,False,"23,000,000",,USD,,,,,,,,,,,,,,,,,,,,,,,,,0.03678,,,,,,,,,,,,False,,,,,,,,,,EXPI,,1.0,,,,,,,,,,,,,,,,,False,,,,,,,,MDET,,,False,,,,,,,,,QZH7TXWKF4ZV,NA/Oth Oth Nstd,USD-CMT-T7051
