,max_stale_min,n_trades,n_sessions,gross_bp,net_bp,t,stars,mean_realised_horizon_min,share_of_uncapped_trades
0,none,1565,94,-0.05990415335463531,-0.5599041533546354,-9.430478587865792,***,59.56357827476038,1.0
1,30,1565,94,-0.05990415335463531,-0.5599041533546354,-9.430478587865792,***,59.56357827476038,1.0
2,15,1565,94,-0.05990415335463531,-0.5599041533546354,-9.430478587865792,***,59.56357827476038,1.0
3,10,1565,94,-0.0602236421725264,-0.5602236421725264,-9.440176476964512,***,59.57060702875399,1.0
4,5,1565,94,-0.05926517571885224,-0.5592651757188523,-9.422117287577976,***,59.61980830670927,1.0
5,2,1561,94,-0.062299807815509034,-0.562299807815509,-9.437618232135781,***,59.73478539397822,0.997444089456869
6,0,1508,93,-0.07907824933688669,-0.5790782493368867,-9.451983363892674,***,60.0,0.9635782747603834
