,held_out,mean_bp,t,n
0,SFRH26,0.031717955763149445,0.8926676584060919,43674
1,SFRH27,0.02547518816175395,0.873528737041259,39195
2,SFRM26,0.03436025003188704,0.9061165837585653,39195
3,SFRM27,0.03125398647786221,0.9954166030998908,39195
4,SFRU26,0.02976144916443009,0.8563563395656358,39195
5,SFRU27,0.028163553048991277,0.8651295548880469,42555
6,SFRZ26,0.021801250159453934,0.676759746855646,39195
7,<none>,0.02896840583407327,0.8777928432852687,47034
