,horizon_min,mean,se,t,n,n_blocks,stars,expected_sign
0,5,20.26951111111111,33.38110835645263,0.6072150419533022,5625,99,,-1
1,15,-49.580622222222225,22.78714009203583,-2.175815921698344,5625,99,*,-1
2,30,-67.97493333333334,42.8911129511961,-1.5848255887106266,5625,99,,-1
3,60,-43.428622222222224,54.3581647855515,-0.7989346659062638,5625,99,,-1
