,horizon_min,mean,se,t,n,n_blocks,stars,expected_sign
0,5,15.731337965437378,89.04206082779918,0.17667311177647418,5613,99,,-1
1,15,-196.7197577053269,118.53462834169173,-1.6595973721557233,5613,99,.,-1
2,30,-317.32977017637626,154.25747988827965,-2.0571434876688057,5613,99,*,-1
3,60,-314.850703723499,239.53049362226176,-1.3144493586692005,5613,99,,-1
