,measure,mean_bp,t,stars,n
0,gross,-0.05990415335463531,-1.0089670386447402,,1565
1,net of costs,-0.5599041533546354,-9.430478587865792,***,1565
2,round-trip cost,-0.5,,,1565
3,"net, accuracy a=0.60",-0.511980830670927,,,1565
4,"net, accuracy a=0.70",-0.5239616613418541,,,1565
5,"net, accuracy a=0.80",-0.5359424920127812,,,1565
