trade_id,as_of_date,tenor_years,special_tenor_type,printed_pct,diff_bp,pv01,diff_bp_placebo,error
921104236,2024-03-04,6.002739726027397,STANDARD,3.88195,-0.24602509544648932,4762.329876392445,-6.215603523061164,
935304980,2024-03-15,2.493150684931507,STANDARD,4.2275,0.3958355055167395,23139.96792533446,28.06842503068392,
940605582,2024-03-21,2.0904109589041098,STANDARD,4.4467,0.328240619963438,3754.4530812368203,0.19790593836894743,
944272670,2024-03-25,8.005479452054795,STANDARD,3.8735,-0.22198585672699167,681.0197722889103,-7.10112126436111,
950459586,2024-04-01,5.504109589041096,STANDARD,3.9575,0.13369422459774682,40645.312191984274,9.50993922026635,
953287087,2024-04-03,5.002739726027397,STANDARD,4.0845,-0.1949990132674273,4470.153257901741,13.359324132793304,
956325343,2024-04-08,1.5013698630136987,STANDARD,4.819,-0.15999999997706738,3449.765061437729,9.52382806668437,
973936330,2024-04-22,1.2712328767123289,STANDARD,5.08875,-0.06541739368657318,6105.652213664201,-0.1406303104859674,
979355710,2024-04-25,2.493150684931507,STANDARD,4.70125,0.9368986932207335,11556.05541784858,5.581804139997804,
981132383,2024-04-26,1.0,STANDARD,5.232,0.08400275727815654,18278.05114605265,3.594454903374178,
984473181,2024-04-30,2.8904109589041096,STANDARD,4.712899999999999,0.419795723840366,2670.7682449374997,5.591553504037972,
994998032,2024-05-10,5.002739726027397,STANDARD,4.22905,-0.41202144062424395,2669.8422914271796,4.3368884480858405,
997038157,2024-05-13,5.002739726027397,STANDARD,4.24145,-0.08910838851798886,9788.072111278165,2.7492955331775093,
1001249223,2024-05-16,2.0,STANDARD,4.681500000000001,-0.292996615526242,5093.3899586257585,-3.7068097929864763,
1003260087,2024-05-17,5.002739726027397,STANDARD,4.18065,-0.07100358950493657,3563.842575946215,-6.808973113739558,
1009383599,2024-05-23,4.561643835616438,STANDARD,4.2912,-0.26571572722797754,20459.859948183257,13.248729542330917,
1015424305,2024-05-29,1.0,STANDARD,5.2272,-0.062000912260895547,2974.660727559536,6.458695388310076,
1018578317,2024-05-31,4.487671232876712,STANDARD,4.268000000000001,-0.34677355568355495,16502.342461562625,-0.5371613082814974,
1032166853,2024-06-12,10.005479452054795,STANDARD,3.9739999999999998,0.08906691350918372,106113.05256731325,7.059902102063509,
1034404707,2024-06-13,4.002739726027397,STANDARD,4.0135,-3.7190036666049586,5484.10264648569,-10.100894421919726,
1043701066,2024-06-20,5.002739726027397,STANDARD,3.9660300000000004,0.1700006874913118,12104.790017897481,-0.8036916700465024,
1049450612,2024-06-25,1.5013698630136987,STANDARD,4.7193,-0.18099999995522253,4476.727911512252,1.385500683005958,
1051150709,2024-06-26,3.219178082191781,STANDARD,4.2394,0.29827294780178093,14881.730919762169,,
1057663357,2024-07-02,1.5041095890410958,STANDARD,4.7336,-0.12000000015044421,2738.8589464130037,3.4807963135312647,
1064601265,2024-07-08,2.3205479452054796,STANDARD,4.3437,0.7364241520571468,6128.370574289909,-10.060297023920928,
1068321158,2024-07-10,1.0,STANDARD,4.9306,0.029004987763858736,970.151245920203,-3.3595442687012422,
1070507833,2024-07-11,5.002739726027397,STANDARD,3.7817499999999997,-0.6410004470973174,22094.36827093926,-20.458482071373574,
1079825126,2024-07-18,5.002739726027397,STANDARD,3.74832,-0.4590004714120077,14899.898035560782,-1.9946052849816542,
1087214799,2024-07-24,5.002739726027397,STANDARD,3.7969999999999997,0.021013483772192032,19398.454223545705,7.388924140948383,
1090680217,2024-07-26,3.0,STANDARD,3.9395,-0.1980002712080875,5320.172440225838,-7.623262863332769,
1094560233,2024-07-30,10.005479452054795,STANDARD,3.6415,0.13696263135991593,1664.9920249615711,-11.05700384867725,
1097942218,2024-08-01,5.002739726027397,STANDARD,3.5265,0.12799525983098192,6817.906278575189,-23.110202926694257,
1100065671,2024-08-02,2.0,STANDARD,3.6805,0.2240001593766916,34436.67796364898,-49.1385076506488,
1102246821,2024-08-05,1.2465753424657535,STANDARD,3.78826,-0.17549046324596418,18083.85122975846,-53.9514441889458,
1107803183,2024-08-08,3.3643835616438356,STANDARD,3.5579,-0.6217477899136625,31500.3587063593,-10.757673368466092,
1112813753,2024-08-13,2.0,STANDARD,3.7053000000000003,-0.152998823875361,15533.732311270334,2.2482341842749776,
1120349224,2024-08-19,2.0,STANDARD,3.8155,-0.06699067605184794,12986.365338039403,6.1200531128184466,
1125405939,2024-08-22,1.8273972602739725,STANDARD,3.7706999999999997,0.706806945613403,80395.60549533129,-8.831203423491862,
1132421721,2024-08-28,4.002739726027397,STANDARD,3.2885,-2.263304648113973,9311.198044825818,-4.973636823252692,
1134209186,2024-08-29,1.821917808219178,STANDARD,3.6769999999999996,-3.128519031463517,80532.58491921428,-9.272096901866655,
1144340989,2024-09-05,1.2465753424657535,STANDARD,3.757,0.2412587360760554,9327.165885017297,-13.113672562115974,
1149426616,2024-09-10,1.2465753424657535,STANDARD,3.6205000000000003,0.13050490220205546,6069.11887579069,-26.602482822296516,
1161213155,2024-09-20,9.005479452054795,STANDARD,3.18545,0.38106103313118034,2344.0047419460966,7.125912348826402,
1166999756,2024-09-25,2.0,STANDARD,3.30515,0.023000400078743155,771.2056307294356,-8.623766877403183,
1171265161,2024-09-27,3.0,STANDARD,3.2034,-0.0720185060359313,68280.11446763785,1.3845189484302356,
1178155591,2024-10-07,1.841095890410959,STANDARD,3.7428000000000003,-0.1999580265081402,2654.063073887195,41.97768866493998,
1183456560,2024-10-09,3.0,STANDARD,3.618,0.16100324375556418,5934.031710302123,37.349706023435616,
1194591468,2024-10-16,4.506849315068493,STANDARD,3.4549999999999996,-0.46032473279722375,2075.164591945072,-4.771106249292423,
1196929344,2024-10-17,5.002739726027397,STANDARD,3.515,,,0.9992716601689988,NO_CURVE
1201790101,2024-10-21,4.002739726027397,STANDARD,3.60912,-0.22798656965270503,6292.284497169499,10.472763740619584,
1212277956,2024-10-28,3.0,STANDARD,3.7432,-0.13299416256762342,2533.5394132067318,12.517214505266727,
1216939701,2024-10-30,4.002739726027397,STANDARD,3.697,-3.268999705391984,12923.84261258831,1.7885126577307453,
1224382568,2024-11-04,3.0,STANDARD,3.816,-0.06999654678252476,11558.799201259539,4.323770109754621,
1228425284,2024-11-06,1.9945205479452055,STANDARD,3.977,-0.2178410205354364,4733.435879953379,18.5521756786172,
1231109905,2024-11-07,1.4958904109589042,STANDARD,4.0316,0.022999999679562677,1879.1397826820848,7.81452341283293,
1237821038,2024-11-12,1.8273972602739725,MATCHED_MATURITY,4.0666,0.06988786741288777,192141.1757628517,17.548080131908826,
1240258447,2024-11-13,2.0,STANDARD,4.0325,-0.06400013929033221,8020.798946497687,0.9427788508474144,
1242682984,2024-11-14,20.013698630136986,STANDARD,3.8699999999999997,2.121023929190624,346968.1043762154,2.0119262163244223,
1247356229,2024-11-18,4.002739726027397,STANDARD,3.882,-26.77610909681136,1421.1994530830066,-19.85083137081314,
1249466197,2024-11-19,1.8273972602739725,MATCHED_MATURITY,3.9667,-3.6541050868409197,192455.23288544276,-10.15575843592571,
1249466268,2024-11-19,1.3972602739726028,STANDARD,4.0876,-0.004407772183867564,67644.53296061938,-5.793943746900965,
1251714178,2024-11-20,1.0,STANDARD,4.267,0.2559979313468297,25389.387043062085,4.389025171312699,
1256507048,2024-11-22,5.002739726027397,STANDARD,3.894,-0.28095117277451287,9915.24237263387,1.641861711616066,
1263123180,2024-11-27,2.9917808219178084,STANDARD,3.8605,0.039855452745474196,4194.640683278094,-7.598673724730087,
1271736160,2024-12-03,1.9945205479452055,STANDARD,3.933,-0.01267196074152821,9502.731934077554,-9.983390041797247,
1273760541,2024-12-04,3.0,STANDARD,3.8178499999999995,-0.19300026074247079,56.28672243886125,-5.92002977783439,
1276215319,2024-12-05,2.9917808219178084,STANDARD,3.81,0.211428745812281,8406.910755423109,-4.783308028296007,
1280959753,2024-12-09,5.002739726027397,STANDARD,3.6700000000000004,-1.9090080723434433,49884.99085953342,-5.322578293905922,
1284933611,2024-12-11,2.9917808219178084,STANDARD,3.8095,0.003055462970280587,14025.071321228632,0.8039396549829103,
1287104811,2024-12-12,2.9917808219178084,STANDARD,3.8649999999999998,0.03215630345754228,7567.638761279457,4.298212050528738,
1297570822,2024-12-19,3.0,STANDARD,4.0833,0.2449858240789915,2521.385490093307,21.048319731110077,
1305976049,2024-12-26,4.994520547945205,STANDARD,4.0515,0.00365915831759267,6733.45665870258,-0.7166686849616077,
1309796796,2024-12-30,9.005479452054795,STANDARD,3.9829999999999997,-3.144024725816408,68376.90126408228,-5.819262939936287,
1315426636,2025-01-03,3.0,STANDARD,3.945,-9.328241087717837,6173.466855190705,-13.96289118177827,
1319943502,2025-01-07,5.164383561643835,STANDARD,4.0961,2.1033682950514887,9251.52119687961,11.08091902689008,
1324408269,2025-01-09,1.2931506849315069,STANDARD,4.1215,0.16986439068507053,62692.51529631968,3.008413213579786,
1326904015,2025-01-10,3.0,STANDARD,4.206,0.3280068219710053,2796.753378842788,15.460351226438984,
1329097820,2025-01-13,5.002739726027397,STANDARD,4.242,-0.63238511787711,5818.125710047057,17.063440045943867,
1333486231,2025-01-15,4.002739726027397,STANDARD,4.12475,0.10499965772039488,2198.491822655128,1.8600212942200933,
1337746585,2025-01-17,4.756164383561644,STANDARD,4.07627,-0.1894324910890255,5544.162274319856,-9.94725431838015,
1342645781,2025-01-21,1.0,STANDARD,4.2051,-0.03800074211346427,8843.073921592377,-5.43700849267621,
1345443118,2025-01-22,1.7452054794520548,STANDARD,4.0865,0.07645647277785272,4993.098245992611,0.4267711597480961,
1347281434,2025-01-23,2.7424657534246575,STANDARD,4.089,0.05074491609295961,40995.56075634445,2.198271043448674,
1349977300,2025-01-24,1.7452054794520548,STANDARD,4.0615,-0.17764005046885245,832.6212200966661,-1.5246758891846568,
1352709844,2025-01-27,5.002739726027397,STANDARD,3.9469999999999996,-3.7274563547991413,6314.055301683458,-13.838908449937426,
1355530752,2025-01-30,10.005479452054795,STANDARD,4.07,6.657062120211243,8205.109363684078,-7.009676541127963,
1361986223,2025-02-05,8.005479452054795,STANDARD,3.9385999999999997,-0.41294277696928283,15014.886254261224,-5.910326994941961,
1364003649,2025-02-06,3.4356164383561643,STANDARD,3.9732999999999996,0.12651696586440941,1277.0504247151578,-1.862250169250812,
1367128900,2025-02-07,5.002739726027397,STANDARD,4.044,1.4469987607350632,292333.5469629866,6.065919055677682,
1370480154,2025-02-10,4.756164383561644,STANDARD,4.00303,-0.27881771742244155,4282.763585836297,-0.8742073363574576,
1374993137,2025-02-12,5.002739726027397,STANDARD,4.182,1.2453558923591679,6724.5727811154875,27.4490009552113,
1384844838,2025-02-18,1.7452054794520548,STANDARD,4.1075,-0.29080010940116807,91793.60124501096,0.8454572352170509,
1388746797,2025-02-20,6.002739726027397,STANDARD,4.04514,-0.25299872325268424,10057.820467615504,-7.907041994586894,
1390985064,2025-02-21,1.83013698630137,MATCHED_MATURITY,4.11246,5.118898946012962,105087.26410637253,3.3346550098814376,
1397883392,2025-02-26,1.7452054794520548,STANDARD,3.9292000000000002,0.1870741286030153,16740.117841063675,-17.464947401501576,
1398380159,2025-02-26,7.002739726027397,STANDARD,3.763,0.030960162081683507,4282.954884215702,-30.893622562263534,
1402440772,2025-02-28,1.83013698630137,MATCHED_MATURITY,4.08653,19.331118405720638,193196.47806223424,0.32564683729301436,
1409509683,2025-03-04,1.0,STANDARD,3.961,-0.5349992465145004,9740.825241925686,-14.446807708735276,
1411240863,2025-03-06,1.0,STANDARD,4.013,0.0649994785552721,12656.718117415307,-9.616226435857289,
1414669099,2025-03-07,2.7424657534246575,STANDARD,3.739,0.2978602985143741,7767.824901032786,1.6186073230838094,
1419364480,2025-03-11,1.0,STANDARD,3.9510000000000005,0.045999934706086876,38.969374671367575,-1.947821730930377,
1432648537,2025-03-19,6.002739726027397,STANDARD,3.7350000000000003,0.9269872725203854,14981.238401288798,-2.2324321557518623,
1449650464,2025-03-31,2.0,STANDARD,3.669,-0.009007480751899166,958.1712778345888,-11.289349662353132,
1457908668,2025-04-04,4.994520547945205,STANDARD,3.27,1.6387042121551953,2296.204828156095,-36.28523782349684,
1459443436,2025-04-07,1.0,STANDARD,3.5999999999999996,-0.416000008148254,24439.885749889396,-29.89873152252054,
1465647806,2025-04-09,4.002739726027397,STANDARD,3.4575,-0.6609931555729531,20107.719343445147,-8.078925291307293,
1468759324,2025-04-10,1.978082191780822,STANDARD,3.49627,-5.200870203361152,209019.82961262955,-0.7907328024672644,
1476186470,2025-04-15,10.005479452054795,STANDARD,3.737,,,11.835954176677976,NO_CURVE
1478540006,2025-04-16,1.0054794520547945,STANDARD,3.8120000000000003,-0.23764231459604268,3988.5057222825635,-5.8431633336292865,
1484307162,2025-04-22,6.002739726027397,STANDARD,3.5770000000000004,0.23796771621316104,2155.8713236099084,,
1486958814,2025-04-23,2.9726027397260273,STANDARD,3.49091,-2.2805171602117813,7019.272937720625,1.4295040494072264,
1491106240,2025-04-25,2.0,STANDARD,3.50732,0.4559950256516565,1728.2275400343044,0.6340025962449314,
